,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,206.38,185.66,158.65,155.36,185.98,160.89,130.42,120.39,156.64,131.04,114.02,145.61,149.65,121.12,103.99,108.71,104.99,88.44,64.82
1,Other Revenue,-16.7,16.7,-,30.37,-12.97,12.97,-,24.51,-11.05,11.05,-,-,-8.85,8.85,-,18.06,-9.87,9.87,-
2,Revenue,189.68,202.36,158.65,185.73,173.01,173.87,130.42,144.91,145.59,142.09,114.02,145.61,140.8,129.97,103.99,126.76,95.11,98.32,64.82
3,Revenue Growth (YoY),9.64%,16.39%,21.65%,28.17%,18.83%,22.36%,14.38%,-0.49%,3.40%,9.33%,9.64%,14.87%,48.03%,32.20%,60.45%,-,-,-,-
4,Cost of Revenue,109.61,121.31,96.13,116.2,96.72,105.99,79.3,87.39,82.46,85.76,66.67,87.4,77.76,76.12,55.51,71.67,50.23,52.65,33.44
5,Gross Profit,80.07,81.06,62.52,69.52,76.28,67.88,51.12,57.52,63.13,56.33,47.36,58.22,63.04,53.85,48.48,55.09,44.89,45.67,31.37
6,"Selling, General & Admin",21.07,25.15,15.63,16.62,16.17,17.02,12.92,13.03,13.38,12.69,10.07,13.51,11.03,11.86,8.77,9.56,9.64,7.59,8.33
7,Research & Development,5.46,7.08,4.57,7.46,4.91,4.24,3.62,4.58,4,4.06,5.35,7.14,4.02,3.72,2.57,4.09,2.48,2.93,2.58
8,Other Operating Expenses,2.31,1.91,1.59,2.2,1.69,1.76,1.74,2.24,-0.27,1.38,0.73,1.44,0.87,1.39,1.21,1.65,1.45,1.53,1.01
9,Operating Expenses,27.44,35.32,22.4,24.34,24.26,23.57,18.98,18.53,17.77,18.96,16.41,20.97,16.88,17.15,12.89,15.56,13.26,13.04,12.01
10,Operating Income,52.63,45.74,40.12,45.19,52.03,44.31,32.14,38.99,45.36,37.37,30.95,37.24,46.15,36.7,35.59,39.53,31.63,32.63,19.36
11,Interest Expense,-,-0.24,-,-0.35,-,-0.19,-,-0.04,-,-0.03,-,-0.12,-,-,-,-,-,-,-
12,Interest & Investment Income,4.09,10.22,0.01,4.43,2.93,6.99,2.84,5.14,2.9,3.41,2.99,4.27,3.71,1.74,1.31,0.71,0.51,0.62,0.76
13,Currency Exchange Gain (Loss),-2.55,2.55,-,-0.23,-2.59,2.59,-,13.76,-7.19,7.19,-,-4.08,1,-1,-,-10.52,-0.83,0.83,-
14,Other Non Operating Income (Expenses),-5.28,-2.81,3.51,-1.86,1.7,1.37,-2.48,-19.06,15.13,2.45,-1.27,-1.89,0.5,0.66,0.01,-1.21,-3.97,4.63,0.3
15,EBT Excluding Unusual Items,48.89,55.44,43.63,47.18,54.07,55.07,32.51,38.78,56.2,50.38,32.67,35.42,51.36,38.1,36.91,28.51,27.34,38.71,20.43
16,Gain (Loss) on Sale of Investments,-,-,-,0.25,1.84,-0.94,0.25,0.04,-,-,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,0,0.72,-,-,-,-,-,-0.02,0.02,-,-,-,-0.22,-,-,-,-,-,-
18,Asset Writedown,-2.95,0.7,-0.7,2.78,-2.78,0.48,-0.83,2.23,-2.31,0.83,-0.83,0.63,-1.95,0.48,-0.48,1.05,-1.1,-0.95,0.94
19,Other Unusual Items,0.67,1.71,-0.04,0.09,-0,0,-,2.03,-,-,-,2.96,-,-,-,10.68,-,-,-
20,Pretax Income,46.61,58.58,42.89,50.29,53.13,54.61,31.93,43.06,53.92,51.21,31.84,39.01,49.19,38.59,36.42,40.24,26.23,37.76,21.38
