,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3151,3196,2701,3433,3383,3593,3528,3103,3081,3148,3029,3238,3781,2710,3285,-,-,-,-,-
1,Market Cap Growth,-11.04%,-11.04%,-23.45%,10.63%,9.80%,14.14%,16.47%,-4.18%,-18.50%,16.15%,-7.80%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2677,2759,2239,2921,2872,3098,3027,2607,2587,2639,2476,2648,3190,2111,3029,-,-,-,-,-
3,Last Close Price,10.43,10.47,8.85,10.82,10.67,11.33,11.12,9.66,9.59,9.80,9.43,9.99,11.66,8.36,10.13,-,-,-,-,-
4,PE Ratio,18.29,18.43,15.13,19.65,20.50,22.81,22.24,19.80,19.67,20.67,20.65,23.74,26.94,19.11,26.93,-,-,-,-,-
5,Forward PE,15.45,15.67,13.24,17.77,18.35,20.41,19.08,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,4.31,4.34,3.75,4.97,5.10,5.77,5.93,5.51,5.64,5.75,5.58,6.10,7.26,5.40,7.21,-,-,-,-,-
7,PB Ratio,2.29,2.32,1.98,2.51,2.43,2.66,2.71,2.39,2.42,2.55,2.56,2.78,3.32,2.45,3.09,-,-,-,-,-
8,P/TBV Ratio,2.57,2.57,2.19,2.71,2.62,2.89,2.95,2.60,2.64,2.79,2.81,3.06,3.66,2.72,3.44,-,-,-,-,-
9,P/FCF Ratio,37.57,38.11,41.80,-,31.02,37.22,38.36,63.30,-882.31,-125.27,-,-,-89.39,-,-,-,-,-,-,-
10,P/OCF Ratio,13.18,13.18,12.16,16.25,16.10,20.49,20.54,19.43,21.29,19.78,21.37,22.14,24.95,17.80,20.44,-,-,-,-,-
11,EV/Sales Ratio,3.63,3.75,3.11,4.23,4.33,4.98,5.09,4.63,4.73,4.82,4.56,4.99,6.13,4.21,6.64,-,-,-,-,-
12,EV/EBITDA Ratio,11.33,12.14,9.99,13.28,13.72,15.45,15.74,14.25,14.36,14.93,13.96,15.08,17.72,11.60,18.18,-,-,-,-,-
13,EV/EBIT Ratio,14.61,15.02,12.23,16.08,16.54,18.50,18.83,16.94,16.95,17.49,16.32,17.53,20.49,13.36,21.11,-,-,-,-,-
14,EV/FCF Ratio,31.92,32.89,34.66,-,26.33,32.09,32.92,53.19,-740.75,-105.05,-,-,-75.43,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.00,-,0.00,0.00,0.00,0.00,-,0.00,-,-,-,-,-
16,Debt / EBITDA Ratio,0.04,0.04,0.05,0.06,0.02,0.03,0.03,0.03,-,0.00,0.01,0.01,0.01,-,0.03,-,-,-,-,-
