,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,590,513,665,956,915,623,243,423,305,436,591,Upgrade
1,Market Cap Growth,-46.36%,-46.36%,-27.37%,53.60%,277.07%,47.06%,-20.41%,-2.86%,-48.42%,-73.62%,-33.68%,Upgrade
2,Enterprise Value,1051,932,1096,1407,1783,1659,1064,1447,1009,1301,1753,Upgrade
3,Last Close Price,0.08,0.08,0.10,0.15,0.14,0.10,0.04,0.07,0.05,0.07,0.10,Upgrade
4,PE Ratio,-,-,-,-,-,-,-,58.43,20.64,-1.53,-,Upgrade
5,PS Ratio,0.57,0.59,0.79,1.04,0.98,0.66,0.26,0.48,0.36,0.50,0.76,Upgrade
6,PB Ratio,0.91,0.96,1.09,1.40,1.17,0.65,0.22,0.33,0.24,0.36,0.48,Upgrade
7,P/TBV Ratio,0.95,0.95,1.08,1.38,1.15,0.63,0.22,0.33,0.25,0.38,0.52,Upgrade
8,P/FCF Ratio,13.93,12.11,13.05,5.43,3.54,4.08,1.44,2.44,2.49,3.93,5.17,Upgrade
9,P/OCF Ratio,10.42,10.42,11.50,5.42,3.54,3.94,1.39,2.43,2.48,3.47,4.57,Upgrade
10,EV/Sales Ratio,1.22,1.08,1.30,1.54,1.92,1.76,1.15,1.65,1.17,1.49,2.25,Upgrade
11,EV/EBITDA Ratio,-,-,-,37.40,50.69,-,-,29.27,15.50,47.82,-,Upgrade
12,EV/EBIT Ratio,-,-,-,-,78.45,-,-,53.22,24.47,-684.14,-,Upgrade
13,EV/FCF Ratio,24.81,22.00,21.51,7.99,6.90,10.86,6.30,8.32,8.23,11.74,15.31,Upgrade
14,Debt / Equity Ratio,1.12,1.12,0.91,0.86,0.75,1.17,1.12,0.98,1.04,0.99,1.06,Upgrade
15,Debt / FCF Ratio,14.11,14.11,10.94,3.33,2.29,7.33,7.34,7.28,10.78,10.92,11.41,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,-,2.46%,-,-,1.40%,2.08%,-0.10%,-,Upgrade
17,Earnings Yield,-29.09%,-33.45%,-23.06%,-23.06%,-23.86%,-34.01%,-70.40%,1.71%,4.84%,-65.30%,-49.22%,Upgrade
18,FCF Yield,7.18%,8.26%,7.66%,18.42%,28.22%,24.53%,69.60%,41.05%,40.17%,25.42%,19.36%,Upgrade
19,Buyback Yield / Dilution,-0.46%,-0.18%,-0.74%,-1.47%,-1.08%,-,29.11%,-5.68%,-49.08%,-,-6.33%,Upgrade
20,Total Shareholder Return,-0.46%,-0.18%,-0.74%,-1.47%,-1.08%,-,29.11%,-5.68%,-49.08%,-,-6.33%,Upgrade
