,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Revenue,448077,461665,419177,468915,444869,399749,405498,435068,399365,399073,359221,457003,387723,363321,290348,443485,330533,387585,290351,419781,Upgrade
1,Revenue Growth (YoY),0.72%,15.49%,3.37%,7.78%,11.39%,0.17%,12.88%,-4.80%,3.00%,9.84%,23.72%,3.05%,17.30%,-6.26%,-0.00%,5.65%,-11.60%,6.19%,-6.24%,2.06%,Upgrade
2,Cost of Revenue,375171,355030,321643,360751,352956,306884,326340,302442,290254,278951,268191,330741,293558,259393,213087,316693,245779,256024,194992,273554,Upgrade
3,Gross Profit,72906,106634,97534,108164,91913,92865,79158,132627,109110,120122,91030,126262,94165,103927,77261,126791,84755,131562,95358,146227,Upgrade
4,"Selling, General & Admin",45188,45900,53591,47497,47619,45781,47760,47633,51942,63847,54982,62006,48723,54422,50060,74825,55360,58389,46716,71367,Upgrade
5,Operating Expenses,45188,45900,53591,47497,47619,45781,47760,47633,51942,63847,54982,62006,48723,54422,50060,74825,55360,58389,46716,71367,Upgrade
6,Operating Income,27718,60734,43943,60667,44294,47084,31399,84994,57168,56275,36047,64256,45442,49505,27201,51966,29395,73172,48642,74860,Upgrade
7,Interest Expense,-,-1784,-,-,-,-632.97,-,-,-,-,-,-,-,-,-,-,-,-374.53,-,-,Upgrade
8,Interest & Investment Income,11283,-,14012,9896,11652,-,19731,6368,5711,4281,2617,2822,3888,2242,2660,2264,4851,4403,3003,4476,Upgrade
