,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Revenue,125.44,70.44,128.9,172.08,154.41,245.13,266.44,333.42,113.42,112.24
1,Revenue Growth (YoY),-2.69%,-59.07%,-16.52%,-29.80%,-42.05%,-26.48%,134.91%,197.06%,12.43%,-19.99%
2,Cost of Revenue,121.69,69.08,125.7,170.04,152.47,237.6,255.1,327.26,110.73,104.86
3,Gross Profit,3.75,1.37,3.2,2.04,1.95,7.53,11.35,6.17,2.69,7.38
4,"Selling, General & Admin",7.51,11.03,9.48,12.19,8.83,12.22,8.41,11.69,8.67,12.62
5,Operating Expenses,7.91,10.25,8.14,11.03,9.4,12.25,9.34,0.94,10.19,20.52
6,Operating Income,-4.16,-8.88,-4.94,-8.99,-7.45,-4.72,2.01,5.23,-7.5,-13.14
7,Interest Expense,-0.8,-0.73,-0.76,-0.74,-0.09,-,-0.61,-0.96,-0.9,-1.1
8,Interest & Investment Income,-,-,-,-,-,0.16,-,-,-,-
9,Other Non Operating Income (Expenses),5.38,8.71,6.53,6.15,5.4,4.79,0.24,0.55,0.08,2.6
10,EBT Excluding Unusual Items,0.42,-0.9,0.84,-3.58,-2.14,0.23,1.64,4.81,-8.32,-11.63
11,Gain (Loss) on Sale of Assets,-,0.3,-,0.35,-,0.53,0.28,0.28,0,0.22
12,Other Unusual Items,-,-,-,1.88,3.71,-,-,2.4,2.22,-
13,Pretax Income,0.42,-0.6,0.84,-1.35,1.56,0.76,1.92,7.49,-6.1,-11.42
14,Income Tax Expense,0.33,-2.31,0.13,-0.2,-0.4,-0.06,-0.23,0.13,0.6,4.26
15,Net Income,0.09,1.72,0.71,-1.15,1.96,0.81,2.14,7.36,-6.7,-15.68
16,Net Income to Common,0.09,1.72,0.71,-1.15,1.96,0.81,2.14,7.36,-6.7,-15.68
17,Net Income Growth,-86.70%,-,-63.93%,-,-8.58%,-88.96%,-,-,-,-
18,Shares Outstanding (Basic),1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
19,Shares Outstanding (Diluted),1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
20,Shares Change (YoY),-,-,-,-,-,-,-,-,-,0.16%
21,EPS (Basic),0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.01,-0.01,-0.01
22,EPS (Diluted),0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.01,-0.01,-0.01
23,EPS Growth,-86.76%,-,-63.93%,-,-8.57%,-88.97%,-,-,-,-
24,Free Cash Flow,12.6,1.6,-10.5,1.76,1.74,33.73,-2.6,1.46,12.44,-18.99
25,Free Cash Flow Per Share,0.01,0.00,-0.01,0.00,0.00,0.03,-0.00,0.00,0.01,-0.02
26,Operating Margin,-3.32%,-12.61%,-3.83%,-5.22%,-4.83%,-1.93%,0.75%,1.57%,-6.61%,-11.71%
27,Profit Margin,0.07%,2.43%,0.55%,-0.67%,1.27%,0.33%,0.80%,2.21%,-5.91%,-13.97%
28,Free Cash Flow Margin,10.05%,2.28%,-8.14%,1.02%,1.13%,13.76%,-0.97%,0.44%,10.97%,-16.92%
29,EBITDA,-1.49,-6.38,-1.96,-2.85,-1.27,1.04,7.64,10.03,-3.27,-9.91
30,D&A For EBITDA,2.67,2.5,2.98,6.13,6.19,5.76,5.63,4.8,4.23,3.24
31,EBIT,-4.16,-8.88,-4.94,-8.99,-7.45,-4.72,2.01,5.23,-7.5,-13.14
