,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,1841868,1799526,1844892,2044503,1968893,1566646,1409376,1391230,1481962,1376108,1495072,1314217,1256946,1172547,1067048,961548,961548,931406,940449,843992,789736,Upgrade
1,Market Cap Growth,14.86%,14.86%,30.90%,46.96%,32.86%,13.85%,-5.73%,5.86%,17.90%,17.36%,40.11%,36.68%,30.72%,25.89%,13.46%,13.93%,21.76%,2.99%,4.14%,0.88%,-9.21%,Upgrade
2,Enterprise Value,1908648,1914847,1961460,2104798,2123747,1776053,1523417,1563814,1662925,1667397,1714355,1588198,1586042,1540090,1444722,1361038,1378641,1390787,1405560,1291090,1229740,Upgrade
3,PE Ratio,16.22,15.84,13.34,13.60,13.06,8.94,7.18,6.51,6.13,5.85,7.31,7.91,9.70,10.34,9.83,7.65,8.10,9.69,14.20,21.61,10.98,Upgrade
4,PS Ratio,6.97,6.81,5.97,6.17,5.85,4.17,3.30,3.06,2.97,2.78,3.38,3.42,3.74,3.72,3.21,2.72,2.84,3.12,4.19,4.65,3.55,Upgrade
5,PB Ratio,1.88,1.84,1.98,2.25,1.90,1.56,1.50,1.54,1.48,1.45,1.65,1.39,1.40,1.37,1.25,1.15,1.15,1.16,1.15,1.08,1.00,Upgrade
6,P/FCF Ratio,8.52,8.32,8.20,8.84,9.04,8.22,5.81,5.64,6.06,5.37,6.68,6.02,6.77,7.67,6.54,6.03,8.11,14.28,19.03,-,-,Upgrade
7,P/OCF Ratio,8.19,8.19,8.04,8.71,8.83,8.03,5.71,5.55,6.00,5.31,6.61,5.98,6.45,7.22,5.80,5.12,5.86,7.83,10.03,10.87,7.03,Upgrade
8,EV/Sales Ratio,7.23,7.25,6.34,6.35,6.30,4.72,3.57,3.44,3.33,3.36,3.88,4.13,4.72,4.89,4.35,3.84,4.07,4.66,6.26,7.12,5.52,Upgrade
9,EV/EBITDA Ratio,10.56,10.64,9.12,9.05,9.00,6.57,4.90,4.69,4.48,4.59,5.35,5.79,6.85,7.18,6.86,5.80,6.07,7.02,8.88,10.45,7.41,Upgrade
10,EV/EBIT Ratio,13.69,13.73,11.78,11.53,11.50,8.25,6.06,5.83,5.55,5.72,6.81,7.46,9.00,9.58,9.15,7.67,8.03,9.35,11.95,14.27,9.62,Upgrade
11,EV/FCF Ratio,8.83,8.86,8.72,9.10,9.75,9.32,6.28,6.34,6.80,6.51,7.66,7.28,8.55,10.08,8.86,8.54,11.62,21.32,28.44,-,-,Upgrade
12,Debt / Equity Ratio,0.08,0.08,0.14,0.16,0.14,0.17,0.23,0.26,0.24,0.28,0.34,0.33,0.38,0.43,0.44,0.46,0.49,0.53,0.57,0.60,0.57,Upgrade
13,Debt / EBITDA Ratio,0.45,0.29,0.79,1.30,0.87,0.41,0.95,1.82,0.77,0.45,0.96,1.11,1.23,0.91,2.76,3.59,1.95,1.10,1.99,6.08,4.84,Upgrade
14,Debt / FCF Ratio,0.38,0.38,0.56,0.64,0.68,0.90,0.90,0.94,0.97,1.02,1.37,1.41,1.84,2.42,2.28,2.43,3.43,6.58,9.35,-,-,Upgrade
15,Quick Ratio,1.13,1.13,0.79,0.58,1.85,1.43,1.04,0.89,1.77,1.18,1.03,1.41,1.03,0.76,0.47,0.36,0.50,0.50,0.53,0.20,0.27,Upgrade
16,Current Ratio,1.17,1.17,0.91,0.65,1.92,1.48,1.14,0.94,1.82,1.21,1.10,1.51,1.08,0.81,0.59,0.46,0.60,0.57,0.76,0.46,0.59,Upgrade
17,Asset Turnover,0.37,0.22,0.15,0.20,0.48,0.26,0.16,0.31,0.61,0.34,0.30,0.30,0.45,0.17,0.15,0.23,0.49,0.23,0.10,0.11,Upgrade,
18,Return on Equity (ROE),18.69%,10.63%,7.19%,10.56%,28.58%,15.87%,7.52%,21.12%,43.00%,23.31%,20.00%,20.44%,29.79%,7.23%,4.61%,14.01%,29.97%,16.18%,1.37%,3.13%,Upgrade,
19,Return on Assets (ROA),12.32%,6.82%,4.94%,6.76%,16.71%,9.31%,4.87%,12.22%,22.64%,12.44%,10.96%,10.85%,15.12%,4.85%,3.81%,7.73%,14.06%,8.46%,2.64%,3.43%,Upgrade,
20,Return on Capital (ROIC),12.73%,7.03%,5.07%,6.98%,17.35%,10.03%,5.23%,12.97%,24.10%,12.83%,11.24%,11.28%,15.72%,4.95%,3.92%,8.12%,14.75%,8.68%,2.69%,3.51%,Upgrade,
21,Return on Capital Employed (ROCE),13.66%,13.66%,16.52%,18.52%,16.60%,19.58%,23.50%,25.59%,25.78%,25.93%,22.40%,18.05%,15.33%,14.37%,13.97%,15.64%,14.99%,13.15%,9.99%,7.81%,11.09%,Upgrade
22,Earnings Yield,6.16%,6.31%,7.50%,7.35%,7.66%,11.19%,14.59%,16.03%,16.95%,17.77%,13.94%,12.92%,10.61%,9.99%,10.71%,13.66%,12.94%,10.94%,7.61%,5.26%,9.78%,Upgrade
23,Earnings Yield,6.16%,6.31%,7.50%,7.35%,7.66%,11.19%,14.59%,16.03%,16.95%,17.77%,13.94%,12.92%,10.61%,9.99%,10.71%,13.66%,12.94%,10.94%,7.61%,5.26%,9.78%,Upgrade
24,FCF Yield,11.74%,12.02%,12.20%,11.31%,11.06%,12.17%,17.21%,17.72%,16.51%,18.62%,14.97%,16.60%,14.76%,13.03%,15.29%,16.58%,12.33%,7.00%,5.25%,3.53%,10.35%,Upgrade
