,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,100559,59161,44309,60084,145600,81239,49916,99240,196207,109017,95204,95203,142392,51685,47012,73792,159940,73352,31420,33503,Upgrade
1,Revenue Growth (YoY),-30.93%,-27.18%,-11.23%,-39.46%,-25.79%,-25.48%,-47.57%,4.24%,37.79%,110.92%,102.51%,29.02%,-10.97%,-29.54%,49.62%,120.26%,85.51%,142.05%,-56.77%,-47.88%,Upgrade
2,"Selling, General & Admin",5468,4063,3281,4011,7770,4642,3852,5576,10058,5694,5199,4719,8588,2459,2746,4065,6908,4244,2390,2191,Upgrade
3,Other Operating Expenses,41120,25304,18306,23115,56812,30669,21241,30095,69278,40140,34010,34820,56772,24961,24954,29540,78967,25178,15631,13983,Upgrade
4,Total Operating Expenses,46588,29367,21587,27126,64582,35312,25093,35670,79336,45834,39209,39539,65360,27420,27700,33605,85876,29422,18021,16174,Upgrade
5,Operating Income,53972,29794,22722,32958,81018,45928,24823,63570,116871,63183,55994,55664,77032,24265,19312,40188,74064,43930,13399,17329,Upgrade
6,Interest Expense,-2248,-2567,-3577,-3317,-4204,-5435,-6165,-6394,-6245,-6939,-7157,-7729,-8348,-8265,-8568,-9314,-9497,-9819,-10051,-10223,Upgrade
7,Interest Income,2935,20.59,711.17,391.22,37.77,61.61,1205,565.01,216.13,474.54,481.41,102.18,100.04,46.07,75.29,1.32,18.26,1.42,1.18,1.6,Upgrade
8,Net Interest Expense,687.5,-2547,-2866,-2926,-4166,-5373,-4960,-5829,-6029,-6465,-6676,-7627,-8248,-8219,-8493,-9313,-9479,-9817,-10050,-10221,Upgrade
9,Other Non-Operating Income (Expenses),-3959,-16.27,59.69,493.58,-974.45,-,1027,-3.45,-5471,99.66,88.25,-17.53,627.09,44.83,-126.87,-211.44,-90.11,-47.73,-33.17,-54.74,Upgrade
10,EBT Excluding Unusual Items,50700,27231,19916,30526,75877,40555,20890,57737,105371,56817,49407,48020,69411,16091,10692,30663,64495,34065,3316,7053,Upgrade
11,Gain (Loss) on Sale of Assets,-,-,-,-,1215,-,-,-,14.41,-,14.41,-,-,-,-,-,-,-,-,-,Upgrade
12,Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-2915,-,-,-,-,-,-,-,Upgrade
13,Pretax Income,50700,27231,19916,30526,77092,40555,20890,57737,105385,56817,49421,48020,66495,16091,10692,30663,64495,34065,3316,7053,Upgrade
14,Income Tax Expense,6015,2738,2452,3594,7634,4081,3008,6220,5637,2957,3347,3155,2902,818.5,1064,1999,3789,1707,627.2,928.94,Upgrade
15,Net Income,44685,24493,17464,26931,69458,36474,17882,51517,99749,53860,46075,44865,63594,15273,9628,28665,60706,32358,2689,6124,Upgrade
16,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,9357,-,-,-,3747,-,-,-,5719,-,-,-,Upgrade
17,Net Income to Common,44685,24493,17464,26931,69458,36474,17882,51517,90392,53860,46075,44865,59847,15273,9628,28665,54987,32358,2689,6124,Upgrade
18,Net Income Growth,-35.67%,-32.85%,-2.34%,-47.72%,-30.37%,-32.28%,-61.19%,14.83%,56.85%,252.66%,378.54%,56.52%,4.76%,-52.80%,258.06%,368.10%,99.74%,525.41%,-92.44%,-77.20%,Upgrade
19,Shares Outstanding (Basic),60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,Upgrade
20,Shares Outstanding (Diluted),60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,Upgrade
21,Shares Change (YoY),-,0.24%,0.24%,0.31%,0.24%,0.10%,0.03%,0.02%,0.09%,-,0.06%,-,0.01%,-,-0.00%,-,-0.01%,-0.04%,-0.28%,-0.12%,Upgrade
22,EPS (Basic),738.73,404.93,288.71,445.23,1148.28,604.43,296.33,854.34,1497.93,893.42,763.78,744.21,992.68,253.34,159.71,475.49,912.11,536.75,44.60,101.58,Upgrade
23,EPS (Diluted),738.73,404.93,288.71,445.00,1148.28,604.00,296.00,854.00,1497.49,893.00,763.78,744.00,991.97,253.00,159.71,475.00,912.02,536.75,44.00,101.58,Upgrade
24,EPS Growth,-35.67%,-32.96%,-2.46%,-47.89%,-23.32%,-32.36%,-61.25%,14.78%,50.96%,252.96%,378.24%,56.63%,8.77%,-52.86%,262.96%,367.62%,119.37%,525.68%,-92.52%,-77.17%,Upgrade
25,Free Cash Flow,45781,5571,70280,94586,54549,11908,56687,67473,106454,15935,54770,79057,74100,10223,22153,46336,84423,6507,-18669,-7030,Upgrade
26,Free Cash Flow Per Share,756.86,92.10,1161.88,1563.70,901.82,197.33,939.39,1118.95,1764.10,264.33,907.93,1311.38,1229.10,169.57,367.46,768.62,1400.39,107.93,-309.66,-116.61,Upgrade
