,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Market Capitalization,1283,4622,-,-,-
1,Enterprise Value,-44,8170,-,-,-
2,Last Close Price,1.26,4.65,-,-,-
3,PE Ratio,3.83,5.91,-,-,-
4,PS Ratio,0.47,5.37,-,-,-
5,PB Ratio,0.94,3.46,-,-,-
6,P/TBV Ratio,3.46,3.46,-,-,-
7,P/FCF Ratio,7.48,56.50,-,-,-
8,P/OCF Ratio,26.84,55.15,-,-,-
9,EV/Sales Ratio,9.24,9.50,-,-,-
10,EV/EBITDA Ratio,40.08,48.60,-,-,-
11,EV/EBIT Ratio,40.76,50.13,-,-,-
12,EV/FCF Ratio,-0.26,99.88,-,-,-
13,Debt / Equity Ratio,0.01,0.01,0.01,-,-1.20
14,Debt / EBITDA Ratio,0.07,0.05,0.05,-,51.51
15,Debt / FCF Ratio,0.08,0.17,0.17,-,123.64
16,Asset Turnover,0.42,-,-,-,
17,Quick Ratio,1.92,1.92,1.92,-,-
18,Current Ratio,2.66,2.66,2.66,-,-
19,Return on Equity (ROE),152.41%,-,-,-,
20,Return on Assets (ROA),7.52%,-,-,-,
21,Return on Capital (ROIC),11.39%,-,-,-,
22,Return on Capital Employed (ROCE),14.91%,12.13%,7.55%,-,-
23,Earnings Yield,122.97%,16.92%,-,-,-
24,FCF Yield,13.36%,1.77%,-,-,-
