,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Revenue,202.07,202.07,198.09,198.09
1,Cost of Revenue,54,54,47.03,47.03
2,Gross Profit,148.07,148.07,151.06,151.06
3,"Selling, General & Admin",46.12,46.12,84,84
4,Research & Development,37.09,37.09,28.65,28.65
5,Operating Expenses,90.79,90.79,132.5,132.5
6,Operating Income,57.28,57.28,18.56,18.56
7,Interest Expense,-0.09,-0.09,-0.08,-0.08
8,Interest & Investment Income,5.18,5.18,4.2,4.2
9,Currency Exchange Gain (Loss),0,0,0.03,0.03
10,Other Non Operating Income (Expenses),416.46,416.46,-132.57,-132.57
11,EBT Excluding Unusual Items,478.83,478.83,-109.86,-109.86
12,Gain (Loss) on Sale of Investments,0.54,0.54,1.49,1.49
13,Legal Settlements,-0.19,-0.19,-0.01,-0.01
14,Pretax Income,479.18,479.18,-108.38,-108.38
15,Income Tax Expense,5.24,5.24,1.7,1.7
16,Net Income,473.94,473.94,-110.08,-110.08
17,Net Income to Common,473.94,473.94,-110.08,-110.08
18,Shares Outstanding (Basic),332,332,322,322
19,Shares Outstanding (Diluted),951,951,322,322
20,EPS (Basic),1.43,1.43,-0.34,-0.34
21,EPS (Diluted),0.04,0.04,-0.34,-0.34
22,Free Cash Flow,1.91,1.91,36.16,36.16
23,Free Cash Flow Per Share,0.00,0.00,0.11,0.11
24,Gross Margin,73.28%,73.28%,76.26%,76.26%
25,Operating Margin,28.34%,28.34%,9.37%,9.37%
26,Profit Margin,234.55%,234.55%,-55.57%,-55.57%
27,Free Cash Flow Margin,0.94%,0.94%,18.25%,18.25%
28,EBITDA,57.99,57.99,20.24,20.24
29,EBITDA Margin,28.70%,28.70%,10.22%,10.22%
30,D&A For EBITDA,0.72,0.72,1.68,1.68
31,EBIT,57.28,57.28,18.56,18.56
32,EBIT Margin,28.34%,28.34%,9.37%,9.37%
33,Effective Tax Rate,1.09%,1.09%,-,-
