,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,1037.0,1037.0,-,-
1,Trading Asset Securities,211.06,211.06,-,-
2,Cash & Short-Term Investments,1248.0,1248.0,-,814.18
3,Receivables,8.69,8.69,-,-
4,Prepaid Expenses,71.23,71.23,-,-
5,Restricted Cash,408.04,408.04,-,-
6,Total Current Assets,1736.0,1736.0,-,-
7,"Property, Plant & Equipment",20.36,20.36,-,-
8,Long-Term Deferred Tax Assets,74.16,74.16,-,-
9,Other Long-Term Assets,74.14,74.14,-,-
10,Total Assets,1904.0,1904.0,-,-
11,Accounts Payable,577.39,577.39,-,-
12,Accrued Expenses,49.73,49.73,-,-
13,Current Portion of Leases,5.82,5.82,-,-
14,Current Income Taxes Payable,8.54,8.54,-,-
15,Current Unearned Revenue,1.35,1.35,-,-
16,Other Current Liabilities,10.75,10.75,-,-
17,Total Current Liabilities,653.58,653.58,-,-
18,Long-Term Leases,7.04,7.04,-,-
19,Total Liabilities,660.61,660.61,-,-
20,Common Stock,0.68,0.68,-,-
21,Additional Paid-In Capital,3795.0,3795.0,-,-
22,Retained Earnings,-2671.0,-2671.0,-,-
23,Treasury Stock,-0.01,-0.01,-,-
24,Comprehensive Income & Other,118.83,118.83,-,-
25,Shareholders' Equity,1244.0,1244.0,-,-3720
26,Total Liabilities & Equity,1904.0,1904.0,-,-
27,Total Debt,12.86,12.86,-,4471
28,Net Cash (Debt),1235.0,1235.0,-,-3657
29,Net Cash Per Share,1.3,1.3,-,-11.36
30,Filing Date Shares Outstanding,993.98,993.98,321.74,321.74
31,Total Common Shares Outstanding,993.98,993.98,321.74,321.74
32,Working Capital,1082.0,1082.0,-,-
33,Book Value Per Share,1.25,1.25,-,-11.69
34,Tangible Book Value,1244.0,1244.0,-,-3720
35,Tangible Book Value Per Share,1.25,1.25,-,-11.69
