,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,235.34,270.12,101.3,227.95,114.94,161.41,114.69,140.6,105.08,93.76,Upgrade
1,Short-Term Investments,-,10,-,-,-,-,-,-,-,-,Upgrade
2,Cash & Short-Term Investments,235.34,280.12,101.3,227.95,114.94,161.41,114.69,140.6,105.08,93.76,Upgrade
3,Cash Growth,132.33%,22.89%,-11.87%,41.23%,0.22%,14.80%,9.14%,49.96%,-20.23%,-36.51%,Upgrade
4,Accounts Receivable,70.54,47.26,62.01,35.9,89.61,34.96,80.6,56.9,72.95,41.57,Upgrade
5,Other Receivables,1.18,6.36,30.24,4.33,-,1.62,0.06,2.53,-,7.68,Upgrade
6,Receivables,71.72,53.61,92.25,40.22,89.61,36.58,80.66,59.44,72.95,49.91,Upgrade
7,Inventory,73.8,68.73,73.39,68.77,110.11,88.17,81.04,59.15,65.56,61.65,Upgrade
8,Prepaid Expenses,21.04,4.91,102.51,4.44,6.46,5.8,10.65,4.82,24.08,4.54,Upgrade
9,Other Current Assets,-,0.32,-,0.55,-,0.51,-,0.73,-,0.7,Upgrade
10,Total Current Assets,401.9,407.69,369.45,341.94,321.11,292.46,287.03,264.73,267.68,210.56,Upgrade
11,"Property, Plant & Equipment",145.56,152.31,152.41,159.71,169.3,181.1,189.55,205.07,212.59,217.52,Upgrade
12,Goodwill,25.79,25.79,25.79,-,-,-,-,-,-,-,Upgrade
13,Long-Term Deferred Tax Assets,1.63,1.56,1.34,1.08,1.59,1.15,0.69,0.61,0.37,0.39,Upgrade
14,Other Long-Term Assets,31.99,32.58,2.55,3.37,2.88,3.1,5.48,6.56,7.38,16.41,Upgrade
15,Total Assets,606.87,619.94,551.53,506.1,494.89,477.82,482.75,476.96,488.02,458.73,Upgrade
16,Accounts Payable,102.39,96.5,93.98,76.24,51.27,59.81,47.8,44.27,57.06,40.06,Upgrade
17,Accrued Expenses,51.67,29.83,47.96,31.57,27.11,16.34,25.62,14.16,21.89,13.42,Upgrade
18,Short-Term Debt,162.1,161.98,107.66,107.45,108.36,108.5,111.01,108.09,109.71,102.63,Upgrade
19,Current Portion of Leases,3.72,4.07,1.96,1.83,0.68,1.57,1.86,1.82,1.16,1.74,Upgrade
20,Current Income Taxes Payable,8.54,4.87,3.69,3.88,4.48,1.38,1.97,2.22,5.25,1.57,Upgrade
21,Current Unearned Revenue,6.62,9.95,8.88,8.4,14.34,12.26,5.52,1.18,2.1,0.98,Upgrade
22,Other Current Liabilities,-,24.03,3.4,5.25,-,5.6,-,4.73,-,5.91,Upgrade
23,Total Current Liabilities,335.02,331.24,267.52,234.61,206.24,205.46,193.78,176.46,197.16,166.3,Upgrade
24,Long-Term Leases,4.19,5.98,1.6,2.51,0.14,0.19,0.84,1.8,1.34,1.76,Upgrade
25,Long-Term Deferred Tax Liabilities,-,0.23,0.08,0.56,0.15,0.48,0.47,0.47,0.62,0.62,Upgrade
26,Total Liabilities,339.21,337.45,269.2,237.67,206.54,206.12,195.08,178.74,199.12,168.67,Upgrade
27,Common Stock,148.93,148.93,148.93,148.93,148.93,148.93,148.93,148.93,148.93,148.93,Upgrade
28,Retained Earnings,112.9,126.72,118.79,128.28,140.5,128.43,141.68,142.69,132.08,133.77,Upgrade
29,Comprehensive Income & Other,-5.83,-7.27,-5.65,-8.78,-1.08,-5.67,-2.94,6.61,7.9,7.37,Upgrade
30,Total Common Equity,256,268.38,262.08,268.42,288.35,271.69,287.67,298.23,288.9,290.06,Upgrade
31,Minority Interest,11.66,14.11,20.26,-,-,-,-,-,-,-,Upgrade
32,Shareholders' Equity,267.66,282.49,282.33,268.42,288.35,271.69,287.67,298.23,288.9,290.06,Upgrade
33,Total Liabilities & Equity,606.87,619.94,551.53,506.1,494.89,477.82,482.75,476.96,488.02,458.73,Upgrade
34,Total Debt,170,172.04,111.22,111.78,109.18,110.25,113.7,111.7,112.2,106.12,Upgrade
35,Net Cash (Debt),65.34,108.08,-9.92,116.17,5.76,51.16,0.99,28.9,-7.12,-12.37,Upgrade
36,Net Cash Growth,-,-6.96%,-,127.07%,481.72%,77.05%,-,-,-,-,Upgrade
37,Net Cash Per Share,0.13,0.22,-0.02,0.23,0.01,0.10,0.00,0.06,-0.01,-0.03,Upgrade
