,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2602,2269,2238,2678,3030,2987,2987,2945,2721,2824,3657,3117,-,-,-,-
1,Market Cap Growth,-24.03%,-24.03%,-25.07%,-9.04%,11.38%,5.75%,-18.32%,-5.52%,-,-,-,-,-,-,-,-
2,Enterprise Value,2271,1894,1731,2100,2452,2412,2359,2274,2050,2138,2902,2966,-,-,-,-
3,Last Close Price,25.31,22.02,21.72,25.63,29.00,28.58,28.75,28.13,25.99,26.98,34.47,29.38,-,-,-,-
4,PE Ratio,-,-,-103.56,-,-,-,51.99,66.25,37.77,35.84,-,24.64,-,-,-,-
5,PS Ratio,5.13,4.22,4.18,7.09,7.57,7.24,7.03,7.49,6.68,7.14,9.43,6.48,-,-,-,-
6,PB Ratio,2.71,2.36,2.29,2.69,3.02,2.91,2.91,2.84,2.64,2.80,3.70,3.00,-,-,-,-
7,P/TBV Ratio,2.41,2.41,2.33,2.74,3.07,2.97,2.96,2.89,2.68,2.85,3.76,3.06,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-38.72,-56.01,-,-,39.56,67.52,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-,-727.28,-220.69,-,-,25.16,39.56,-,16.38,-,-,-,-
10,EV/Sales Ratio,4.23,3.52,3.24,5.56,6.12,5.85,5.55,5.79,5.03,5.40,7.49,6.17,-,-,-,-
11,EV/EBITDA Ratio,-,-,-35.25,-,-,-,71.10,116.30,39.10,30.78,-,21.19,-,-,-,-
12,EV/EBIT Ratio,-,-,-31.46,-,-,-,81.05,140.11,41.43,31.96,-,21.76,-,-,-,-
13,EV/FCF Ratio,-14.23,-,-,-,-31.33,-45.24,-,-,29.82,51.12,-,-,-,-,-,-
14,Debt / Equity Ratio,0.22,0.22,0.18,0.17,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.06,-,-,-
15,Debt / EBITDA Ratio,-,-,3.30,-,-,-,0.66,1.17,0.41,0.32,-,0.11,0.20,-,-,-
16,Debt / FCF Ratio,-,-,-,-,-0.33,-0.49,-,-,0.30,0.51,-,-,0.35,-,-,-
17,Asset Turnover,0.22,0.76,0.28,0.37,0.25,0.36,0.39,0.42,0.30,0.25,0.58,-,-,-,-,
18,Inventory Turnover,3.54,1.81,6.88,2.12,3.45,1.83,2.53,2.92,2.74,2.03,1.83,2.55,-,-,-,-
19,Quick Ratio,2.86,2.86,3.09,3.63,5.62,6.90,6.96,7.68,7.98,8.83,5.63,7.28,2.75,-,-,-
20,Current Ratio,3.44,3.44,3.64,4.22,6.47,7.95,8.01,8.92,8.89,10.04,6.36,8.16,3.68,-,-,-
21,Return on Equity (ROE),-6.19%,2.45%,-1.71%,-7.98%,-2.24%,3.43%,2.27%,8.58%,8.26%,-1.62%,18.63%,-,-,-,-,
22,Return on Assets (ROA),-2.13%,0.82%,-1.92%,-7.98%,-2.64%,1.00%,0.65%,1.12%,3.51%,-1.73%,10.40%,-,-,-,-,
23,Return on Capital (ROIC),-2.54%,0.98%,-2.22%,-9.00%,-2.94%,1.11%,0.72%,1.24%,3.97%,-1.98%,12.30%,-,-,-,-,
24,Return on Capital Employed (ROCE),-,-,-5.03%,-,-,-,2.78%,1.55%,4.72%,6.54%,-,12.93%,34.56%,-,-,-
25,Earnings Yield,-1.18%,-1.35%,-0.97%,-0.71%,-0.32%,1.05%,1.92%,1.51%,2.65%,2.79%,1.83%,4.06%,-,-,-,-
26,FCF Yield,-6.14%,-7.04%,-6.34%,-2.55%,-2.58%,-1.79%,-0.82%,-1.93%,2.53%,1.48%,-0.69%,5.31%,-,-,-,-
27,Dividend Yield,0.78%,-,-,-,0.69%,-,-,-,0.77%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,323.90%,-,-,-,231.23%,-,-,212.57%,-,-,-,-,-,-
29,Buyback Yield / Dilution,-4.71%,-31.86%,35.90%,-16.34%,-11.81%,-0.69%,-7.52%,-8.19%,-93.71%,-16.32%,6.66%,-61.29%,-,-,-,-
30,Total Shareholder Return,-3.93%,-31.86%,35.90%,-16.34%,-11.12%,-0.69%,-7.52%,-8.19%,-92.94%,-16.32%,6.66%,-61.29%,-,-,-,-
