,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,544.8,548.42,652.88,665.67,604.09,603.21,376.21,745.2,276.6,147.05,450.62,174.8,-,-,-
1,Trading Asset Securities,-,-,24,-,-,-,270,49.78,415,563,320,-,-,-,-
2,Cash & Short-Term Investments,544.8,548.42,676.88,665.67,604.09,603.21,646.21,794.98,691.6,710.05,770.62,174.8,-,-,125.95
3,Cash Growth,-9.81%,-9.08%,4.75%,-16.27%,-12.65%,-15.05%,-16.14%,354.79%,-,-,511.85%,-,-,-,-
4,Accounts Receivable,231.84,360.21,261.37,169.33,294.91,304.66,266.05,173.07,233.47,278.17,215.04,204.59,-,-,-
5,Other Receivables,54.04,28.79,6.12,5.38,3.8,0.15,3.23,2.82,2.29,-,23.03,0.02,-,-,-
6,Receivables,285.88,389,267.49,174.71,298.71,305.33,269.28,175.88,235.76,278.47,238.07,205.11,-,-,-
7,Inventory,125.67,126.4,120.72,106.8,114.98,111.69,111.27,98.52,110.01,111.73,111.7,119.2,-,-,-
8,Other Current Assets,44.65,40.06,34.54,21.06,22.48,24.95,36.21,11.87,16.81,16.21,10.72,7.88,-,-,-
9,Total Current Assets,1001,1104,1100,968.25,1040,1045,1063,1081,1054,1116,1131,506.99,-,-,-
10,"Property, Plant & Equipment",228.26,177.41,152.22,102.48,59.93,61.31,43.77,42.72,36.01,37.05,33.94,33.49,-,-,-
11,Long-Term Investments,86.63,60.6,50.49,50.55,30.94,31.05,30.8,14.8,-,-,-,-,-,-,-
12,Other Intangible Assets,17.43,17.36,17.76,18.15,18.55,17.38,17.72,17.38,17.34,17.4,17.66,0.62,-,-,-
