,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,75.79,262.69,90.22,108.19,73.34,105.45,112.9,120.7,85.85,73.68,127.03,109.29,77.66,166.65,148.89
1,Other Revenue,-0.21,0.21,-,0.42,-,-,-,-,-,-,-,-,-,-,-
2,Revenue,75.57,262.9,90.22,108.62,73.34,105.45,112.9,120.7,85.85,73.68,127.03,109.29,77.66,166.65,148.89
3,Revenue Growth (YoY),3.04%,149.31%,-20.09%,-10.01%,-14.57%,43.12%,-11.13%,10.45%,10.54%,-55.79%,-14.68%,-,-,-,-
4,Cost of Revenue,57.17,212.6,60.33,95.78,51.81,70.62,76.47,71.53,56.22,51.09,73.72,60.1,44,88.45,82.96
5,Gross Profit,18.4,50.3,29.89,12.84,21.53,34.83,36.42,49.18,29.62,22.59,53.31,49.18,33.66,78.19,65.93
6,"Selling, General & Admin",20.68,21.65,18.72,27.07,18.74,16.87,15.18,12.72,11.04,15.9,11.23,16.18,10.09,8.48,10.95
7,Research & Development,14.22,16.69,17.61,20.7,18.27,16,14.75,18.96,10.39,12.01,10,8.33,13.33,8.98,10.96
8,Other Operating Expenses,0.69,0.49,0.33,5.25,-3.49,-4.61,-0.75,13.42,-5.51,0.28,-6.78,7.01,-1.5,-1.7,-5.96
9,Operating Expenses,30.2,45.76,39.64,50.25,33.93,30.16,33.38,44,13.4,30.79,17.01,26.59,22.59,11.89,22.73
10,Operating Income,-11.8,4.54,-9.75,-37.42,-12.4,4.67,3.04,5.17,16.22,-8.2,36.3,22.59,11.07,66.3,43.2
11,Interest Expense,-0.81,-0.52,-,-,-0.65,-0.59,-,-0.38,-0.27,-0.53,-,-0.09,-0.51,-0.36,-0.44
12,Interest & Investment Income,1.04,1.33,1.75,0.95,3.09,4.32,2.77,1.85,6.72,3.61,0.59,0.06,0.14,-,0.3
13,Currency Exchange Gain (Loss),-0.01,0.01,-,-0.28,0.15,-0.15,-,-0.01,-0.11,0.11,-,0.08,0.02,-0.02,-
14,Other Non Operating Income (Expenses),-0.74,-2.07,0.42,-6.12,5.57,-1.27,0.53,-1.2,0.16,-0.04,-0.13,0.17,0.09,-0.18,-0.15
15,EBT Excluding Unusual Items,-12.32,3.29,-7.58,-42.87,-4.23,6.99,6.34,5.44,22.73,-5.05,36.76,22.81,10.81,65.75,42.92
16,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-0.22,-,-,-,0.29,0.38,-0.74,-
17,Gain (Loss) on Sale of Assets,0,-,0.06,0.02,-,-,-,-,-,-,-,-,-,-,0
18,Asset Writedown,-2.09,0.21,-0.21,1.98,-1.98,-0.04,0.04,0.12,-0.12,-0.82,0.82,2.25,-2.25,-0.16,0.16
19,Other Unusual Items,0.29,0.92,3.02,11.57,-,-,-,17.55,-,-,-,5.23,-,-,-
20,Pretax Income,-14.12,4.41,-4.71,-29.3,-6.21,6.95,6.38,22.89,22.61,-5.87,37.58,30.59,8.94,64.85,43.08
21,Income Tax Expense,0.89,-1.64,-0.45,-9.09,-0.46,-1.91,0.49,0.98,1.97,-1.76,4.14,1.84,0.22,9.28,5.85
22,Earnings From Continuing Operations,-15.01,6.04,-4.26,-20.21,-5.75,8.86,5.89,21.91,20.64,-4.11,33.44,28.75,8.71,55.57,37.23
23,Minority Interest in Earnings,0.57,0.16,0.84,1.26,0.31,0.03,-0.02,0.05,0.09,-,-,-,-,-,-
24,Net Income,-14.44,6.21,-3.41,-18.96,-5.45,8.89,5.87,21.96,20.73,-4.11,33.44,28.75,8.71,55.57,37.23
25,Net Income to Common,-14.44,6.21,-3.41,-18.96,-5.45,8.89,5.87,21.96,20.73,-4.11,33.44,28.75,8.71,55.57,37.23
26,Net Income Growth,-,-30.21%,-,-,-,-,-82.46%,-23.62%,137.91%,-,-10.17%,-,-,-,-
27,Shares Outstanding (Basic),131,72,114,118,100,113,98,106,99,105,90,55,85,113,56
28,Shares Outstanding (Diluted),131,72,114,118,100,113,98,106,99,105,90,55,85,113,56
29,Shares Change (YoY),31.86%,-35.90%,16.34%,11.81%,0.69%,7.52%,8.19%,93.71%,16.32%,-6.66%,61.29%,-,-,-,-
30,EPS (Basic),-0.11,0.09,-0.03,-0.16,-0.05,0.08,0.06,0.21,0.21,-0.04,0.37,0.53,0.10,0.49,0.66
31,EPS (Diluted),-0.11,0.09,-0.03,-0.16,-0.05,0.08,0.06,0.21,0.21,-0.04,0.37,0.53,0.10,0.49,0.66
32,EPS Growth,-,8.87%,-,-,-,-,-83.78%,-60.57%,104.52%,-,-44.30%,-,-,-,-
33,Free Cash Flow,-15.28,-101.26,-125.88,82.79,2.36,-27.63,-135.76,107.72,31.11,-59.77,-10.29,80.78,-35.83,130.76,-108.23
34,Free Cash Flow Per Share,-0.12,-1.40,-1.11,0.70,0.02,-0.24,-1.39,1.02,0.31,-0.57,-0.11,1.48,-0.42,1.16,-1.93
35,Dividend Per Share,-,-,-,0.200,-,-,-,0.200,-,-,-,0.600,-,-,-
36,Dividend Growth,-,-,-,0%,-,-,-,-66.67%,-,-,-,-,-,-,-
37,Gross Margin,24.35%,19.13%,33.13%,11.82%,29.35%,33.03%,32.26%,40.74%,34.51%,30.65%,41.96%,45.00%,43.34%,46.92%,44.28%
38,Operating Margin,-15.61%,1.73%,-10.81%,-34.45%,-16.90%,4.43%,2.70%,4.28%,18.90%,-11.13%,28.58%,20.67%,14.25%,39.79%,29.02%
39,Profit Margin,-19.11%,2.36%,-3.78%,-17.45%,-7.43%,8.43%,5.20%,18.20%,24.15%,-5.58%,26.33%,26.31%,11.22%,33.34%,25.00%
40,Free Cash Flow Margin,-20.22%,-38.52%,-139.53%,76.22%,3.21%,-26.21%,-120.25%,89.24%,36.24%,-81.12%,-8.10%,73.92%,-46.14%,78.47%,-72.69%
41,EBITDA,-10.26,6.42,-8.21,-35.88,-11.44,6.24,4,6.13,16.81,-7.38,36.88,23.18,11.41,68.49,43.54
42,EBITDA Margin,-13.57%,2.44%,-9.10%,-33.03%,-15.60%,5.92%,3.55%,5.08%,19.58%,-10.02%,29.03%,21.21%,14.69%,41.10%,29.25%
43,D&A For EBITDA,1.54,1.88,1.54,1.54,0.96,1.57,0.96,0.96,0.58,0.82,0.58,0.58,0.34,2.18,0.34
44,EBIT,-11.8,4.54,-9.75,-37.42,-12.4,4.67,3.04,5.17,16.22,-8.2,36.3,22.59,11.07,66.3,43.2
45,EBIT Margin,-15.61%,1.73%,-10.81%,-34.45%,-16.90%,4.43%,2.70%,4.28%,18.90%,-11.13%,28.58%,20.67%,14.25%,39.79%,29.02%
46,Effective Tax Rate,-,-,-,-,-,-,7.70%,4.27%,8.70%,-,11.02%,6.00%,2.50%,14.32%,13.59%
47,Revenue as Reported,75.57,262.9,90.22,108.62,73.34,105.45,112.9,120.7,85.85,73.68,127.03,109.29,77.66,166.65,148.89
