,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Operating Revenue,425.15,370.67,332.76,367.91,356.34,294.61,276.26,282.05,314.39,301.89,293.58,315.73
1,Other Revenue,-9.15,9.15,-,25.1,-11.78,11.78,-,26.74,-11.66,11.66,-,-
2,Revenue,416,379.82,332.76,393.01,344.56,306.39,276.26,308.79,302.73,313.54,293.58,315.73
3,Revenue Growth (YoY),20.74%,23.96%,20.45%,27.27%,13.82%,-2.28%,-5.90%,-2.20%,-,-,-,-
4,Cost of Revenue,251.38,255.24,220.39,275.78,200.69,208.54,168.34,207.97,174.76,206.33,179.87,201.49
5,Gross Profit,164.62,124.58,112.37,117.23,143.86,97.85,107.92,100.82,127.97,107.21,113.71,114.25
6,"Selling, General & Admin",38.67,44.32,39.25,35.46,41.31,39.28,32.76,22.88,39.78,25.98,24.15,23.61
7,Research & Development,24.46,27.88,27.7,29.75,22.02,23.25,22.7,22.6,17.46,21.12,18.63,21.18
8,Other Operating Expenses,3.43,3.14,2.34,-3.34,-0.66,-0.84,-29.37,15.99,-0.81,-5.65,-0.54,12.55
9,Operating Expenses,72.87,78.07,68.53,66.05,67.39,58.64,29.37,61.76,57.66,41.22,42.17,58.62
10,Operating Income,91.74,46.51,43.84,51.18,76.48,39.21,78.55,39.06,70.31,66,71.54,55.63
11,Interest Expense,-2.52,-2.07,-2.29,-1.98,-1.86,-,-4.07,-6.14,-,-3.85,-2.53,-3.9
12,Interest & Investment Income,2.63,2.89,1.18,4.78,4.63,6,5.32,1.11,0.24,0.16,0.06,0.06
13,Currency Exchange Gain (Loss),0.74,-0.74,-,-1.6,0.91,-0.91,-,-2.38,0.77,-0.77,-,0.25
14,Other Non Operating Income (Expenses),0.12,-0.16,-0.67,-0.09,-2.12,-1.84,2.55,5,-5.43,0.55,-1.14,0.41
15,EBT Excluding Unusual Items,92.72,46.44,42.06,52.3,78.03,42.47,82.36,36.66,65.89,62.1,67.93,52.44
16,Gain (Loss) on Sale of Investments,1.54,1.65,1.62,0.65,0.3,0.74,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,0.03,0,-,-1.03,-0.62,0.04,-0.58,-,-0.15,-0.06,0.02,0.54
18,Asset Writedown,-11.59,2.28,-2.52,3.7,-10.3,1.93,-1.76,0.43,-1.88,0.19,-1.99,1.83
19,Other Unusual Items,12.6,4.19,4.05,0.05,2.63,-2.63,-,16.81,-0.26,0.26,-,17.13
20,Pretax Income,95.31,54.56,45.21,55.67,70.04,42.55,80.02,53.89,63.6,62.49,65.97,71.95
21,Income Tax Expense,11.78,6.32,4.43,5.52,6.55,4.92,11.8,-0.08,8.17,7.29,7.92,8.86
22,Earnings From Continuing Operations,83.54,48.24,40.79,50.15,63.49,37.63,68.21,53.98,55.44,55.2,58.05,63.09
23,Minority Interest in Earnings,-0.19,-0.04,-0.12,-0.08,-0.1,-0.04,0.04,0.04,0.03,0.08,0.04,0.06
24,Net Income,83.35,48.2,40.66,50.07,63.39,37.6,68.26,54.02,55.47,55.28,58.08,63.15
25,Net Income to Common,83.35,48.2,40.66,50.07,63.39,37.6,68.26,54.02,55.47,55.28,58.08,63.15
26,Net Income Growth,31.49%,28.20%,-40.43%,-7.32%,14.27%,-31.99%,17.52%,-14.46%,-,-,-,-
27,Shares Outstanding (Basic),422,401,407,417,424,413,402,384,346,368,363,350
28,Shares Outstanding (Diluted),422,401,407,417,424,413,402,384,346,368,363,350
29,Shares Change (YoY),-0.44%,-2.80%,1.27%,8.64%,22.47%,12.06%,10.61%,9.71%,-,-,-,-
30,EPS (Basic),0.20,0.12,0.10,0.12,0.15,0.09,0.17,0.14,0.16,0.15,0.16,0.18
31,EPS (Diluted),0.20,0.12,0.10,0.12,0.15,0.09,0.17,0.14,0.16,0.15,0.16,0.18
32,EPS Growth,32.07%,31.89%,-41.18%,-14.69%,-6.69%,-39.30%,6.25%,-22.04%,-,-,-,-
33,Free Cash Flow,50.72,45.25,-46.13,-3.73,-40.53,13.67,-21.93,-4.36,-18.21,-14.11,-41.08,41.01
34,Free Cash Flow Per Share,0.12,0.11,-0.11,-0.01,-0.10,0.03,-0.05,-0.01,-0.05,-0.04,-0.11,0.12
35,Dividend Per Share,-,0.200,-,-,0.150,-,-,0.070,-,-,-,-
36,Gross Margin,39.57%,32.80%,33.77%,29.83%,41.75%,31.94%,39.06%,32.65%,42.27%,34.19%,38.73%,36.19%
37,Operating Margin,22.05%,12.25%,13.17%,13.02%,22.20%,12.80%,28.43%,12.65%,23.22%,21.05%,24.37%,17.62%
38,Profit Margin,20.04%,12.69%,12.22%,12.74%,18.40%,12.27%,24.71%,17.49%,18.32%,17.63%,19.78%,20.00%
39,Free Cash Flow Margin,12.19%,11.91%,-13.86%,-0.95%,-11.76%,4.46%,-7.94%,-1.41%,-6.01%,-4.50%,-13.99%,12.99%
40,EBITDA,115.68,73.07,67.77,75.12,96,62.25,98.07,58.58,87.07,84.85,88.31,72.4
41,EBITDA Margin,27.81%,19.24%,20.37%,19.11%,27.86%,20.32%,35.50%,18.97%,28.76%,27.06%,30.08%,22.93%
42,D&A For EBITDA,23.93,26.56,23.93,23.93,19.52,23.04,19.52,19.52,16.77,18.86,16.77,16.77
43,EBIT,91.74,46.51,43.84,51.18,76.48,39.21,78.55,39.06,70.31,66,71.54,55.63
44,EBIT Margin,22.05%,12.25%,13.17%,13.02%,22.20%,12.80%,28.43%,12.65%,23.22%,21.05%,24.37%,17.62%
45,Effective Tax Rate,12.36%,11.58%,9.80%,9.91%,9.35%,11.56%,14.75%,-,12.84%,11.67%,12.01%,12.31%
46,Revenue as Reported,416,379.82,332.76,393.01,344.56,306.39,276.26,308.79,302.73,313.54,293.58,315.73
