,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Cash & Equivalents,178.7,173.94,172.5,202.83,407.82,405.22,586.45,861.97,116.97,138.07,-,67.88
1,Trading Asset Securities,571.02,561.37,541.08,541.68,351.04,390.74,-,-,-,-,-,-
2,Cash & Short-Term Investments,749.71,735.31,713.58,744.51,758.86,795.96,586.45,861.97,116.97,138.07,67.88,67.88
3,Cash Growth,-1.21%,-7.62%,21.68%,-13.63%,548.75%,476.49%,764.00%,1169.92%,-,-,-,-
4,Accounts Receivable,865.34,836.67,799.83,756.81,717.22,647.93,597.67,587.81,598.45,598.86,-,610.65
5,Other Receivables,7.14,6.81,3.13,2.81,3.6,2.08,3.88,3.6,4.29,4.21,-,2.65
6,Receivables,872.48,843.48,802.96,759.62,720.82,650.01,601.55,591.41,602.73,603.06,-,613.3
7,Inventory,396.22,366.8,369.77,339.79,333.97,309.92,326.53,313.78,338.34,356.97,-,292.51
8,Other Current Assets,23.44,105.15,119.16,122.1,18.35,15.2,15.54,15.06,16.91,15.91,-,16.32
9,Total Current Assets,2042,2051,2005,1966,1832,1771,1530,1782,1075,1114,-,990.01
10,"Property, Plant & Equipment",1010,984.07,956.45,957.61,889.86,873.43,838.83,832.89,777.96,754.41,-,706.06
11,Long-Term Investments,-,-,-,-,112.34,111.58,310.84,110.09,-,-,-,-
12,Other Intangible Assets,113.96,111.85,112.62,114.44,91.18,91.83,92.36,93.06,93.79,70.17,-,71.29
13,Long-Term Deferred Tax Assets,80.49,79.8,77.4,75.35,67.56,67.47,67.11,67.93,61.97,60.77,-,56.94
14,Long-Term Deferred Charges,39.26,38.96,37.43,38.82,32.7,31.2,20.89,11.68,8.2,3.11,-,2.4
15,Other Long-Term Assets,26.7,18.83,28.37,27.2,35.57,29.76,37.38,38.67,77.04,64.73,-,8.84
16,Total Assets,3312,3284,3218,3179,3061,2976,2897,2937,2094,2067,-,1836
17,Accounts Payable,485.22,437.15,387.86,379.04,341.72,316.9,288.11,293.63,379.82,410.03,-,392.33
18,Accrued Expenses,53.28,64.81,38.12,71.65,39.68,51.23,31.86,71.89,36.99,46.27,-,55.71
19,Short-Term Debt,107.59,140.81,150.99,127.74,86.26,69.49,33.3,68.79,233.21,267.56,-,209.27
20,Current Portion of Long-Term Debt,27.65,27.68,56.82,45.84,33.43,21.3,28.77,42.2,30.17,17.16,-,2.15
21,Current Portion of Leases,-,4.37,-,6.13,-,2.33,-,3.96,-,4.23,-,4.31
22,Current Income Taxes Payable,27.16,11.38,17.28,16.01,15.82,6.97,18.41,11.66,28.04,12.09,-,17.56
23,Current Unearned Revenue,10.06,8.96,6.46,3.59,8.57,11.82,7.81,4.61,6.22,8.77,-,5.87
24,Other Current Liabilities,34.37,2.76,14.44,2.85,10.2,2.87,5.44,2.13,4.12,1.78,-,1.86
25,Total Current Liabilities,745.33,697.92,671.97,652.84,535.68,482.9,413.7,498.88,718.56,767.89,-,689.06
26,Long-Term Debt,25.16,50.02,59.43,80.65,94.65,119.94,115.69,136.28,176.41,154.84,-,117.92
27,Long-Term Leases,22.66,21.87,22.92,23.56,-,-,-,-,0.75,1.5,-,3.26
28,Long-Term Unearned Revenue,64.84,61.1,62.46,64.54,66.32,68.4,70.47,69.86,71.89,70.58,-,63.14
29,Long-Term Deferred Tax Liabilities,32.72,34.51,36.52,38.31,35.14,38.48,39.91,42.21,37.24,38.78,-,41.77
30,Total Liabilities,890.71,865.43,853.29,859.9,731.79,709.72,639.78,747.23,1005,1034,-,915.16
31,Common Stock,410,410,410,410,410,410,410,410,360,360,-,360
32,Additional Paid-In Capital,1073,1065,1071,1065,1065,1065,1065,1065,68.33,68.33,-,68.32
33,Retained Earnings,933.28,931.93,883.73,843.07,854.65,791.26,782.37,713.96,660.12,604.65,-,491.29
34,Comprehensive Income & Other,3.96,11.21,-1.33,0.94,-0.68,-,-,0.01,-,-,-,0.01
35,Total Common Equity,2420,2418,2364,2319,2329,2266,2257,2189,1088,1033,919.62,919.62
36,Minority Interest,1.09,0.9,0.86,0.74,0.66,0.55,0.52,0.56,0.6,0.64,-,0.75
37,Shareholders' Equity,2421,2419,2364,2320,2329,2267,2258,2189,1089,1034,920.38,920.38
38,Total Liabilities & Equity,3312,3284,3218,3179,3061,2976,2897,2937,2094,2067,-,1836
39,Total Debt,183.06,244.76,290.17,283.92,214.34,213.06,177.77,251.24,440.54,445.29,336.91,336.91
40,Net Cash (Debt),566.65,490.55,423.42,460.59,544.52,582.9,408.68,610.73,-323.57,-307.21,-269.04,-269.04
41,Net Cash Growth,4.07%,-15.84%,3.61%,-24.58%,-,-,-,-,-,-,-,-
42,Net Cash Per Share,1.34,1.22,1.04,1.11,1.28,1.41,1.02,1.59,-0.93,-0.83,-0.74,-0.77
43,Filing Date Shares Outstanding,410,410,410,410,410,410,410,410,410,360,363.01,360
44,Total Common Shares Outstanding,410,410,410,410,410,410,410,410,360,360,363.01,360
45,Working Capital,1297,1353,1334,1313,1296,1288,1116,1283,356.4,346.13,-,300.95
