,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Market Capitalization,11783,8245,7196,7884,9697,8073,9430,8721,8065,-,-,-,-
1,Market Cap Growth,2.13%,2.13%,-23.70%,-9.59%,20.23%,-,-,-,-,-,-,-,-
2,Enterprise Value,11218,7755,6773,7340,9153,7491,9022,9045,8389,-,-,-,-
3,Last Close Price,28.74,20.11,17.32,18.98,23.34,19.29,22.53,20.77,19.21,-,-,-,-
4,PE Ratio,53.23,37.09,35.57,41.13,44.21,36.16,43.79,37.42,36.19,-,-,-,-
5,Forward PE,41.06,24.23,21.14,25.55,-,-,-,-,-,-,-,-,-
6,PS Ratio,7.78,5.42,4.96,5.73,7.34,6.53,7.90,7.26,6.62,-,-,-,-
7,PB Ratio,4.87,3.40,2.97,3.33,4.18,3.47,4.16,3.86,3.68,-,-,-,-
8,P/TBV Ratio,3.57,3.57,3.12,3.50,4.40,3.61,4.34,4.03,3.85,-,-,-,-
9,P/FCF Ratio,255.55,178.82,-159.43,-,-,-,-305.88,-,-,-,-,-,-
10,P/OCF Ratio,35.13,35.13,38.36,49.38,53.19,56.82,54.24,53.98,-,-,-,-,-
11,EV/Sales Ratio,7.37,5.10,4.67,5.33,6.93,6.06,7.55,7.53,6.88,-,-,-,-
12,EV/EBITDA Ratio,36.29,23.38,21.71,24.38,27.62,23.79,29.49,27.53,26.31,-,-,-,-
13,EV/EBIT Ratio,57.38,33.25,31.07,34.84,37.29,32.11,39.72,35.62,33.98,-,-,-,-
14,EV/FCF Ratio,243.29,168.20,-150.07,-,-,-,-292.64,-,-,-,-,-,-
15,Debt / Equity Ratio,0.08,0.08,0.10,0.12,0.12,0.09,0.09,0.08,0.11,0.40,0.43,0.37,0.37
16,Debt / EBITDA Ratio,0.59,0.40,0.80,1.07,0.89,0.56,0.82,0.45,0.97,1.26,1.26,0.95,1.06
17,Debt / FCF Ratio,3.97,3.97,-5.42,-,-,-,-6.91,-,-,-,-,-,8.22
18,Asset Turnover,0.50,0.47,0.42,0.50,0.46,0.42,0.38,0.49,0.58,-,-,-,
19,Inventory Turnover,2.75,2.64,2.77,2.48,3.27,2.49,2.62,2.10,2.55,2.01,-,-,-
20,Quick Ratio,2.18,2.18,2.26,2.26,2.30,2.76,2.99,2.87,2.91,1.00,0.97,-,0.99
21,Current Ratio,2.74,2.74,2.94,2.98,3.01,3.42,3.67,3.70,3.57,1.50,1.45,-,1.44
22,Return on Equity (ROE),13.81%,8.07%,6.97%,8.63%,11.05%,6.65%,12.27%,13.17%,20.89%,22.60%,25.23%,-,
23,Return on Assets (ROA),6.95%,3.58%,3.43%,4.10%,6.33%,3.34%,6.73%,3.88%,8.45%,-,-,-,
24,Return on Capital (ROIC),8.71%,4.37%,4.17%,4.97%,7.61%,3.99%,8.05%,4.92%,11.68%,12.06%,14.22%,-,
25,Return on Capital Employed (ROCE),7.62%,9.09%,8.43%,8.28%,9.71%,9.24%,9.11%,10.22%,10.13%,19.16%,14.87%,-,4.85%
26,Earnings Yield,1.89%,2.70%,2.81%,2.43%,2.26%,2.77%,2.28%,2.67%,2.76%,-,-,-,-
27,FCF Yield,0.39%,0.56%,-0.63%,-0.97%,-0.54%,-0.66%,-0.33%,-0.67%,-0.96%,-,-,-,-
28,Dividend Yield,1.33%,-,2.02%,-,-,1.14%,-,-,0.36%,-,-,-,-
29,Payout Ratio,57.68%,72.82%,4.02%,5.09%,126.87%,2.98%,77.50%,4.21%,8.56%,9.00%,6.51%,5.33%,9.29%
30,Buyback Yield / Dilution,-1.53%,0.44%,2.80%,-1.27%,-8.64%,-22.47%,-12.06%,-10.61%,-9.71%,-,-,-,-
31,Total Shareholder Return,-0.20%,0.44%,4.82%,-1.27%,-8.64%,-21.33%,-12.06%,-10.61%,-9.35%,-,-,-,-
