,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 12, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,61,62,78,152,151,163,218,272,181,228,299
1,Market Cap Growth,-59.06%,-59.06%,-48.41%,-6.62%,-30.77%,-40.09%,20.53%,19.47%,-39.36%,-20.17%,-9.45%
2,Enterprise Value,-11,12,-11,74,78,82,145,203,75,107,124
3,Last Close Price,0.05,0.05,0.07,0.13,0.13,0.14,0.18,0.23,0.15,0.19,0.24
4,PE Ratio,-,-,26.74,712.15,-,-,-,-,-,22.87,27.80
5,PS Ratio,0.53,0.54,0.75,2.67,3.30,2.36,3.91,10.99,3.51,2.39,2.66
6,PB Ratio,1.01,3.26,1.55,3.26,3.16,3.22,3.38,3.32,1.59,1.39,1.79
7,P/TBV Ratio,1.03,1.03,0.85,1.73,1.70,1.78,2.07,2.23,1.18,1.13,1.47
8,P/FCF Ratio,-,-2.49,-,142.70,-,-,16.96,-9.17,-,-,-
9,P/OCF Ratio,-,-2.49,-,141.50,-,-,14.01,-9.22,-,-,-
10,EV/Sales Ratio,0.10,0.10,-,1.30,1.70,1.18,2.60,8.19,1.44,1.13,1.11
11,EV/EBITDA Ratio,-,-,-,-42.48,-,-,-,-,-,-,7.02
12,EV/EBIT Ratio,-,-,-,-25.63,-,-,-,-,-,-,7.99
13,EV/FCF Ratio,0.42,-0.47,-,69.33,-,-,11.28,-6.83,-,-,-
14,Debt / Equity Ratio,0.29,0.29,0.34,0.15,0.17,0.19,0.13,0.11,0.07,0.05,0.04
15,Debt / FCF Ratio,-,-0.22,-,6.56,-,-,0.67,-0.30,-,-,-
16,Return on Capital Employed (ROCE),-,-,12.14%,-5.61%,-,-,-,-,-,-,8.97%
17,Earnings Yield,-43.30%,-42.47%,3.74%,0.14%,-9.13%,-34.38%,-34.69%,-32.47%,-26.52%,4.37%,3.60%
18,FCF Yield,-41.02%,-40.23%,-31.90%,0.70%,-7.48%,1.76%,5.90%,-10.90%,-26.68%,-27.54%,-12.55%
19,Buyback Yield / Dilution,-,-,-,-,-,-,-,-,-,0.20%,
20,Total Shareholder Return,-,-,-,-,-,-,-,-,-,0.20%,
