,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,34.65,26.43,54.37,43.78,41.72,48.75,40.65,30.1,55.21,71.58
1,Trading Asset Securities,1.48,-,-,1.43,-,-,-,5.88,18.38,15.3
2,Cash & Short-Term Investments,36.13,26.43,54.37,45.21,41.72,48.75,40.65,35.97,73.58,86.88
3,Cash Growth,-33.55%,-41.53%,30.34%,-7.27%,2.62%,35.52%,-44.76%,-58.60%,-46.62%,-37.17%
4,Accounts Receivable,57.87,77.02,53.36,35,29.7,34.07,34.38,47.35,79.24,101.74
5,Other Receivables,0.64,0.49,1.3,0.62,1.31,3.12,5.6,3.89,5.13,7.72
6,Receivables,58.51,77.51,54.66,35.62,31.01,37.18,39.98,51.24,84.36,109.47
7,Prepaid Expenses,3.39,2.83,3.69,2.48,2.95,3.01,1.66,3.12,2.1,4.09
8,Other Current Assets,0.48,0.42,0.39,0.37,1.98,1.3,1.25,1.26,1.28,1.4
9,Total Current Assets,98.5,107.19,113.11,83.67,77.66,90.24,83.53,91.58,161.32,201.83
10,"Property, Plant & Equipment",2.1,3.27,2.95,4.32,6.05,7.42,6.63,7.84,10.75,13.2
11,Long-Term Investments,1.63,3.19,2.74,3.19,12.16,14.11,16.05,15.96,15.4,14.95
12,Other Intangible Assets,-,-,-,0,0.15,0.44,1.05,2.03,3.23,4.92
13,Long-Term Deferred Tax Assets,19.11,28.16,28.13,41.78,42.38,43.22,26.16,22.05,16.67,17.68
14,Total Assets,121.35,141.8,146.94,132.95,138.4,155.42,133.43,139.46,207.38,252.57
15,Accounts Payable,19.69,15.27,4.77,0.01,0.13,11.43,0.29,0.18,-,0.03
16,Accrued Expenses,6.77,7.87,8.74,4.68,9.22,9.07,7.54,3.51,7.84,7.57
17,Short-Term Debt,-,10,-,-,-,-,-,-,-,-
18,Current Portion of Long-Term Debt,0.78,0.8,0.79,0.76,0.34,-,-,-,-,-
19,Current Portion of Leases,2.62,2.06,1.45,1.72,1.99,1.46,1.48,1.61,2.29,2.52
20,Current Income Taxes Payable,0.49,0.43,0.32,12.23,13.59,13.59,-,-,0.54,-
21,Current Unearned Revenue,30.24,30.82,52.54,35.3,36.98,28.24,21.54,5.63,7.29,31.52
22,Other Current Liabilities,39.41,19.98,26.85,24.81,18.38,19.64,12.52,8.01,18,37.75
23,Total Current Liabilities,100,87.22,95.45,79.5,80.63,83.42,43.37,18.93,35.95,79.4
24,Long-Term Debt,2.06,2.54,2.95,3.26,3.85,4.16,4.18,2.67,2.28,-
25,Long-Term Leases,0.14,1.77,1.83,2.38,3.24,3.03,3.1,3.36,3.6,4.9
26,Long-Term Deferred Tax Liabilities,-,-,-,-,-,0.3,0.66,0.64,1.08,1.14
27,Total Liabilities,102.2,91.52,100.23,85.13,87.71,90.9,51.31,25.6,42.91,85.43
28,Common Stock,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
29,Additional Paid-In Capital,88.25,88.25,88.25,88.25,88.25,88.25,88.25,88.25,88.25,88.25
30,Retained Earnings,-30.85,-2.03,-4.36,-4.95,-4.57,8.86,25.4,58.48,113.84,113.03
31,Comprehensive Income & Other,2.89,5.2,3.95,5.65,8.15,8.55,9.61,8.27,3.52,7.01
32,Total Common Equity,60.4,91.54,87.96,89.07,91.95,105.78,123.38,155.12,205.73,208.4
33,Shareholders' Equity,19.15,50.28,46.71,47.82,50.69,64.52,82.12,113.87,164.47,167.15
34,Total Liabilities & Equity,121.35,141.8,146.94,132.95,138.4,155.42,133.43,139.46,207.38,252.57
35,Total Debt,5.6,17.16,7.01,8.11,9.41,8.64,8.76,7.64,8.17,7.41
36,Net Cash (Debt),30.53,9.27,47.36,37.1,32.3,40.11,31.89,28.33,65.42,79.47
37,Net Cash Growth,-35.54%,-75.01%,46.62%,-7.50%,1.31%,41.55%,-51.26%,-64.34%,-50.96%,-42.53%
38,Net Cash Per Share,0.03,0.01,0.04,0.03,0.03,0.03,0.03,0.02,0.05,0.07
39,Filing Date Shares Outstanding,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
40,Total Common Shares Outstanding,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
41,Working Capital,-1.5,19.98,17.66,4.17,-2.97,6.83,40.17,72.65,125.37,122.44
42,Book Value Per Share,0.05,0.08,0.07,0.07,0.08,0.09,0.10,0.13,0.17,0.17
43,Tangible Book Value,60.4,91.54,87.96,89.07,91.8,105.34,122.33,153.09,202.49,203.48
44,Tangible Book Value Per Share,0.05,0.08,0.07,0.07,0.08,0.09,0.10,0.13,0.17,0.17
45,Machinery,-,9.53,-,9.51,-,10,-,8.82,-,8.01
46,Leasehold Improvements,-,1.59,-,1.59,-,9.28,-,7.81,-,7.69
