,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,1749333,1953848,1931935,2096278,1760289,1826026,1654379,1752985,1676292,1789505,1742029,1833330,2571044,2341546,2106215,2614310,1648152,1432187,1102557,1167915,1022991,Upgrade
1,Market Cap Growth,7.00%,7.00%,16.78%,19.58%,5.01%,2.04%,-5.03%,-4.38%,-34.80%,-23.58%,-17.29%,-29.87%,56.00%,63.49%,91.03%,123.84%,61.11%,-10.00%,13.45%,11.38%,-9.09%,Upgrade
2,Enterprise Value,2257328,2496432,2420550,2601392,2291148,2143061,1987787,2026306,2046261,1536107,1742161,1827439,2788643,2681631,2434899,3054563,1995366,1395501,1025624,1014445,1150012,Upgrade
3,Last Close Price,23950.00,26750.00,26450.00,28700.00,24100.00,25000.00,22650.00,24000.00,22950.00,24500.00,23850.00,25100.00,35200.00,39800.00,35800.00,46000.00,29000.00,25200.00,19400.00,20550.00,18000.00,Upgrade
4,PE Ratio,32.65,37.17,30.92,34.00,25.41,30.07,21.89,16.81,14.93,16.47,19.22,23.55,30.46,27.89,25.86,32.50,24.70,22.28,8.77,10.08,10.72,Upgrade
5,PS Ratio,1.34,1.50,1.63,1.73,1.49,1.60,1.50,1.62,1.62,1.76,2.01,2.38,3.43,3.33,2.96,3.74,2.51,2.13,1.60,1.60,1.33,Upgrade
6,PB Ratio,1.18,1.30,1.30,1.41,1.19,1.26,1.16,1.23,1.19,1.29,1.21,1.30,1.85,2.43,2.12,2.66,1.68,1.47,1.17,1.26,1.12,Upgrade
7,P/TBV Ratio,1.34,1.34,1.34,1.46,1.22,1.30,1.20,1.27,1.23,1.32,1.27,1.37,1.95,2.63,2.28,2.87,1.85,1.63,1.29,1.39,1.24,Upgrade
8,P/FCF Ratio,-,-18.96,-,-12.09,-,-,-3.31,-,-,-,-,-,-,-,-63.33,-,-,-166.88,-,-,12.44,Upgrade
9,P/OCF Ratio,27.99,27.99,-,63.87,-,-,-6.21,-7.18,-6.51,-,-10.83,-,-,-,25.47,-,-,15.34,-,-,9.94,Upgrade
