,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,8814,9004,7969,7555,6720
1,Revenue Growth (YoY),10.61%,19.17%,18.59%,-,-
2,Cost of Revenue,7932,8080,7152,6743,6097
3,Gross Profit,881.72,923.75,817.18,812.39,622.33
4,"Selling, General & Admin",877.21,938.43,781.46,856.2,756.23
5,Research & Development,45.68,53.66,39.94,43.27,35.87
6,Operating Expenses,922.45,991.96,818.98,899.82,794.05
7,Operating Income,-40.74,-68.22,-1.81,-87.43,-171.73
8,Interest Expense,-5.27,-5.08,-4.95,-5.12,-5.11
9,Interest & Investment Income,39.18,33.81,31.04,30.55,32.09
10,Currency Exchange Gain (Loss),1.47,-4.41,1.11,6.32,12.4
11,Other Non Operating Income (Expenses),9.06,8.08,-3204,-796.56,-513.66
12,EBT Excluding Unusual Items,3.7,-35.82,-3179,-852.25,-646
13,Gain (Loss) on Sale of Investments,11.08,5.02,-,-,-
14,Gain (Loss) on Sale of Assets,-2.06,-0.84,0.51,-0.46,1.84
15,Pretax Income,12.72,-31.65,-3179,-852.7,-644.17
16,Income Tax Expense,-0.64,-1.72,-1.97,3.01,0.17
17,Earnings From Continuing Operations,13.35,-29.93,-3177,-855.71,-644.33
18,Minority Interest in Earnings,8.47,9.31,7.99,2.8,8.55
19,Net Income,21.82,-20.62,-3169,-852.91,-635.78
20,Net Income to Common,21.82,-20.62,-3169,-852.91,-635.78
21,Shares Outstanding (Basic),640,638,134,125,125
22,Shares Outstanding (Diluted),648,638,134,125,125
23,Shares Change (YoY),384.82%,409.50%,6.71%,-,-
24,EPS (Basic),0.03,-0.03,-23.70,-6.81,-5.07
25,EPS (Diluted),0.03,-0.03,-23.70,-6.81,-5.07
26,Free Cash Flow,402.92,76.06,357.94,197.24,-137.89
27,Free Cash Flow Per Share,0.62,0.12,2.68,1.57,-1.10
28,Operating Margin,-0.46%,-0.76%,-0.02%,-1.16%,-2.56%
29,Profit Margin,0.25%,-0.23%,-39.76%,-11.29%,-9.46%
30,Free Cash Flow Margin,4.57%,0.84%,4.49%,2.61%,-2.05%
31,EBITDA,-14.77,-42.94,26.49,-62.62,-140.6
32,D&A For EBITDA,25.97,25.28,28.3,24.81,31.12
33,EBIT,-40.74,-68.22,-1.81,-87.43,-171.73
