,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Cash & Equivalents,1405,673.87,915.57,835.39,-
1,Short-Term Investments,86.86,289.67,162.44,320.49,-
2,Trading Asset Securities,763.57,865.49,888.84,711.08,-
3,Cash & Short-Term Investments,2255,1829,1967,1867,-
4,Cash Growth,14.67%,-2.03%,-,-,-
5,Accounts Receivable,23.42,39.07,60.02,163.72,-
6,Other Receivables,98.89,96.11,75.15,89.06,-
7,Receivables,122.31,135.18,135.17,252.78,-
8,Inventory,1262,1470,1250,1016,-
9,Prepaid Expenses,19.01,10.8,8.52,12.23,-
10,Other Current Assets,1081,1418,906.08,536.85,-
11,Total Current Assets,4740,4863,4266,3685,-
12,"Property, Plant & Equipment",239.44,209.72,243.82,264.01,-
13,Long-Term Investments,234,40,90,50,-
14,Goodwill,9.25,9.25,9.25,9.25,-
15,Other Intangible Assets,81.43,85.31,92.25,98.9,-
16,Long-Term Deferred Tax Assets,5.63,4.52,2.14,1.58,-
17,Total Assets,5310,5212,4704,4109,-
18,Accounts Payable,2684,2656,2322,1882,-
19,Accrued Expenses,113.33,154.9,125.52,168.82,-
20,Short-Term Debt,29.28,57.51,-,-,-
21,Current Portion of Leases,68.02,62.55,72.76,81.18,-
22,Current Income Taxes Payable,13.88,17.22,11.49,31.23,-
23,Current Unearned Revenue,10.27,10.31,14.97,24.43,-
24,Other Current Liabilities,296.27,277.95,270.98,6188,-
25,Total Current Liabilities,3215,3236,2817,8376,-
26,Long-Term Leases,116.82,89.6,103.06,99.37,-
27,Long-Term Deferred Tax Liabilities,3.07,2.6,2.62,3.35,-
28,Total Liabilities,3334,3328,2923,8478,-
29,Common Stock,0.01,0.01,0.01,0,-
30,Additional Paid-In Capital,9374,9370,9299,-,-
31,Retained Earnings,-7607,-7636,-7617,-4450,-
32,Treasury Stock,-,-4.83,-,-,-
33,Comprehensive Income & Other,252.75,190.38,126.01,99.06,-
34,Total Common Equity,2020,1920,1808,-4351,-
35,Minority Interest,-44.69,-36.22,-26.91,-18.93,-
36,Shareholders' Equity,1975,1884,1781,-4370,-
37,Total Liabilities & Equity,5310,5212,4704,4109,-
38,Total Debt,214.11,209.66,175.82,180.55,-
39,Net Cash (Debt),2041,1619,1791,1686,-
40,Net Cash Growth,13.97%,-3.97%,-,-,-
41,Net Cash Per Share,3.15,2.54,13.39,13.46,-
42,Filing Date Shares Outstanding,640.96,638.49,632.35,125.32,125.32
43,Total Common Shares Outstanding,640.96,638.49,632.35,125.32,125.32
44,Working Capital,1525,1627,1449,-4691,-
45,Book Value Per Share,3.15,3.01,2.86,-34.72,-
46,Tangible Book Value,1929,1825,1706,-4459,-
47,Tangible Book Value Per Share,3.01,2.86,2.70,-35.58,-
48,Machinery,-,77.59,-,78.85,-
49,Construction In Progress,-,0.33,-,1.35,-
50,Leasehold Improvements,-,139.64,-,132.09,-
