,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,4709,5160,5278,12837,-,-
1,Market Cap Growth,-59.80%,-59.80%,-,-,-,-
2,Enterprise Value,2468,3336,3313,10909,-,-
3,Last Close Price,6.92,8.05,8.24,20.30,-,-
4,PE Ratio,3642.95,3991.69,-,-,-,-
5,Forward PE,-,6.64,8.15,-,-,-
6,PS Ratio,0.23,0.27,0.28,0.77,-,-
7,PB Ratio,2.04,2.43,2.54,6.67,-,-
8,P/TBV Ratio,2.49,2.49,2.62,6.96,-,-
9,P/FCF Ratio,9.15,10.03,11.04,21.40,-,-
10,P/OCF Ratio,9.52,9.52,10.62,20.58,-,-
11,EV/Sales Ratio,0.13,0.17,0.18,0.65,-,-
12,EV/EBITDA Ratio,111.31,-,-,-279.46,-,-
13,EV/FCF Ratio,4.79,6.48,6.93,18.18,-,-
14,Debt / Equity Ratio,0.11,0.11,0.11,0.10,-0.04,-
15,Debt / FCF Ratio,0.45,0.45,0.48,0.32,3.04,-
16,Earnings Yield,0.03%,0.03%,-66.57%,-33.85%,-,-
17,FCF Yield,10.93%,9.97%,9.06%,4.67%,-,-
18,Buyback Yield / Dilution,-396.76%,-384.82%,-409.50%,-6.71%,-,-
19,Total Shareholder Return,-396.76%,-384.82%,-409.50%,-6.71%,-,-
