,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,1304,1527,1401,1430,1440,1507,1469,1633,1884,1633,1401,Upgrade
1,Market Cap Growth,6.76%,6.76%,-2.68%,-5.13%,-1.97%,-7.69%,-22.05%,0%,34.48%,-29.88%,-50.00%,Upgrade
2,Last Close Price,0.14,0.16,0.14,0.14,0.13,0.14,0.13,0.14,0.16,0.13,0.11,Upgrade
3,PE Ratio,-,-155.64,-,6.02,7.84,-75.85,-,7.63,9.94,15.66,11.84,Upgrade
4,PS Ratio,3.59,4.20,3.93,3.48,3.51,4.03,3.53,3.34,3.87,3.34,2.95,Upgrade
5,PB Ratio,0.23,0.22,0.20,0.20,0.21,0.22,0.21,0.23,0.28,0.25,0.21,Upgrade
6,P/FCF Ratio,4.92,5.76,3.45,1.20,1.45,4.94,1.41,1.04,4.27,-,1.83,Upgrade
7,P/OCF Ratio,5.69,5.69,3.43,1.20,1.44,4.75,1.40,1.02,4.02,-,1.82,Upgrade
8,Debt / Equity Ratio,-,-,-,-,0.01,0.01,0.01,0.01,0.00,0.07,-,Upgrade
9,Debt / FCF Ratio,-,-,-,-,0.09,0.30,0.09,0.06,0.00,-,-,Upgrade
10,Earnings Yield,-0.75%,-0.64%,2.56%,16.62%,12.76%,-1.32%,4.10%,13.10%,10.06%,6.38%,8.44%,Upgrade
11,FCF Yield,20.33%,17.37%,28.96%,83.01%,68.86%,20.25%,70.75%,95.98%,23.41%,34.44%,54.79%,Upgrade
12,Dividend Yield,7.41%,-,7.14%,7.25%,7.45%,7.35%,7.79%,7.22%,6.44%,6.86%,10.47%,Upgrade
13,Buyback Yield / Dilution,-,-,-,-,-,-,-,-,0.02%,0.13%,Upgrade,
14,Total Shareholder Return,7.41%,-,7.14%,7.25%,7.45%,7.35%,7.79%,7.22%,6.44%,6.88%,10.61%,Upgrade
