,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,992.38,971.42,873.85,878.66,840.41,856.42,753.9,828.22,610.33,866.57
1,Revenue Growth (YoY),13.56%,10.56%,3.98%,2.60%,11.48%,3.41%,23.52%,-4.43%,-33.48%,-10.39%
2,Cost of Revenue,342.37,348.43,315.36,323.09,297.6,252.86,219.02,235.03,196.97,247.78
3,Gross Profit,650.01,622.99,558.49,555.58,542.81,603.57,534.88,593.19,413.36,618.79
4,"Selling, General & Admin",552.43,529.85,467.67,487.83,482.15,542.53,493.48,551.49,496.76,607.3
5,Operating Expenses,552.31,535.88,467.71,492.67,483.27,542.78,489.72,556.59,498.03,607.3
6,Operating Income,97.71,87.11,90.79,62.9,59.54,60.78,45.16,36.6,-84.67,11.49
7,Interest Expense,-0.11,-0.21,-0.21,-0.31,-0.34,-0.42,-0.4,-0.53,-0.44,-0.57
8,Interest & Investment Income,7.93,7.91,8.79,5.93,4.71,3.94,3.76,2.62,1.27,4.59
9,Other Non Operating Income (Expenses),0.26,0.29,1.61,0.79,4.03,1.42,2.5,-2.94,0.61,9.04
10,EBT Excluding Unusual Items,105.79,95.11,100.98,69.31,67.95,65.72,51.02,35.75,-83.23,24.56
11,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-3.21
12,Gain (Loss) on Sale of Assets,-,-0.06,-,-0.01,-,-0,-3.06,-5.58,-,-0.34
13,Other Unusual Items,-,-10.1,-,-,-,-,-,-,-,-
14,Pretax Income,105.79,84.96,100.98,69.3,67.95,65.72,47.96,30.17,-83.23,21.02
15,Income Tax Expense,15.64,15.75,17.81,5.19,15.6,17.22,9.93,-7.72,-30.89,0.02
16,Net Income,90.15,69.21,83.17,64.11,52.36,48.5,38.03,37.89,-52.34,20.99
17,Net Income to Common,90.15,69.21,83.17,64.11,52.36,48.5,38.03,37.89,-52.34,20.99
18,Net Income Growth,8.39%,7.95%,58.86%,32.18%,37.66%,28.00%,-,80.50%,-,-44.70%
19,Shares Outstanding (Basic),2167,2168,2151,2155,2184,2189,2189,2189,2189,2188
20,Shares Outstanding (Diluted),2167,2174,2151,2169,2186,2189,2189,2189,2189,2188
21,Shares Change (YoY),0.73%,0.21%,-1.59%,-0.87%,-0.11%,-,-,0.00%,-1.00%,32.05%
22,EPS (Basic),0.04,0.03,0.04,0.03,0.02,0.02,0.02,0.02,-0.02,0.01
23,EPS (Diluted),0.04,0.03,0.04,0.03,0.02,0.02,0.02,0.01,-0.02,0.01
24,EPS Growth,7.59%,6.97%,61.31%,31.90%,40.99%,120.00%,-,4.26%,-,-52.97%
25,Free Cash Flow,126.19,63.45,92.85,129.44,16.51,24.33,75.31,34.68,7.83,45.62
26,Free Cash Flow Per Share,0.06,0.03,0.04,0.06,0.01,0.01,0.03,0.02,0.00,0.02
27,Dividend Per Share,-,-,-,-,-,-,0.017,-,-,-
28,Operating Margin,9.85%,8.97%,10.39%,7.16%,7.08%,7.10%,5.99%,4.42%,-13.87%,1.33%
29,Profit Margin,9.08%,7.12%,9.52%,7.30%,6.23%,5.66%,5.04%,4.57%,-8.58%,2.42%
30,Free Cash Flow Margin,12.72%,6.53%,10.63%,14.73%,1.96%,2.84%,9.99%,4.19%,1.28%,5.26%
31,EBITDA,112.77,102.16,107.09,76.29,70.89,71.3,58.11,51.87,-69.73,26.47
32,D&A For EBITDA,15.06,15.05,16.3,13.39,11.35,10.52,12.95,15.27,14.94,14.98
33,EBIT,97.71,87.11,90.79,62.9,59.54,60.78,45.16,36.6,-84.67,11.49
