,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,999.12,941.97,880.43,781.34,660.93,646.02,659.02,564.18,511.6,558.05
1,Short-Term Investments,6.33,5.3,-,4.51,5.29,4.76,5.07,5.18,5.29,5.2
2,Trading Asset Securities,-,-,-,-,-,-,-,20.75,55,-
3,Cash & Short-Term Investments,1005,947.27,880.43,785.84,666.22,650.78,664.09,590.1,571.9,563.25
4,Cash Growth,14.20%,20.54%,32.15%,20.75%,0.32%,10.28%,16.12%,4.77%,1.83%,-20.22%
5,Accounts Receivable,190.28,219.97,183.95,202.68,222.74,187.73,146.62,172.38,165.67,236.39
6,Other Receivables,18.4,23.24,-,19.09,23.49,20.55,24.22,15.69,24.99,26.83
7,Receivables,208.69,243.21,183.95,221.77,246.23,208.28,170.84,188.08,190.66,263.21
8,Inventory,69.07,93.48,64.45,81.87,71.9,81.35,59.16,92.02,78.08,113.96
9,Other Current Assets,11.09,21.9,54.11,15.83,25.78,25.09,14.96,21.11,23.1,35.6
10,Total Current Assets,1294,1306,1183,1105,1010,965.5,909.05,891.31,863.74,976.02
11,"Property, Plant & Equipment",340.1,334.86,333.49,350.87,354.39,364.91,362.74,360.57,360.86,358.38
12,Other Intangible Assets,0.25,0.28,0.32,0.39,0.47,0.34,0.47,0.6,0.76,1.05
13,Long-Term Deferred Tax Assets,30.52,36.94,48.79,62.28,60.69,67.3,63.07,65.64,53.34,19.96
14,Other Long-Term Assets,4.31,3.43,6.66,-,-,-,-,-,-,-
15,Total Assets,1669,1681,1572,1519,1426,1398,1335,1318,1279,1355
16,Accounts Payable,72.59,98.65,57.91,85.47,51.54,65.83,46.31,54.49,46.07,67.39
17,Accrued Expenses,-,97.69,-,102.36,-,107.99,-,112.8,-,117.23
18,Current Portion of Leases,4.62,3.98,6.35,6.53,6.79,6.2,5.43,5.39,4.57,5.57
19,Current Income Taxes Payable,39.76,48.13,46.74,48.37,49.91,45.77,31.85,31.25,28.71,32.92
20,Current Unearned Revenue,16.16,14.58,9.48,12.16,13.88,15.87,10.24,12.33,11.52,10.76
21,Other Current Liabilities,97.81,9.34,112.14,11.2,109.76,13.91,111.13,9.53,120.3,12.11
22,Total Current Liabilities,230.94,272.37,232.61,266.09,231.88,255.57,204.96,225.8,211.16,245.97
23,Long-Term Leases,9.07,1.74,1.64,4.74,7.98,10.55,10.79,13,14.05,16.18
24,Long-Term Unearned Revenue,-,-,-,0.05,0.05,0.16,0.5,0.5,0.04,0.09
25,Long-Term Deferred Tax Liabilities,12.47,11.48,10.79,9.92,9.2,7.52,5.42,3.32,3.32,3.32
26,Total Liabilities,252.48,285.59,245.05,280.8,249.11,273.8,221.67,242.63,228.58,265.56
27,Common Stock,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
28,Additional Paid-In Capital,1030,1101,1101,1103,1103,1103,1138,1138,1138,1144
29,Retained Earnings,470.26,380.01,310.08,226.91,162.81,110.45,61.95,23.92,-13.97,38.37
30,Treasury Stock,-,-,-,-,-,-,-,-,-,-6.36
31,Comprehensive Income & Other,-83.41,-85.77,-84.44,-91.73,-89.11,-89.08,-86.18,-86.32,-73.8,-86.42
32,Shareholders' Equity,1417,1396,1327,1238,1177,1124,1114,1075,1050,1090
33,Total Liabilities & Equity,1669,1681,1572,1519,1426,1398,1335,1318,1279,1355
34,Total Debt,13.69,5.72,7.99,11.27,14.77,16.75,16.22,18.39,18.61,21.75
35,Net Cash (Debt),991.76,941.55,872.44,774.58,651.44,634.03,647.88,571.71,553.28,541.5
36,Net Cash Growth,13.68%,21.56%,33.92%,22.17%,0.55%,10.90%,17.10%,5.58%,3.07%,-14.84%
37,Net Cash Per Share,0.46,0.43,0.41,0.36,0.30,0.29,0.30,0.26,0.25,0.25
38,Filing Date Shares Outstanding,2189,2189,2189,2189,2189,2189,2189,2189,2189,2189
39,Total Common Shares Outstanding,2189,2189,2189,2189,2189,2189,2189,2189,2189,2189
40,Working Capital,1063,1033,950.33,839.22,778.25,709.92,704.09,665.51,652.57,730.05
41,Book Value Per Share,0.65,0.64,0.61,0.57,0.54,0.51,0.51,0.49,0.48,0.50
42,Tangible Book Value,1417,1395,1327,1238,1176,1124,1113,1075,1049,1089
43,Tangible Book Value Per Share,0.65,0.64,0.61,0.57,0.54,0.51,0.51,0.49,0.48,0.50
44,Buildings,-,313.28,-,100.89,-,100.89,-,100.89,-,100.89
45,Machinery,-,106.82,-,99.51,-,92.68,-,95.55,-,154.48
46,Construction In Progress,-,1.65,-,214.36,-,209.56,-,186.32,-,153.96
47,Leasehold Improvements,-,31.24,-,17.91,-,16.18,-,14.27,-,14.83
