,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Revenue,138.92,138.92,122.54,122.54
1,Cost of Revenue,81.53,81.53,64.52,64.52
2,Gross Profit,57.39,57.39,58.02,58.02
3,"Selling, General & Admin",45.94,45.94,47.38,47.38
4,Research & Development,8.79,8.79,9.52,9.52
5,Operating Expenses,54.73,54.73,56.9,56.9
6,Operating Income,2.65,2.65,1.12,1.12
7,Interest Expense,-0.93,-0.93,-1.45,-1.45
8,Interest & Investment Income,0.46,0.46,0.08,0.08
9,Other Non Operating Income (Expenses),0.11,0.11,0.2,0.2
10,EBT Excluding Unusual Items,2.29,2.29,-0.05,-0.05
11,Gain (Loss) on Sale of Investments,0.05,0.05,-7.35,-7.35
12,Other Unusual Items,0.27,0.27,0.11,0.11
13,Pretax Income,2.61,2.61,-7.3,-7.3
14,Income Tax Expense,0.91,0.91,-0.89,-0.89
15,Earnings From Continuing Operations,1.7,1.7,-6.41,-6.41
16,Minority Interest in Earnings,-0.01,-0.01,-0.02,-0.02
17,Net Income,1.69,1.69,-6.43,-6.43
18,Net Income to Common,1.69,1.69,-6.43,-6.43
19,Shares Outstanding (Basic),318,318,260,260
20,Shares Outstanding (Diluted),318,318,260,260
21,EPS (Basic),0.01,0.01,-0.02,-0.02
22,EPS (Diluted),0.01,0.01,-0.02,-0.02
23,Free Cash Flow,-23.71,-23.71,-23.09,-23.09
24,Free Cash Flow Per Share,-0.07,-0.07,-0.09,-0.09
25,Gross Margin,41.31%,41.31%,47.34%,47.34%
26,Operating Margin,1.91%,1.91%,0.91%,0.91%
27,Profit Margin,1.22%,1.22%,-5.25%,-5.25%
28,Free Cash Flow Margin,-17.07%,-17.07%,-18.84%,-18.84%
29,EBITDA,8.32,8.32,7.47,7.47
30,EBITDA Margin,5.99%,5.99%,6.10%,6.10%
31,D&A For EBITDA,5.67,5.67,6.35,6.35
32,EBIT,2.65,2.65,1.12,1.12
33,EBIT Margin,1.91%,1.91%,0.91%,0.91%
34,Effective Tax Rate,34.84%,34.84%,-,-
