,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Market Capitalization,1352,6118,-,-,-
1,Enterprise Value,1253,6034,-,-,-
2,Last Close Price,4.11,18.60,-,-,-
3,PE Ratio,30.50,-601.21,-,-,-
4,PS Ratio,2.13,10.89,-,-,-
5,PB Ratio,2.77,12.51,-,-,-
6,P/TBV Ratio,15.27,15.27,-,-,-
7,EV/Sales Ratio,1.97,10.74,-,-,-
8,EV/EBITDA Ratio,16.92,177.79,-,-,-
9,EV/EBIT Ratio,25.38,744.07,-,-,-
10,Debt / Equity Ratio,0.28,0.28,0.28,-,0.35
11,Debt / EBITDA Ratio,1.86,3.84,3.84,-,2.99
12,Asset Turnover,0.88,-,-,-,
13,Quick Ratio,2.49,2.49,2.49,-,-
14,Current Ratio,3.10,3.10,3.10,-,-
15,Return on Equity (ROE),1.49%,-,-,-,
16,Return on Assets (ROA),1.05%,-,-,-,
17,Return on Capital (ROIC),1.14%,-,-,-,
18,Return on Capital Employed (ROCE),10.00%,1.64%,1.06%,-,-
19,Earnings Yield,3.28%,-0.17%,-,-,-
20,FCF Yield,-3.37%,-1.64%,-,-,-
