,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,142.26,142.26,-,-
1,Trading Asset Securities,78.38,78.38,-,-
2,Cash & Short-Term Investments,220.64,220.64,-,157.45
3,Receivables,205.46,205.46,-,-
4,Prepaid Expenses,99.59,99.59,-,-
5,Other Current Assets,5.3,5.3,-,-
6,Total Current Assets,530.99,530.99,-,-
7,"Property, Plant & Equipment",16.12,16.12,-,-
8,Goodwill,32.27,32.27,-,-
9,Other Intangible Assets,49.5,49.5,-,-
10,Long-Term Deferred Tax Assets,1.21,1.21,-,-
11,Other Long-Term Assets,0.67,0.67,-,-
12,Total Assets,630.77,630.77,-,-
13,Accounts Payable,9.69,9.69,-,-
14,Short-Term Debt,127.93,127.93,-,-
15,Current Portion of Leases,0.15,0.15,-,-
16,Current Income Taxes Payable,0.49,0.49,-,-
17,Current Unearned Revenue,15.18,15.18,-,-
18,Other Current Liabilities,17.78,17.78,-,-
19,Total Current Liabilities,171.21,171.21,-,-
20,Long-Term Leases,0.23,0.23,-,-
21,Long-Term Unearned Revenue,3.65,3.65,-,-
22,Long-Term Deferred Tax Liabilities,0.19,0.19,-,-
23,Other Long-Term Liabilities,0.23,0.23,-,-
24,Total Liabilities,175.52,175.52,-,-
25,Common Stock,0.02,0.02,-,-
26,Additional Paid-In Capital,644.49,644.49,-,-
27,Retained Earnings,338.23,338.23,-,-
28,Comprehensive Income & Other,-528.13,-528.13,-,-
29,Total Common Equity,454.61,454.61,-,256.08
30,Minority Interest,0.64,0.64,-,-
31,Shareholders' Equity,455.25,455.25,-,256.67
32,Total Liabilities & Equity,630.77,630.77,-,-
33,Total Debt,128.31,128.31,-,89.83
34,Net Cash (Debt),92.33,92.33,-,67.62
35,Net Cash Per Share,0.29,0.29,-,0.26
36,Filing Date Shares Outstanding,328.94,328.94,259.8,259.8
37,Total Common Shares Outstanding,328.94,328.94,259.8,259.8
38,Working Capital,359.78,359.78,-,-
39,Book Value Per Share,1.38,1.38,-,-
40,Tangible Book Value,372.84,372.84,-,191.63
41,Tangible Book Value Per Share,1.13,1.13,-,-
