,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 7, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,582,522,816,474,558,4584,4584,4584,2184,-,-
1,Market Cap Growth,10.13%,10.13%,46.24%,-89.66%,-87.83%,0%,109.89%,-,-,-,-
2,Enterprise Value,899,801,1111,693,793,4943,4739,4739,2339,-,-
3,Last Close Price,0.48,0.43,0.68,0.40,0.47,3.82,3.82,3.82,1.82,-,-
4,PE Ratio,4.91,4.40,5.78,3.12,4.38,71.94,-139.26,-,-,-,-
5,PS Ratio,0.38,0.34,0.50,0.28,0.33,3.12,3.09,3.23,1.55,-,-
6,PB Ratio,0.35,0.31,0.49,0.30,0.36,2.97,2.91,2.98,1.39,-,-
7,P/TBV Ratio,0.31,0.31,0.49,0.30,0.36,2.97,2.91,2.98,1.40,-,-
8,P/FCF Ratio,-,-,-,-,-,122.00,-,-201.69,-,-,-
9,P/OCF Ratio,5.39,5.39,526.23,-,2.50,37.86,-,20.64,9.21,-,-
10,EV/Sales Ratio,0.59,0.52,0.68,0.41,0.47,3.36,3.19,3.34,1.66,-,-
11,EV/EBITDA Ratio,2.43,2.18,3.13,1.95,2.35,18.57,17.47,16.46,7.51,-,-
12,EV/EBIT Ratio,4.00,3.57,5.26,3.14,4.01,38.80,35.31,29.40,12.00,-,-
13,EV/FCF Ratio,-23.08,-,-,-,-,131.55,-,-208.52,-,-,-
14,Debt / Equity Ratio,0.34,0.34,0.36,0.43,0.42,0.46,0.48,0.50,0.46,0.41,0.29
15,Debt / FCF Ratio,-,-,-,-,-,18.83,-,-33.89,-,5.21,-3.32
16,Return on Capital Employed (ROCE),11.24%,11.24%,10.63%,11.06%,10.02%,7.27%,6.76%,7.91%,10.23%,9.41%,13.16%
17,Earnings Yield,20.38%,22.72%,17.29%,32.05%,22.84%,1.39%,-0.72%,-3.46%,-1.51%,-,-
18,FCF Yield,-6.69%,-15.01%,-14.13%,-18.16%,16.72%,0.82%,0.01%,-0.50%,-0.21%,-,-
19,Buyback Yield / Dilution,-,-,-,-,-,-32.61%,-33.33%,-3.90%,-4.19%,-,
20,Total Shareholder Return,-,-,-,-,-,-32.61%,-33.33%,-3.90%,-4.19%,-,
