,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,479.72,540.54,714.37,478.37,498.18,553.78,778.13,468.85,460.42,444.64,711.47,510.12,486.84,677.45,800.81,669.76,660.39,641.04,482.27
1,Other Revenue,-4.02,4.02,-,7.43,-3.94,3.94,-,8.88,-4.37,4.37,-,14.25,-6.93,-,-,11.58,5.79,5.3,-
2,Revenue,475.69,544.57,714.37,485.79,494.24,557.73,778.13,477.73,456.05,449.01,711.47,524.36,479.91,677.45,800.81,681.34,666.18,646.35,482.27
3,Revenue Growth (YoY),-3.75%,-2.36%,-8.19%,1.69%,8.37%,24.21%,9.37%,-8.89%,-4.97%,-33.72%,-11.16%,-23.04%,-27.96%,4.81%,66.05%,-,-,-,-
4,Cost of Revenue,422.54,511.8,635.68,438.7,457.2,531.26,708.5,438.38,421.3,412.51,643.87,478.29,417.09,603.85,707.08,606.91,585.44,504.99,489.64
5,Gross Profit,53.15,32.76,78.68,47.09,37.04,26.46,69.62,39.36,34.75,36.5,67.6,46.07,62.82,73.6,93.72,74.43,80.75,141.36,-7.37
6,"Selling, General & Admin",20.26,9.62,29.32,28.25,20.48,11.8,30.32,21.59,25.53,23.09,32.64,24.88,33.88,35.27,37.04,27.02,32.9,54.35,-
7,Research & Development,18.55,16.04,17.38,20.6,18.7,20.34,16.91,16.18,12.68,25.07,23.3,20.02,23.27,21.64,19.8,38.03,25.91,25.9,-
8,Other Operating Expenses,-1.35,-7.81,-3.49,-0.04,0.64,1.25,0.81,8.12,2.53,-2.79,0.53,9.54,-5.78,1.58,-0.28,3.7,3.19,2.87,-
9,Operating Expenses,39.03,13.61,66.22,26.61,40.67,31.02,70.34,34.71,40.7,38.68,76.56,42.64,53.61,34.91,80.15,48.58,58.9,86.36,-
10,Operating Income,14.12,19.16,12.47,20.48,-3.63,-4.56,-0.72,4.65,-5.95,-2.18,-8.97,3.44,9.21,38.69,13.57,25.85,21.84,55,-7.37
