,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,301.66,380.9,503.36,480.87,514.64,494.5,636.94,695.56,528.99,-,369.94,442.15,300.63,477.49,-,656.72,656.72,348.39,-
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,50,-,-,-,-,-
2,Trading Asset Securities,193.63,233.7,61.85,91.85,101.85,101.85,60,30,30,-,65,70,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,495.29,614.6,565.21,572.72,616.49,596.35,696.94,725.56,558.99,-,434.94,512.15,300.63,527.49,656.72,656.72,656.72,348.39,285.24
4,Cash Growth,-19.66%,3.06%,-18.90%,-21.06%,10.29%,-,60.24%,41.67%,85.94%,-,-33.77%,-22.01%,-54.22%,51.41%,130.23%,-,-,-,-
5,Accounts Receivable,1088,1050,1108,948.95,1048,1061,942.97,619.78,794.2,-,1055,838.3,1148,1109,-,927.67,927.67,976.12,-
6,Other Receivables,3.1,2.23,0.87,0.2,2.21,0.94,2.44,0.31,2.4,-,1.82,0.23,8.69,7.77,-,7.25,7.25,6.98,-
7,Receivables,1091,1052,1109,949.15,1050,1062,945.41,620.09,796.6,-,1057,838.53,1157,1117,-,934.92,934.92,983.09,-
8,Inventory,463.6,433.36,453.93,510.06,436.92,424.02,420.2,389.12,362.92,-,442.06,444.29,386.12,304.67,-,299.12,299.12,194.31,-
9,Other Current Assets,9.6,7.16,10.93,6.64,10.61,11.33,15.94,5.29,14.18,-,12.38,3.42,38.83,12.16,-,10.21,10.21,3.24,-
10,Total Current Assets,2059,2107,2139,2039,2114,2094,2078,1740,1733,-,1946,1798,1882,1961,-,1901,1901,1529,-
11,"Property, Plant & Equipment",480.89,488.78,501.51,512.42,519.46,529.03,542.96,556.05,548.23,-,565.88,574.33,550.28,543.47,-,550.3,550.3,480.47,-
12,Other Intangible Assets,63.4,64.59,65.97,66.58,67.16,68.5,68.52,69.79,70.11,-,72.58,92.37,90.89,92.35,-,90.05,90.05,91.86,-
13,Long-Term Deferred Tax Assets,30.11,29.24,31.25,30.96,33.74,30.81,29.51,25.94,21.03,-,19.44,16.18,14.76,17.92,-,14.99,14.99,15.11,-
14,Long-Term Deferred Charges,1.23,1.05,0.87,0.92,0.97,-,-,-,-,-,-,-,1.2,-,-,-,-,-,-
15,Other Long-Term Assets,0.75,3.91,1.65,1.67,3.34,9.93,11.83,7.28,12.18,-,4.23,4.17,10.93,19.83,-,15.58,15.58,25.62,-
16,Total Assets,2636,2695,2740,2651,2738,2732,2731,2399,2384,-,2608,2485,2550,2635,-,2572,2572,2142,-
17,Accounts Payable,1273,1353,1391,1312,1433,1438,1413,1102,1107,-,1256,1102,1267,1585,-,1531,1531,1238,-
18,Accrued Expenses,31.97,39.55,20.05,46.12,28.21,40.97,23.98,40.08,25.18,-,21.89,57.93,32.98,35.24,-,55.6,55.6,43.16,-
19,Short-Term Debt,60.05,60.05,30,30,-,-,-,-,78.08,-,121.39,158.88,129.4,147.34,-,150.07,150.07,104.82,-
20,Current Portion of Long-Term Debt,-,-,51.89,50.09,74.87,73.06,-,23.02,-,-,-,-,-,-,-,-,-,-,-
