,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,4070,1941,1618,1857,2443,2288,2158,1958,1811,1801,2243,2611,3089,3337,-,-,-,-,-,-
1,Market Cap Growth,-15.17%,-15.17%,-25.03%,-5.17%,34.89%,27.04%,-3.76%,-25.02%,-41.37%,-46.02%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3640,1392,1141,1323,1909,1775,1547,1477,1330,1257,1929,2440,2918,2957,-,-,-,-,-,-
3,Last Close Price,16.88,8.05,6.71,7.67,10.09,9.45,8.91,8.06,7.46,7.42,9.24,10.64,12.59,13.60,-,-,-,-,-,-
4,PE Ratio,55.89,26.18,25.45,43.10,76.43,-,137.28,115.98,81.68,-,45.19,36.43,38.80,40.40,-,-,-,-,-,-
5,PS Ratio,1.87,0.87,0.72,0.82,1.05,0.99,0.95,0.91,0.86,0.84,1.04,1.09,1.24,1.26,-,-,-,-,-,-
6,PB Ratio,3.57,1.70,1.43,1.66,2.21,2.12,2.00,1.81,1.68,1.70,-,2.42,2.88,3.19,-,-,-,-,-,-
7,P/TBV Ratio,1.80,1.80,1.52,1.78,2.37,2.28,2.15,1.95,1.81,1.82,-,2.59,3.15,3.49,-,-,-,-,-,-
8,P/FCF Ratio,-,-,32.73,-,-,-110.47,-,-,8.66,8.44,-14.79,-,-9.42,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,28.48,-,-,-52.83,-,-,8.52,7.71,-17.47,-,-10.26,-,-,-,-,-,-,-
10,EV/Sales Ratio,1.64,0.63,0.51,0.59,0.82,0.77,0.68,0.68,0.64,0.59,0.89,1.02,1.18,1.12,-,-,-,-,-,-
11,EV/EBITDA Ratio,29.18,10.99,10.37,15.16,25.37,29.30,27.46,25.28,27.56,27.86,32.60,25.41,24.83,21.30,-,-,-,-,-,-
12,EV/EBIT Ratio,54.96,21.02,23.54,53.42,164.87,-,-,-,-106.84,-,-,-,44.95,33.86,-,-,-,-,-,-
13,EV/FCF Ratio,-38.26,-,23.08,-,-,-85.69,-,-,6.36,5.89,-12.72,-,-8.90,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.05,0.05,0.05,0.07,0.08,0.07,0.07,0.07,0.07,0.07,-,0.11,0.15,0.12,0.19,0.20,0.20,0.20,0.15,0.20
15,Debt / EBITDA Ratio,0.49,0.53,0.43,0.76,0.56,1.51,1.64,1.26,0.89,2.34,-,5.70,2.24,1.44,0.73,1.40,0.96,1.07,0.38,7.03
16,Debt / FCF Ratio,-,-,1.24,-,-,-3.68,-,-,0.37,0.37,-,-,-0.48,-,0.48,-,0.31,1.02,-,-
17,Asset Turnover,0.71,0.80,1.06,0.72,0.72,0.82,1.21,0.80,-,-,1.12,0.83,0.74,1.02,-,-,1.13,-,-,
18,Inventory Turnover,4.41,3.77,4.61,5.28,3.71,4.25,5.03,7.00,4.66,-,-,5.81,4.61,4.83,7.96,-,-,9.49,-,-
19,Quick Ratio,1.11,1.11,1.12,1.08,1.03,1.05,1.05,1.08,1.13,1.08,-,1.02,1.00,1.01,0.92,-,0.90,0.90,0.95,-
20,Current Ratio,1.45,1.45,1.41,1.38,1.38,1.33,1.32,1.36,1.46,1.38,-,1.33,1.33,1.30,1.10,-,1.08,1.08,1.10,-
21,Return on Equity (ROE),3.23%,8.24%,4.43%,9.69%,-0.35%,1.15%,0.58%,5.42%,-,-,2.59%,10.31%,4.67%,13.64%,7.90%,-,14.93%,26.52%,-,
22,Return on Assets (ROA),1.32%,1.76%,1.16%,1.90%,-0.33%,-0.42%,-0.07%,0.49%,-,-,-0.88%,0.34%,0.89%,3.63%,-,-,2.32%,-,-,
23,Return on Capital (ROIC),2.94%,4.00%,2.61%,4.37%,-0.78%,-0.98%,-0.16%,1.01%,-,-,-1.84%,0.71%,2.17%,10.41%,3.75%,-,6.81%,17.22%,-,
24,Return on Capital Employed (ROCE),5.46%,5.46%,4.03%,2.08%,0.98%,-,-,-,-1.03%,-,-,-,5.72%,7.91%,11.66%,-,11.81%,8.61%,6.38%,-
25,Earnings Yield,1.82%,3.82%,3.93%,2.32%,1.31%,0.83%,0.73%,0.86%,1.22%,1.94%,2.21%,2.75%,2.58%,2.48%,-,-,-,-,-,-
26,FCF Yield,-2.34%,-4.90%,3.06%,-10.03%,-9.79%,-0.91%,-1.65%,14.53%,11.55%,11.85%,-6.76%,-9.02%,-10.61%,-4.92%,-,-,-,-,-,-
27,Dividend Yield,0.21%,-,-,-,0.30%,-,-,-,0.27%,-,-,-,0.79%,-,-,-,-,-,-,-
28,Payout Ratio,12.50%,8.38%,34.69%,11.36%,-,-,159.65%,94.19%,-,-,572.98%,23.23%,5.60%,10.87%,5.40%,7.52%,1.74%,3.27%,-,-
29,Buyback Yield / Dilution,0.44%,0.36%,-0.61%,0.75%,1.17%,-0.15%,0.48%,-0.74%,-11.16%,-10.01%,-37.53%,-29.47%,-32.73%,-21.35%,3.14%,-,-,-,-,-
30,Total Shareholder Return,0.65%,0.36%,-0.61%,0.75%,1.47%,-0.15%,0.48%,-0.74%,-10.89%,-10.01%,-37.53%,-29.47%,-31.93%,-21.35%,3.14%,-,-,-,-,-
