,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,508.99,497.4,477.35,487.89,433.31,392.81,366.07,363.37,873.95,979.38,317.65,328.78,-,-,-
1,Short-Term Investments,-,450,-,450,-,450,-,450,-,-,-,-,-,-,-
2,Trading Asset Securities,-,-,-,-,-,30,30,30,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,508.99,947.4,477.35,937.89,433.31,872.81,396.07,843.37,873.95,979.38,317.65,328.78,-,-,350.79
4,Cash Growth,17.47%,8.55%,20.52%,11.21%,-50.42%,-10.88%,24.69%,156.52%,-,-,-9.45%,-,-,-,-
5,Accounts Receivable,44.73,34.05,31.73,31.37,45.51,31.37,27.45,27.19,18.34,12.2,24.42,34.98,-,-,-
6,Other Receivables,16.38,17.07,18.11,13.82,13.39,11.12,13.16,9.66,6.48,3.77,2.35,1.16,-,-,-
7,Receivables,61.11,51.11,49.84,45.18,58.91,42.49,40.6,36.85,24.82,15.97,26.77,36.13,-,-,-
8,Inventory,32.31,27.04,37.02,32.72,30.93,34.81,40.24,50.74,49.84,56.34,46.75,42.75,-,-,-
9,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,4.85,-,-,-
10,Other Current Assets,463.8,7.94,463.74,4.33,459.76,6.28,462.34,2.74,26.15,22.71,43.96,12.9,-,-,-
11,Total Current Assets,1066,1033,1028,1020,982.91,956.38,939.25,933.71,974.75,1074,435.13,425.41,-,-,-
12,"Property, Plant & Equipment",255.91,253.27,265.88,271.8,272,273.87,277.54,283.15,276.03,269.42,265.79,270.52,-,-,-
13,Long-Term Investments,-,100,-,100,-,100,-,100,-,-,-,-,-,-,-
14,Other Intangible Assets,21.89,22.1,22.25,22.46,22.7,22.93,23.17,23.41,23.64,24.03,24.26,24.5,-,-,-
15,Long-Term Deferred Tax Assets,1.69,1.67,1.66,1.7,1.3,1.3,1.3,1.44,1.46,1.46,1.46,1.46,-,-,-
16,Long-Term Deferred Charges,7.11,7.47,8.86,10.58,9.26,11.21,12.84,14.35,13.27,13.89,15.55,17.53,-,-,-
17,Other Long-Term Assets,100,-,100,0.75,100,-,100,1.94,30,-,-,1.38,-,-,-
18,Total Assets,1453,1418,1427,1427,1388,1366,1354,1358,1319,1383,742.19,740.8,-,-,-
19,Accounts Payable,24.58,20.91,21.45,26.34,25.21,35.39,31.44,33.68,38.24,39.7,35.42,25.89,-,-,-
20,Accrued Expenses,7.55,10.36,5.79,22.02,8.22,8.23,6.27,19.85,7.22,2.13,6.28,23.86,-,-,-
21,Short-Term Debt,-,-,-,-,-,-,-,-,-,100,100.1,100.1,-,-,-
22,Current Portion of Leases,0.84,0.83,0.84,0.82,-,0.42,0.88,0.88,-,-,-,-,-,-,-
23,Current Income Taxes Payable,4.85,1.36,4.8,3.15,1.22,0.32,3.71,0.18,0.9,2.9,-2.23,0.01,-,-,-
24,Current Unearned Revenue,13.17,11.69,10.49,11.13,11.69,11.7,-,11.28,0.01,0.01,0.01,8.25,-,-,-
25,Other Current Liabilities,7.58,7.62,7.04,7.07,5.52,5.6,5.14,6.4,5.19,5.25,3.9,5.4,-,-,-
26,Total Current Liabilities,58.56,52.78,50.41,70.52,51.87,61.66,47.44,72.26,51.56,150,143.49,163.51,-,-,-
27,Long-Term Leases,1.1,1.31,1.74,1.74,-,0.02,0.09,0.09,1.4,1.4,1.8,1.8,-,-,-
28,Long-Term Unearned Revenue,3.71,3.88,4.05,4.22,4.38,4.55,4.72,4.89,5.06,5.22,5.39,5.56,-,-,-
29,Long-Term Deferred Tax Liabilities,4.84,5.04,5.24,5.45,6.96,6.31,6.14,6.16,4.46,4.46,4.46,4.46,-,-,-
30,Total Liabilities,68.21,63.01,61.44,81.93,63.22,72.55,58.38,83.39,62.48,161.09,155.14,175.32,-,-,-
