,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,3214,3296,2909,3316,4195,3870,3824,4118,5427,4251,6250,-,-,-,-,-
1,Market Cap Growth,-14.83%,-14.83%,-23.95%,-19.49%,-22.71%,-8.98%,-38.81%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2715,2359,2443,2891,3770,3006,3439,3257,4566,3385,6047,-,-,-,-,-
3,Last Close Price,11.37,11.66,10.29,11.55,14.61,13.48,13.32,14.19,18.70,14.65,21.54,-,-,-,-,-
4,PE Ratio,30.17,30.94,26.76,28.73,36.22,34.22,32.52,38.04,48.94,35.10,47.69,-,-,-,-,-
5,PS Ratio,6.03,6.18,5.31,5.89,7.36,6.82,6.64,7.27,9.53,7.26,10.22,-,-,-,-,-
6,PB Ratio,2.34,2.38,2.15,2.43,3.12,2.92,2.96,3.18,4.26,3.38,5.11,-,-,-,-,-
7,P/TBV Ratio,2.43,2.43,2.20,2.49,3.19,2.99,3.03,3.26,4.37,3.48,5.27,-,-,-,-,-
8,P/FCF Ratio,28.60,29.33,26.24,-,31.49,33.25,28.76,33.73,49.99,29.56,40.05,-,-,-,-,-
9,P/OCF Ratio,21.49,21.49,19.96,-,24.88,24.29,21.06,23.33,33.90,22.32,32.36,-,-,-,-,-
10,EV/Sales Ratio,5.09,4.43,4.46,5.14,6.61,5.30,5.97,5.75,8.02,5.78,9.89,-,-,-,-,-
11,EV/EBITDA Ratio,20.50,17.61,17.96,20.90,27.27,24.82,27.25,27.21,36.63,23.23,38.35,-,-,-,-,-
12,EV/EBIT Ratio,27.28,22.93,23.16,26.79,34.79,32.75,35.32,35.25,46.68,28.37,45.30,-,-,-,-,-
13,EV/FCF Ratio,24.16,20.99,22.03,-,28.30,25.83,25.86,26.68,42.06,23.54,38.75,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00,0.00,0.00,0.08,0.17,0.18,-,-,0.17
15,Debt / EBITDA Ratio,0.01,0.01,0.01,0.03,0.02,-,0.00,0.01,0.02,0.01,0.63,0.86,0.74,-,-,0.86
16,Debt / FCF Ratio,0.02,0.02,0.02,-,0.02,-,0.00,0.01,0.01,0.01,0.65,-,0.78,-,-,24.34
17,Asset Turnover,0.37,0.41,0.31,0.42,0.42,0.47,0.34,0.43,0.45,0.57,0.65,-,-,-,-,
18,Inventory Turnover,10.65,10.89,11.38,8.15,11.76,11.17,10.69,6.93,7.79,7.74,7.52,6.96,-,-,-,-
19,Quick Ratio,9.74,9.74,18.92,10.46,13.94,9.49,14.84,9.20,12.18,17.43,6.64,2.40,2.23,-,-,-
20,Current Ratio,18.21,18.21,19.58,20.39,14.46,18.95,15.51,19.80,12.92,18.90,7.16,3.03,2.60,-,-,-
21,Return on Equity (ROE),8.75%,10.31%,5.81%,6.15%,9.72%,12.31%,6.57%,5.48%,11.70%,13.50%,16.81%,-,-,-,-,
22,Return on Assets (ROA),4.76%,6.21%,3.03%,4.08%,5.43%,6.95%,3.27%,1.19%,6.56%,7.72%,7.81%,-,-,-,-,
23,Return on Capital (ROIC),4.98%,6.48%,3.18%,4.29%,5.71%,7.29%,3.45%,1.26%,6.86%,8.15%,8.54%,-,-,-,-,
24,Return on Capital Employed (ROCE),7.14%,7.38%,7.72%,7.84%,7.99%,6.87%,7.47%,7.07%,7.61%,9.41%,10.82%,23.49%,24.63%,-,-,-
25,Earnings Yield,3.31%,3.23%,3.74%,3.48%,2.76%,2.92%,3.07%,2.63%,2.04%,2.85%,2.10%,-,-,-,-,-
26,FCF Yield,3.50%,3.41%,3.81%,3.62%,3.18%,3.01%,3.48%,2.96%,2.00%,3.38%,2.50%,-,-,-,-,-
27,Dividend Yield,1.39%,-,-,-,1.09%,-,-,-,0.80%,-,-,-,-,-,-,-
28,Payout Ratio,42.45%,-,134.02%,-,-,-,104.87%,-,-,3.01%,2.56%,-,2.92%,1.80%,409.53%,3.33%
29,Buyback Yield / Dilution,-1.56%,-0.08%,0.04%,0.03%,-6.52%,1.05%,-13.05%,-33.33%,-25.06%,-34.76%,-18.04%,0.00%,-,-,-,-
30,Total Shareholder Return,-0.16%,-0.08%,0.04%,0.03%,-5.43%,1.05%,-13.05%,-33.33%,-24.26%,-34.76%,-18.04%,0.00%,-,-,-,-
