,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,2835,3280,2655,7836,11341,35621,40863,49796,53669,48929,52042,Upgrade
1,Market Cap Growth,-58.14%,-58.14%,-76.59%,-78.00%,-72.25%,-28.47%,-23.86%,1.77%,3.13%,21.89%,62.47%,Upgrade
2,Enterprise Value,128963,137801,148803,169568,181169,193424,206243,188171,162383,168759,139590,Upgrade
3,Last Close Price,0.27,0.32,0.26,0.76,1.10,3.94,4.42,5.54,5.73,5.17,5.39,Upgrade
4,PE Ratio,-,-,-,-,-,6.41,4.37,5.01,5.63,6.74,7.22,Upgrade
5,Forward PE,228.55,-,-,1.40,1.85,3.97,3.35,4.25,4.66,5.02,5.56,Upgrade
6,PS Ratio,0.04,0.05,0.03,0.15,0.21,0.30,0.31,0.49,0.63,0.76,0.82,Upgrade
7,PB Ratio,0.17,0.05,0.04,0.10,0.12,0.29,0.31,0.43,0.54,0.61,0.68,Upgrade
8,P/TBV Ratio,0.20,0.20,0.12,0.35,0.34,0.72,0.79,1.08,1.16,1.26,1.39,Upgrade
9,P/FCF Ratio,0.33,0.38,0.20,0.29,0.50,33.03,-,1.85,2.68,-,-,Upgrade
10,P/OCF Ratio,0.38,0.38,0.20,0.29,0.50,27.19,-,1.83,2.66,-,-,Upgrade
11,PEG Ratio,-,-,-,-,-,-,0.35,0.29,0.26,0.18,0.22,Upgrade
12,EV/Sales Ratio,1.98,2.11,1.88,3.20,3.38,1.63,1.56,1.84,1.90,2.62,2.21,Upgrade
13,EV/EBITDA Ratio,45.57,-,-82.51,-,-,11.86,11.34,13.66,12.79,16.71,13.22,Upgrade
14,EV/EBIT Ratio,50.39,-,-73.95,-,-,11.98,11.46,13.83,12.91,16.82,13.29,Upgrade
15,EV/FCF Ratio,15.09,16.12,11.28,6.25,8.06,179.35,-,6.97,8.11,-,-,Upgrade
16,Debt / Equity Ratio,1.55,1.55,1.43,1.37,1.26,1.08,1.06,1.43,1.25,1.71,1.81,Upgrade
17,Debt / FCF Ratio,11.15,11.15,7.72,4.08,5.47,124.23,-,6.14,6.22,-,-,Upgrade
18,Return on Capital Employed (ROCE),1.76%,-,-1.97%,-,-,6.68%,7.02%,5.88%,6.14%,5.86%,6.10%,Upgrade
19,Earnings Yield,-187.61%,-153.93%,-362.34%,-311.31%,-129.00%,15.93%,23.23%,20.40%,18.28%,15.34%,14.33%,Upgrade
20,FCF Yield,301.42%,260.54%,496.88%,346.12%,198.15%,3.03%,-1.10%,54.19%,37.30%,-6.76%,-25.06%,Upgrade
21,Dividend Yield,0.00%,-,-,-,-,-,4.20%,7.16%,6.79%,6.47%,6.16%,Upgrade
22,Buyback Yield / Dilution,-5.14%,-0.00%,-10.84%,-15.84%,-7.93%,-4.06%,-1.77%,-4.43%,-3.64%,-1.41%,2.05%,Upgrade
23,Total Shareholder Return,-5.14%,-0.00%,-10.84%,-15.84%,-7.93%,-4.06%,2.42%,2.72%,3.15%,5.07%,8.21%,Upgrade
