,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Feb '25 Feb 19, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,774,1747,2191,920,1210,880,1272,1571,761,673,516
1,Market Cap Growth,89.95%,89.95%,81.09%,4.50%,-4.84%,-43.98%,67.05%,133.33%,47.52%,8.58%,-14.00%
2,Enterprise Value,843,2023,2412,1203,1689,1411,1856,2193,1455,1504,1164
3,Last Close Price,1.76,3.97,4.98,1.86,2.45,1.78,2.57,3.18,1.54,1.36,1.15
4,PE Ratio,7.27,16.39,33.01,9.85,14.20,23.43,94.75,39.84,11.41,11.19,11.03
5,PS Ratio,1.68,3.78,4.76,1.93,2.42,1.84,3.12,3.95,1.75,1.59,1.33
6,PB Ratio,0.73,1.66,2.26,0.86,1.18,0.89,1.35,1.67,0.82,0.75,0.63
7,P/TBV Ratio,1.66,1.66,2.26,0.86,1.18,0.89,1.35,1.67,0.82,0.75,0.63
8,P/FCF Ratio,13.54,13.54,18.64,9.13,12.86,7.54,13.71,14.00,4.58,-7.11,-
9,P/OCF Ratio,12.30,12.30,16.29,7.28,9.78,6.49,11.13,12.41,4.49,4.08,3.99
10,EV/Sales Ratio,1.83,4.38,5.24,2.52,3.38,2.96,4.55,5.52,3.35,3.54,3.00
11,EV/EBITDA Ratio,4.04,9.83,14.34,7.28,11.91,11.78,21.27,20.42,10.38,12.22,10.68
12,EV/EBIT Ratio,6.36,15.26,24.65,12.05,20.11,21.95,49.95,33.11,14.43,16.67,13.74
13,EV/FCF Ratio,6.53,15.67,20.52,11.95,17.95,12.09,20.02,19.54,8.76,-15.89,-
14,Debt / Equity Ratio,0.32,0.32,0.47,0.43,0.57,0.67,0.60,0.68,0.75,0.87,1.05
15,Debt / FCF Ratio,2.59,2.59,3.91,4.57,6.24,5.61,6.08,5.72,4.17,-8.28,-
16,Return on Capital Employed (ROCE),10.03%,10.03%,7.28%,7.10%,5.99%,4.69%,3.00%,4.87%,7.18%,6.19%,6.20%
17,Earnings Yield,13.76%,6.10%,3.03%,10.15%,7.04%,4.27%,1.06%,2.51%,8.76%,8.94%,9.06%
18,FCF Yield,16.66%,7.39%,5.36%,10.95%,7.77%,13.26%,7.29%,7.15%,21.82%,-14.06%,-25.86%
19,Buyback Yield / Dilution,-,-,-,-,-,0.04%,-8.33%,-10.05%,-1.54%,-13.27%,
20,Total Shareholder Return,-,-,-,-,-,0.04%,-8.33%,-10.05%,-1.54%,-13.27%,
