,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 10, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,177,218,227,345,-,-,-,-
1,Market Cap Growth,-36.85%,-36.85%,-,-,-,-,-,-
2,Enterprise Value,214,151,275,461,-,-,-,-
3,Last Close Price,0.60,0.63,0.65,0.97,-,-,-,-
4,PE Ratio,4.27,5.22,4.96,7.95,-,-,-,-
5,PS Ratio,0.21,0.25,0.27,0.43,-,-,-,-
6,PB Ratio,0.45,0.56,0.60,1.00,-,-,-,-
7,P/TBV Ratio,0.56,0.56,0.61,1.01,-,-,-,-
8,P/FCF Ratio,5.89,-,4.31,-,-,-,-,-
9,P/OCF Ratio,5.74,-,3.85,-,-,-,-,-
10,EV/Sales Ratio,0.25,0.17,0.32,0.58,-,-,-,-
11,EV/EBITDA Ratio,2.37,1.74,3.19,6.35,-,-,-,-
12,EV/EBIT Ratio,3.48,2.60,4.71,8.99,-,-,-,-
13,EV/FCF Ratio,7.12,-,5.22,-,-,-,-,-
14,Debt / Equity Ratio,0.44,0.44,0.50,0.59,0.89,1.01,0.96,-
15,Debt / FCF Ratio,5.72,-,3.56,-,-7.93,-,6.15,-
16,Return on Capital Employed (ROCE),11.84%,11.84%,12.35%,11.46%,14.53%,18.53%,20.99%,-
17,Earnings Yield,23.63%,19.16%,20.15%,12.58%,-,-,-,-
18,FCF Yield,16.99%,13.78%,23.23%,-2.82%,-,-,-,-
19,Buyback Yield / Dilution,-17.40%,-4.40%,-34.41%,-30.95%,9.27%,-11.39%,-,-
20,Total Shareholder Return,-17.40%,-4.40%,-34.41%,-30.95%,9.27%,-11.39%,-,-
