,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,407.48,402.18,366.23,370.61,321.39,339.68,261.62
1,Revenue Growth (YoY),11.26%,8.52%,13.95%,9.11%,22.85%,-,-
2,Cost of Revenue,346.22,336.8,298.4,315.45,254.4,275.18,211.98
3,Gross Profit,61.25,65.38,67.84,55.16,66.99,64.5,49.64
4,"Selling, General & Admin",35.46,37.16,43.08,32.44,41.89,28.63,30.6
5,Operating Expenses,35.46,37.16,43.08,32.44,41.89,28.63,30.6
6,Operating Income,25.79,28.22,24.76,22.72,25.1,35.87,19.04
7,Interest Expense,-4.25,-5.32,-4.41,-4.46,-4.08,-4.37,-6.93
8,Interest & Investment Income,0.38,1.56,0.42,0.41,0.89,0.16,2.43
9,Earnings From Equity Investments,-0.12,3.22,0.98,1.93,3.83,3.43,2.11
10,Currency Exchange Gain (Loss),2.14,-2.02,3.69,-0.1,0.1,-,-
11,Other Non Operating Income (Expenses),0.41,1.98,1.44,2.9,1.84,3.26,1.39
12,EBT Excluding Unusual Items,24.36,27.64,26.88,23.38,27.69,38.36,18.04
13,Gain (Loss) on Sale of Investments,-,-,0,-,-,-,-
14,Gain (Loss) on Sale of Assets,-0.02,-0.07,0.04,-0.17,-0.06,-,-0
15,Other Unusual Items,-,-,-,0.8,-,0.06,-
16,Pretax Income,24.34,27.58,26.92,24.02,27.63,38.41,18.03
17,Income Tax Expense,6.88,6.12,6.65,3.82,7.45,6.49,5.5
18,Earnings From Continuing Operations,17.46,21.45,20.28,20.2,20.18,31.92,12.53
19,Minority Interest in Earnings,0.1,-0.15,-0.12,-0.2,-0.02,0.04,-0.19
20,Net Income,17.56,21.3,20.16,20,20.16,31.96,12.34
21,Net Income to Common,17.56,21.3,20.16,20,20.16,31.96,12.34
22,Net Income Growth,-12.91%,6.47%,-0.01%,-37.41%,63.38%,-,-
23,Shares Outstanding (Basic),300,295,287,219,219,242,197
24,Shares Outstanding (Diluted),300,295,287,219,219,242,197
25,Shares Change (YoY),4.40%,34.41%,30.95%,-9.27%,11.39%,-,-
26,EPS (Basic),0.06,0.07,0.07,0.09,0.09,0.13,0.06
27,EPS (Diluted),0.06,0.07,0.07,0.09,0.09,0.13,0.06
28,EPS Growth,-16.58%,-20.78%,-23.65%,-31.01%,46.68%,-,-
29,Free Cash Flow,-50.43,78.36,-30.56,21.57,-44.05,64.55,-39.97
30,Free Cash Flow Per Share,-0.17,0.27,-0.11,0.10,-0.20,0.27,-0.20
31,Operating Margin,6.33%,7.02%,6.76%,6.13%,7.81%,10.56%,7.28%
32,Profit Margin,4.31%,5.30%,5.51%,5.40%,6.27%,9.41%,4.72%
33,Free Cash Flow Margin,-12.38%,19.48%,-8.34%,5.82%,-13.71%,19.00%,-15.28%
34,EBITDA,38.08,42.84,35.23,31.98,38.82,40.98,23.18
35,D&A For EBITDA,12.29,14.62,10.47,9.26,13.72,5.1,4.14
36,EBIT,25.79,28.22,24.76,22.72,25.1,35.87,19.04
37,Advertising Expenses,-,-,-,-,-,-,0.54
