,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,125.42,195.34,139.62,64.66,48.52,112.08,-
1,Short-Term Investments,-,36,-,11.15,13.52,21.81,-
2,Trading Asset Securities,-,-,5,-,12.01,-,-
3,Cash & Short-Term Investments,125.42,231.34,144.62,75.82,74.06,133.89,-
4,Cash Growth,-13.27%,205.12%,95.27%,-43.37%,-,-,-
5,Accounts Receivable,260.04,223.8,203.08,175.94,148.76,93.76,-
6,Other Receivables,-,-,-,-,3.62,3.62,-
7,Receivables,260.04,223.8,203.08,175.94,152.37,97.38,-
8,Inventory,0.18,0.11,0.14,0.12,0.15,0.12,-
9,Other Current Assets,51,1.53,51.35,15.44,12.09,17.71,-
10,Total Current Assets,436.65,456.77,399.19,267.33,238.67,249.1,-
11,"Property, Plant & Equipment",102.35,109.85,118.12,126.34,128.63,83.65,-
12,Long-Term Investments,137.51,137.63,115.08,133.43,131.51,127.67,-
13,Other Intangible Assets,2.03,2.24,2.42,2.62,2.8,3,-
14,Long-Term Accounts Receivable,-,2.33,-,2.33,-,-,-
15,Long-Term Deferred Tax Assets,19.64,6.74,10.46,8.37,5.71,3.26,-
16,Other Long-Term Assets,2.33,-,3.51,-,-,-,-
17,Total Assets,700.51,715.55,648.77,540.41,507.31,466.68,-
18,Accounts Payable,44.58,49.75,39.58,41.88,31.35,46.82,-
19,Accrued Expenses,-,89.66,-,64.32,57.92,62.17,-
20,Short-Term Debt,-,43.06,-,20,10,30,-
21,Current Portion of Long-Term Debt,51.14,28.14,79.09,13.14,11.14,11.14,-
22,Current Portion of Leases,27.3,10.95,13.49,16.9,10.92,6.72,-
23,Current Income Taxes Payable,11.55,12.63,12.39,14.07,9.29,7.59,-
24,Current Unearned Revenue,-,21.63,-,21.74,26.54,21.97,-
25,Other Current Liabilities,109.7,30.69,89.82,19.18,21.01,18.64,-
26,Total Current Liabilities,244.26,286.5,234.37,211.23,178.17,205.04,-
27,Long-Term Debt,50.82,33.4,33.44,61.54,64.58,55.68,-
28,Long-Term Leases,30.49,54.54,62.51,66.76,84.75,47.64,-
29,Long-Term Deferred Tax Liabilities,12.39,0.13,0.05,0.05,0.06,0.04,-
30,Total Liabilities,337.96,374.57,330.37,339.58,327.56,308.4,-
31,Common Stock,0.21,0.21,0.21,0,0,0,-
32,Additional Paid-In Capital,100.42,98.21,98.21,2.03,2.03,2.03,-
33,Retained Earnings,219.16,201.6,180.31,160.14,140.14,119.98,-
34,Treasury Stock,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-
35,Comprehensive Income & Other,43.74,41.51,40.38,39.48,38.6,37.31,-
36,Total Common Equity,362.32,340.33,317.9,200.45,179.57,158.12,-
37,Minority Interest,0.24,0.65,0.49,0.38,0.18,0.16,-
38,Shareholders' Equity,362.55,340.98,318.4,200.83,179.75,158.28,-
39,Total Liabilities & Equity,700.51,715.55,648.77,540.41,507.31,466.68,-
40,Total Debt,159.74,170.08,188.53,178.34,181.39,151.18,-
41,Net Cash (Debt),-34.32,61.26,-43.91,-102.52,-107.33,-17.28,-
42,Net Cash Per Share,-0.11,0.21,-0.15,-0.47,-0.49,-0.07,-
43,Filing Date Shares Outstanding,294.43,294.43,294.43,300,202,241.86,197
44,Total Common Shares Outstanding,294.43,294.43,294.43,197,202,241.86,197
45,Working Capital,192.38,170.26,164.81,56.09,60.5,44.06,-
46,Book Value Per Share,1.23,1.16,1.08,1.02,0.89,0.65,-
47,Tangible Book Value,360.28,338.09,315.48,197.83,176.77,155.12,-
48,Tangible Book Value Per Share,1.22,1.15,1.07,1.00,0.88,0.64,-
49,Buildings,-,6.65,-,6.65,6.65,6.65,-
50,Machinery,-,27.2,-,25.02,24.48,22.46,-
51,Leasehold Improvements,-,-,-,-,11.42,-,-
