,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,17821,15608,16864,18239,18538,17641,19316,19316,20033,-,-
1,Market Cap Growth,-14.43%,-14.43%,-9.03%,3.39%,-4.02%,-8.67%,-3.58%,-,-,-,-
2,Last Close Price,2.98,2.61,2.71,2.93,2.98,2.83,2.99,2.99,2.99,-,-
3,PE Ratio,9.50,8.32,8.90,8.60,8.60,8.12,9.02,11.24,12.40,-,-
4,PS Ratio,3.71,3.25,3.61,4.02,3.99,3.80,4.14,4.38,4.78,-,-
5,PB Ratio,0.71,0.50,0.55,0.62,0.64,0.60,0.65,0.73,0.78,-,-
6,P/FCF Ratio,-,-,-,-,2.89,-,2.36,-,-,-,-
7,P/OCF Ratio,-,-,-,-,2.71,-,2.31,-,-,-,-
8,Debt / Equity Ratio,3.28,3.28,2.91,2.88,2.95,2.80,2.75,3.05,2.78,3.42,3.08
9,Debt / FCF Ratio,-,-,-,-,13.39,-,9.95,-,-,-,-
10,Earnings Yield,10.53%,13.50%,12.63%,11.62%,11.63%,12.32%,11.09%,9.83%,8.95%,-,-
11,FCF Yield,-165.58%,-189.06%,-189.34%,-6.99%,34.57%,43.99%,42.44%,-196.89%,-169.34%,-,-
12,Buyback Yield / Dilution,-,21.70%,-,-2.56%,-,-38.12%,-20.29%,-7.91%,-0.51%,-,
13,Total Shareholder Return,3.75%,-,21.70%,-,-2.56%,-,-38.12%,-20.29%,-7.91%,-0.51%,-
