,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,3761,4283,6349,7600,9098,9476,11456,21538,16367,7129,-
1,Market Cap Growth,-43.64%,-43.64%,-30.22%,-19.80%,-20.58%,-56.00%,-30.00%,202.12%,-,-,-
2,Enterprise Value,4071,4516,6134,6867,8008,7435,9170,18783,14211,8347,-
3,Last Close Price,8.41,10.00,14.72,17.50,20.95,22.20,25.80,48.85,37.60,17.20,-
4,PE Ratio,283.67,394.98,-,62.81,52.29,41.85,22.17,34.51,31.40,19.94,-
5,Forward PE,14.75,12.01,13.81,15.37,21.18,-,-,-,-,-,-
6,PS Ratio,0.83,1.15,1.46,1.83,2.35,2.45,3.05,6.84,6.01,2.81,-
7,PB Ratio,1.07,1.54,2.20,2.59,3.00,2.79,2.92,5.09,4.35,2.57,-
8,P/TBV Ratio,1.83,1.83,2.59,3.04,3.54,3.26,3.41,5.65,5.01,2.75,-
9,P/FCF Ratio,-,-,-,-,43.26,72.93,-48.34,-,-,340.28,-
10,P/OCF Ratio,-,-,-,-,41.51,66.19,-56.86,-,-,246.02,-
11,PEG Ratio,0.37,6.19,6.19,6.19,5.17,-,-,-,-,-,-
12,EV/Sales Ratio,1.09,1.21,1.41,1.66,2.07,1.92,2.44,5.96,5.22,3.29,-
13,EV/EBITDA Ratio,-,-,-,43.52,67.46,104.36,107.82,49.52,27.06,18.76,-
14,EV/EBIT Ratio,-,-,-,77.82,109.26,-,228.15,65.21,32.59,23.05,-
15,EV/FCF Ratio,-26.02,-,-,-,38.08,57.23,-38.70,-,-,398.42,-
16,Debt / Equity Ratio,0.43,0.43,0.47,0.45,0.41,0.20,0.17,0.09,0.09,0.05,-2.84
17,Debt / FCF Ratio,-,-,-,-,5.84,5.18,-2.86,-,-,6.52,35.78
18,Return on Capital Employed (ROCE),-,-,-,2.55%,2.06%,-,0.98%,6.59%,11.13%,12.81%,41.85%
19,Earnings Yield,0.29%,0.25%,0.20%,1.59%,1.91%,2.39%,4.51%,2.90%,3.18%,5.02%,-
20,FCF Yield,-4.16%,-3.65%,-5.64%,-1.31%,2.31%,1.37%,-2.07%,-1.61%,-0.15%,0.29%,-
21,Buyback Yield / Dilution,3.25%,2.66%,3.82%,9.84%,10.68%,5.05%,0.40%,-50.21%,-77.18%,-53.01%,-28.53%
22,Total Shareholder Return,3.25%,2.66%,3.82%,9.84%,10.68%,5.05%,0.40%,-50.21%,-77.18%,-53.01%,-28.53%
