,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,683.71,887.91,1323,1592,1350,2058,2126,2542,1964,441.32
1,Short-Term Investments,33.94,33.66,7.65,39.94,54.52,33.89,62.34,99,125.43,40.37
2,Trading Asset Securities,5.66,13.59,8.7,14.38,15.76,21.46,14.2,14.13,-,-
3,Cash & Short-Term Investments,723.31,935.17,1340,1646,1421,2113,2203,2655,2089,481.68
4,Cash Growth,-46.01%,-43.18%,-5.70%,-22.12%,-35.51%,-20.42%,5.43%,451.29%,395.80%,-1.90%
5,Accounts Receivable,413.75,355.06,309.22,274.64,464.78,380.9,309.29,332.74,101.09,43.53
6,Other Receivables,2205,2084,2348,2190,1632,1724,1111,1531,765.51,845.34
7,Receivables,3474,3436,3571,3128,2547,2650,1942,2244,1109,1121
8,Inventory,2.09,2.43,4.23,6.6,8.89,9.86,5.15,16.22,6.52,7.28
9,Prepaid Expenses,-,-,-,-,-,-,11.12,-,14.63,7.23
10,Restricted Cash,1188,2097,1005,891.92,928.26,702.55,573.55,-,55.16,162.12
11,Other Current Assets,296.75,76.05,77.02,85.31,92.78,151.95,84.84,97.9,26.23,80.61
12,Total Current Assets,5684,6546,5997,5758,4998,5628,4820,5014,3301,1860
13,"Property, Plant & Equipment",52.65,66.54,50.16,48.33,71.18,74.26,74.73,65.29,30.15,39.85
14,Long-Term Investments,1086,1033,829.15,752.48,735.89,473.17,280.4,66.87,38.52,31.07
15,Goodwill,456.93,439.12,439.12,439.12,439.12,439.12,301.88,301.88,145.84,145.84
16,Other Intangible Assets,31.58,39.75,48.73,57.57,66.65,80.36,55.75,65.17,20.52,24.84
17,Long-Term Deferred Tax Assets,66.52,57.85,39.49,37.23,33.8,35.92,20.19,15.08,1.34,8.5
18,Other Long-Term Assets,197.24,237.57,258.81,197.25,204.48,25.17,224.63,95.12,140.85,163.78
19,Total Assets,7575,8420,7662,7290,6549,6756,5777,5623,3678,2274
20,Accounts Payable,187.66,274.71,280.88,252.02,226.51,261.4,138.03,240.24,49.48,74.11
21,Accrued Expenses,123.72,120.96,147.67,161.81,99.77,94.7,45.94,55.73,33.15,35.87
22,Short-Term Debt,857.66,780.06,794.34,680.39,532.83,509.5,265.4,217.58,105.2,175.24
23,Current Portion of Long-Term Debt,200.62,-,-,-,-,-,-,-,-,-
24,Current Portion of Leases,20.24,22.52,15.6,20.17,25.56,22.79,24.72,23.85,9.68,10.21
25,Current Income Taxes Payable,117.24,115.06,101.02,94.46,91.92,87.71,91.37,27.74,26.62,38.16
26,Current Unearned Revenue,19.34,26.07,11.75,31.86,46.87,33.11,16.59,26.51,10.93,25.91
27,Other Current Liabilities,3358,3951,3113,2900,2496,2403,1562,1733,866.07,1016
28,Total Current Liabilities,4884,5290,4464,4140,3520,3412,2144,2324,1101,1376
29,Long-Term Debt,3,405.54,403.5,379.32,-,-,-,-,-,1373
30,Long-Term Leases,19.71,28.9,19.39,6.45,16.22,18.97,18.63,31.72,9.67,17.57
31,Long-Term Unearned Revenue,-,-,-,-,-,0.36,3.29,11.79,35.53,56.88
32,Long-Term Deferred Tax Liabilities,86.68,78.26,63.9,56.85,54.34,42.64,9.16,11.3,4.76,6
33,Other Long-Term Liabilities,-,-,-,25.87,57.55,81.04,80.63,77.24,-,-
34,Total Liabilities,4994,5803,4951,4609,3648,3555,2255,2457,1151,2830
35,Common Stock,3091,0.08,3068,0.08,0.07,0.08,0.08,0.07,0.07,0.03
36,Additional Paid-In Capital,-,3094,-,3070,2319,3149,3121,-,-,-
37,Retained Earnings,956.08,983.44,948.72,971.81,842.78,817.89,657.57,396.96,-593.23,-815.87
38,Treasury Stock,-1286,-1282,-1168,-1147,-,-387.99,-0,-,-,-
39,Comprehensive Income & Other,-90.5,-87.39,-44.95,-124.39,-175.91,-319.37,-250.39,2723,3120,260.35
40,Total Common Equity,2671,2708,2803,2770,2986,3259,3528,3120,2527,-555.5
41,Minority Interest,-89.52,-90.48,-91.88,-89.07,-85.01,-58.58,-6.29,47.07,-,-
42,Shareholders' Equity,2581,2617,2711,2681,2901,3201,3522,3167,2527,-555.5
43,Total Liabilities & Equity,7575,8420,7662,7290,6549,6756,5777,5623,3678,2274
44,Total Debt,1101,1237,1233,1086,574.61,551.25,308.75,273.15,124.54,1576
45,Net Cash (Debt),-377.92,-301.85,106.83,559.5,845.97,1562,1894,2382,1965,-1095
46,Net Cash Growth,-,-,-87.37%,-64.18%,-55.34%,-34.43%,-3.60%,-,-,-
47,Net Cash Per Share,-1.03,-0.81,0.28,1.45,2.03,3.62,4.31,5.49,6.71,-4.47
48,Filing Date Shares Outstanding,364.54,366.98,375.72,385.3,403.91,426.86,444.03,436.01,208.83,177.48
49,Total Common Shares Outstanding,364.54,366.98,375.72,385.3,403.91,426.86,444.03,436.01,208.83,177.48
50,Working Capital,799.55,1256,1533,1618,1478,2216,2676,2689,2200,484.53
51,Book Value Per Share,7.33,7.38,7.46,7.19,7.39,7.64,7.95,7.16,12.15,-3.13
52,Tangible Book Value,2182,2229,2315,2274,2480,2740,3171,2753,2361,-726.17
53,Tangible Book Value Per Share,5.99,6.07,6.16,5.90,6.14,6.42,7.14,6.31,11.35,-4.09
54,Machinery,47.9,46.9,42.75,42.27,41.41,36.18,28.09,21.76,-,17.62
55,Leasehold Improvements,34.4,33.63,31.71,31.71,31.71,31.71,29.97,8.67,-,7.85
