,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Operating Revenue,103.41,199.72,102.55,238.62,187.58,202.34,143.41,314.04,213.45,245.16,162.29,334.03,170.29,270.31,154.74,235.89,215.66,209.01,104.22,318
1,Other Revenue,-1.07,1.07,-,3.24,-1.3,1.3,-,3.33,-1.99,1.99,-,3.99,-1.59,1.59,-,2.75,-0.92,0.92,-,2.29
2,Revenue,102.34,200.79,102.55,241.86,186.28,203.65,143.41,317.37,211.46,247.15,162.29,338.02,168.7,271.9,154.74,238.65,214.74,209.93,104.22,320.3
3,Revenue Growth (YoY),-45.06%,-1.40%,-28.49%,-23.79%,-11.91%,-17.60%,-11.63%,-6.11%,25.35%,-9.10%,4.87%,41.64%,-21.44%,29.52%,48.47%,-25.49%,-,-,-,-
4,Cost of Revenue,86.54,156.16,85.38,188.25,162.49,143.75,101.16,221.84,154.6,165.57,100.51,228.71,98.92,172.47,92.11,146.95,118.21,128.55,64.66,137.26
5,Gross Profit,15.81,44.63,17.17,53.61,23.79,59.9,42.25,95.53,56.86,81.57,61.78,109.31,69.78,99.43,62.64,91.7,96.54,81.38,39.56,183.03
6,"Selling, General & Admin",16.31,13.98,14.3,13.98,17.9,21.26,13.88,18.28,18.06,19.9,19.28,19.75,14.71,19.48,14.88,22.06,7.21,14.24,6.34,51.87
7,Research & Development,7.54,8.38,12.33,18.01,23.67,11.79,8.62,19.81,8.21,15.29,13.02,24.14,5.29,12.68,6.72,19.72,11.93,11.48,3.32,46.36
8,Other Operating Expenses,-0.22,0.93,-0.02,1.1,0.38,1.67,-9.83,3.27,1.13,1.49,1.54,3,1.23,2.56,1.45,1.46,0.76,0.93,0.22,5.51
9,Operating Expenses,20.91,33.81,17.86,60.48,38.41,47.19,1.96,62.22,32,40.65,29.59,72.97,10.11,46.2,18.25,43.8,24.47,29.79,9.46,116.8
10,Operating Income,-5.1,10.82,-0.69,-6.88,-14.62,12.71,40.29,33.31,24.86,40.92,32.19,36.33,59.68,53.23,44.39,47.9,72.06,51.59,30.1,66.23
11,Interest Expense,-,-1.83,-2.21,-4.37,-1.43,-1.77,-2.05,-3.92,-0.98,-0.33,-0.24,-0.13,-,-,-0.13,-0.88,-0.71,-0.48,-1.07,-4.57
12,Interest & Investment Income,4.3,2.52,0.4,3.79,1.11,1.85,0.74,13.14,0.57,1.61,1.82,1.69,4.93,1.85,2,0.39,-,0,0.2,0.12
13,Other Non Operating Income (Expenses),1.51,-0.97,-0.17,-1.34,0.01,0.05,-0.18,-7.6,0.89,-0.68,6.65,-6.84,1.76,2.07,2.5,-6.58,6.59,-5.52,4.76,-3.08
14,EBT Excluding Unusual Items,0.71,10.55,-2.66,-8.8,-14.93,12.85,38.79,34.94,25.33,41.53,40.41,31.05,66.37,57.15,48.75,40.83,77.95,45.59,33.98,58.7
15,Gain (Loss) on Sale of Investments,-0.58,-0.53,-0.81,-0.78,2.62,-1.1,-0.47,1.34,1.36,0.2,0.38,0.59,-1.56,1.84,0.03,-0.06,-0.1,-2.15,-,-
16,Gain (Loss) on Sale of Assets,-0.01,0.07,0,-0.2,0.21,-,-,-0,-,-,-,-,-0.24,-,-,-,-,-,-,0.35
17,Asset Writedown,0.44,0.66,-0.66,4.69,-4.69,2.94,-2.94,4.32,-4.34,-1.77,1.75,9.08,-9.08,5.33,-5.33,-5.41,5.41,0.61,-0.61,-1.52
18,Other Unusual Items,-0.87,0.74,16.22,-0.46,-0.02,0.02,-,8.01,-0.62,0.62,-,6.51,-0.18,0.18,-,9.86,-5.02,5.02,-,20.34
19,Pretax Income,-0.3,11.48,12.09,-5.55,-16.81,14.71,35.38,48.6,21.73,40.57,42.54,47.24,55.32,64.5,43.45,45.22,78.24,49.06,33.37,77.87
20,Income Tax Expense,0.12,-0.8,1.86,-2.7,-4.62,0.87,5.4,4.98,3.74,6.03,5.71,5.83,7.93,8.53,6.4,4.92,11.82,7.48,5.01,10.13
21,Earnings From Continuing Operations,-0.42,12.28,10.23,-2.85,-12.2,13.84,29.98,43.62,17.99,34.54,36.83,41.41,47.38,55.97,37.06,40.3,66.42,41.59,28.37,67.74
22,Minority Interest in Earnings,0.19,-0.98,-1.8,0.28,0.54,-1.03,-3.02,-5.49,-1.51,-1.38,-4.73,-4.26,-3.57,-5.51,-6.04,-5.31,-5.37,-4.87,-7.06,-8
23,Net Income,-0.23,11.3,8.42,-2.56,-11.65,12.8,26.96,38.13,16.48,33.17,32.1,37.15,43.81,50.46,31.02,34.99,61.05,36.72,21.31,59.74
24,Net Income to Common,-0.23,11.3,8.42,-2.56,-11.65,12.8,26.96,38.13,16.48,33.17,32.1,37.15,43.81,50.46,31.02,34.99,61.05,36.72,21.31,59.74
25,Net Income Growth,-,-11.73%,-68.75%,-,-,-61.40%,-16.02%,2.64%,-62.38%,-34.27%,3.50%,6.17%,-28.23%,37.42%,45.58%,-41.43%,-,-,-,-
26,Shares Outstanding (Basic),127,123,140,136,136,137,128,119,136,133,134,128,133,129,129,97,97,99,97,97
27,Shares Outstanding (Diluted),127,123,140,136,136,137,135,131,136,133,134,132,133,129,129,97,97,99,97,97
28,Shares Change (YoY),-6.98%,-10.32%,4.16%,4.20%,0.58%,3.06%,0.77%,-1.30%,2.09%,2.49%,3.50%,36.24%,36.70%,31.05%,33.45%,-0.28%,-,-,-,-
29,EPS (Basic),-0.00,0.09,0.06,-0.02,-0.09,0.09,0.21,0.32,0.12,0.25,0.24,0.29,0.33,0.39,0.24,0.36,0.63,0.37,0.22,0.61
30,EPS (Diluted),-0.00,0.09,0.06,-0.02,-0.09,0.09,0.20,0.29,0.12,0.25,0.24,0.28,0.33,0.39,0.24,0.36,0.63,0.37,0.22,0.61
31,EPS Growth,-,-1.58%,-70.00%,-,-,-62.54%,-16.67%,3.99%,-63.15%,-35.87%,0%,-22.07%,-47.50%,4.86%,9.09%,-41.27%,-,-,-,-
32,Free Cash Flow,43.1,48.13,-43.55,190.84,-46.47,-180.39,52.69,-199.57,-28.49,-78.08,-44,118.84,-32.96,-49.88,-64.88,17.56,0.37,-1.37,31.16,-
33,Free Cash Flow Per Share,0.34,0.39,-0.31,1.40,-0.34,-1.32,0.39,-1.53,-0.21,-0.59,-0.33,0.90,-0.25,-0.39,-0.50,0.18,0.00,-0.01,0.32,-
34,Dividend Per Share,-,-,-,0.060,-,-,-,0.250,-,-,-,0.300,-,-,-,0.333,-,-,-,-
35,Dividend Growth,-,-,-,-76.00%,-,-,-,-16.67%,-,-,-,-9.99%,-,-,-,-,-,-,-,-
36,Gross Margin,15.45%,22.23%,16.74%,22.16%,12.77%,29.41%,29.46%,30.10%,26.89%,33.00%,38.07%,32.34%,41.36%,36.57%,40.48%,38.42%,44.95%,38.76%,37.96%,57.15%
37,Operating Margin,-4.98%,5.39%,-0.67%,-2.84%,-7.85%,6.24%,28.09%,10.50%,11.76%,16.56%,19.83%,10.75%,35.37%,19.58%,28.69%,20.07%,33.56%,24.57%,28.88%,20.68%
38,Profit Margin,-0.22%,5.63%,8.21%,-1.06%,-6.26%,6.29%,18.80%,12.01%,7.80%,13.42%,19.78%,10.99%,25.97%,18.56%,20.04%,14.66%,28.43%,17.49%,20.44%,18.65%
39,Free Cash Flow Margin,42.11%,23.97%,-42.47%,78.91%,-24.95%,-88.58%,36.74%,-62.88%,-13.47%,-31.59%,-27.11%,35.16%,-19.54%,-18.34%,-41.93%,7.36%,0.17%,-0.65%,29.90%,-
40,EBITDA,4.14,21.39,8.55,2.36,-9.89,21.63,45.02,38.04,29.35,45.54,36.67,40.82,62.3,57.63,47.02,50.53,74.14,54.15,32.18,68.31
41,EBITDA Margin,4.04%,10.66%,8.34%,0.98%,-5.31%,10.62%,31.39%,11.99%,13.88%,18.43%,22.60%,12.08%,36.93%,21.19%,30.38%,21.17%,34.53%,25.79%,30.88%,21.33%
42,D&A For EBITDA,9.24,10.57,9.24,9.24,4.73,8.92,4.73,4.73,4.48,4.62,4.48,4.48,2.63,4.4,2.63,2.63,2.08,2.56,2.08,2.08
43,EBIT,-5.1,10.82,-0.69,-6.88,-14.62,12.71,40.29,33.31,24.86,40.92,32.19,36.33,59.68,53.23,44.39,47.9,72.06,51.59,30.1,66.23
44,EBIT Margin,-4.98%,5.39%,-0.67%,-2.84%,-7.85%,6.24%,28.09%,10.50%,11.76%,16.56%,19.83%,10.75%,35.37%,19.58%,28.69%,20.07%,33.56%,24.57%,28.88%,20.68%
45,Effective Tax Rate,-,-,15.42%,-,-,5.91%,15.26%,10.24%,17.22%,14.85%,13.42%,12.33%,14.34%,13.22%,14.72%,10.88%,15.10%,15.24%,15.00%,13.01%
46,Revenue as Reported,102.34,200.79,102.55,241.86,186.28,203.65,143.41,317.37,211.46,247.15,162.29,338.02,168.7,271.9,154.74,238.65,214.74,209.93,104.22,759.16
