,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,483.89,572.58,597.14,678.5,640.07,784.89,835.34,733.46,743.77,719.81,592.84,543.59,471.36,404.69,398.39,885.68,-,60.09,-,78.3
1,Trading Asset Securities,-,-,-,56.16,75.07,73.57,53.29,62.62,93.05,87.18,216.99,235.91,182.32,271.88,350.92,-,-,-,-,-
2,Cash & Short-Term Investments,483.89,572.58,597.14,734.66,715.15,858.46,888.62,796.08,836.83,806.99,809.82,779.5,653.68,676.57,749.32,885.68,-,60.09,78.3,78.3
3,Cash Growth,-32.34%,-33.30%,-32.80%,-7.72%,-14.54%,6.38%,9.73%,2.13%,28.02%,19.28%,8.07%,-11.99%,-,1026.00%,856.96%,1031.10%,-,-,-,-
4,Accounts Receivable,989.76,1022,1021,1108,1153,1125,1089,1199,984.63,945.77,860.65,897.12,974.97,857.37,737.48,708.8,-,634.83,-,563.01
5,Other Receivables,17.38,20.86,21.37,0.44,14.44,13.85,13.61,0.55,26.33,17.26,15.17,0.03,11.03,1.23,13.92,0.08,-,16.21,-,0.45
6,Receivables,1007,1043,1043,1108,1168,1139,1102,1200,1011,963.03,875.82,898.13,986,859.15,751.4,709.41,-,651.05,-,564.13
7,Inventory,184.88,206.86,239.93,225.04,238.61,193.69,136.19,98.64,162.26,158.13,125.55,141.3,146.87,136.01,150.44,138.71,-,149.25,-,210.55
8,Other Current Assets,44.23,37.25,56.49,62.72,44.93,45.25,52.24,56.79,42.21,33.47,100.02,34.53,43.74,42.19,28.08,40.38,-,20.19,-,33.89
9,Total Current Assets,1720,1859,1936,2131,2166,2237,2179,2151,2052,1962,1911,1853,1830,1714,1679,1774,-,880.56,-,886.87
10,"Property, Plant & Equipment",456.95,462.93,464.22,460.91,459.53,444.35,447.09,447.95,364.47,342.99,315.98,304.36,242.14,228.88,191.31,194.04,-,176.54,-,165.04
11,Long-Term Investments,60,60,60,30,30,30,30,-,-,-,-,-,-,-,-,-,-,-,-,-
12,Goodwill,23.46,23.46,23.46,23.46,23.46,23.46,23.46,23.46,23.46,23.46,23.46,23.46,23.46,23.46,23.46,23.46,-,23.46,-,23.46
13,Other Intangible Assets,55.77,56.22,27.14,27.05,26.73,26.98,27.11,27.34,27.57,27.8,28.02,28.12,28.4,28.05,28.31,28.56,-,28.56,-,18.56
14,Long-Term Accounts Receivable,7.23,17.7,-,17.69,-,21.09,-,13.78,-,21.65,-,6.84,-,7.79,-,1.66,-,1.95,-,-
15,Long-Term Deferred Tax Assets,26.42,26.23,24.91,25.35,22.5,19.22,19.05,20.35,20.37,17.55,17.15,16.15,13.11,14.01,13.83,12.05,-,12.89,-,9.3
16,Long-Term Deferred Charges,1.97,1.62,1.68,2.49,1.01,1.86,1.97,0.99,0.16,0.42,-,-,-,-,-,-,-,-,-,-
17,Other Long-Term Assets,26.33,16.24,68.92,12.66,38.59,26.02,41.48,14.21,62.77,30.19,56.08,30.36,29.81,22.12,33.14,13.51,-,2.37,-,4.52
18,Total Assets,2378,2524,2606,2730,2768,2830,2769,2699,2551,2426,2352,2263,2167,2038,1969,2047,-,1126,-,1108
19,Accounts Payable,357.29,428.89,392.63,482.08,505.82,497.41,475.73,349.43,538.16,498.46,431.27,407.64,299.16,287.9,251.3,297.84,-,210.43,-,203.87
20,Accrued Expenses,8.68,11.24,7.83,16.88,12.45,15.35,7.2,35.85,13.38,20,10.52,32.07,12.48,14.54,8.52,20.39,-,12.12,-,19.7
21,Short-Term Debt,138.4,177.4,287,359.19,349.14,381,345,402.74,140,80,40,-,-,-,-,28.04,-,28.04,-,38.05
22,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.12,-,6.13,-,6.16
23,Current Portion of Leases,15,15.45,-,0.44,0.44,-,-,0.28,-,-,-,-,-,-,-,-,-,-,-,-
24,Current Income Taxes Payable,4.12,1.67,1.97,0.67,2.09,0.91,9.96,19.01,25.77,16.97,28.3,21.36,19.85,14.95,18.11,9.82,-,11.99,-,14.41
25,Current Unearned Revenue,29.73,35.72,41.63,56.32,72.53,88.03,61.34,35.61,27.18,32.19,40.33,34.21,116.61,73.61,71.7,80.63,-,144.63,-,142.49
26,Other Current Liabilities,8.18,8.09,18.88,23.23,22.42,31.58,31.54,48.71,48.21,42.38,57.26,64.26,61.63,37.64,21.04,27.22,-,25.58,-,31.86
27,Total Current Liabilities,561.38,678.46,749.94,938.82,964.9,1014,930.77,891.63,792.71,689.99,607.68,559.53,509.73,428.64,370.67,472.06,-,438.92,-,456.54
28,Long-Term Debt,27.5,35,50,-,-,-,-,-,-,-,-,-,-,-,-,14.95,-,19.94,-,22.93
29,Long-Term Leases,-,0.16,0.6,0.16,0.16,0.97,0.96,0.29,0.57,-,-,-,-,-,-,-,-,-,-,-
30,Long-Term Unearned Revenue,6.07,6.18,6.28,6.39,5.42,5.53,5.64,5.74,5.85,5.96,6.06,6.17,6.28,6.38,6.49,6.6,-,6.81,-,7.03
31,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,0.49,-,0.73,0.55,0.52,0.59,0.52,1.15,3.87,2.27,-,1.82,-,1.28
32,Other Long-Term Liabilities,4.68,4.5,5.1,5.83,7.34,7.1,8.51,9.5,9.83,9.87,9.17,8.84,8.63,8.69,6.77,7.16,-,9.58,-,9.3
33,Total Liabilities,599.63,724.3,811.93,951.2,977.82,1028,946.37,907.16,809.69,706.37,623.44,575.13,525.15,444.86,387.8,503.03,-,477.08,-,497.07
34,Common Stock,130.72,130.72,131.62,131.62,131.62,131.62,132.42,132.42,132.42,132.42,132.54,132.54,132.07,130.01,86.67,86.67,-,65,-,65
35,Additional Paid-In Capital,855.04,855.04,866.05,866.05,874.23,873.22,882.02,881.02,883.19,879.43,877.63,873.69,863.85,837.23,880.56,886.85,-,120.08,-,120.08
36,Retained Earnings,717,717.23,713.28,704.85,707.42,719.07,738.93,711.98,673.85,657.36,663.92,631.82,594.67,550.86,543.73,512.71,-,416.68,-,389.27
37,Treasury Stock,-20.01,-,-11.91,-11.91,-11.91,-11.91,-22.52,-22.52,-32.06,-32.06,-33.65,-33.65,-27.4,-,-,-,-,-,-,-
38,Comprehensive Income & Other,-,-,-,-,-,-,-,-,0.27,-,-,-,-,-,-,-,-,-,-,-
39,Total Common Equity,1683,1703,1699,1691,1701,1712,1731,1703,1658,1637,1640,1604,1563,1518,1511,1486,-,601.75,574.35,574.35
40,Minority Interest,95.89,96.45,95.47,88.67,89.1,89.62,92.22,89.18,83.72,82.15,88.01,83.22,78.87,75.3,70.51,58.19,-,47.5,-,36.33
41,Shareholders' Equity,1779,1799,1795,1779,1790,1802,1823,1792,1741,1719,1728,1688,1642,1593,1581,1544,-,649.26,610.68,610.68
42,Total Liabilities & Equity,2378,2524,2606,2730,2768,2830,2769,2699,2551,2426,2352,2263,2167,2038,1969,2047,-,1126,-,1108
43,Total Debt,180.9,228.01,337.6,359.78,349.74,381.97,345.96,403.31,140.57,80,40,-,-,-,-,51.11,-,54.11,67.15,67.15
44,Net Cash (Debt),302.99,344.57,259.53,374.87,365.41,476.49,542.67,392.77,696.26,726.99,769.82,779.5,653.68,676.57,749.32,834.57,-,5.97,11.16,11.16
45,Net Cash Growth,-17.08%,-27.69%,-52.17%,-4.56%,-47.52%,-34.46%,-29.51%,-49.61%,6.51%,7.45%,2.74%,-6.60%,-,11224.41%,6616.61%,7380.76%,-,-,-,-
46,Net Cash Per Share,2.39,2.81,1.85,2.75,2.68,3.49,4.03,3.00,5.13,5.48,5.76,5.88,4.92,5.23,5.80,8.58,-,0.06,0.12,0.11
47,Filing Date Shares Outstanding,130.72,130.72,131.62,131.62,131.62,131.62,132.42,132.42,132.42,132.54,132.54,132.54,132.07,130.01,130.01,130.01,97.2,97.5,96.84,97.49
48,Total Common Shares Outstanding,130.72,130.72,131.62,131.62,131.62,131.62,132.42,132.42,132.42,132.54,132.54,132.54,132.07,130.01,130.01,130.01,97.2,97.5,96.84,97.49
49,Working Capital,1159,1181,1186,1192,1202,1222,1249,1260,1260,1272,1304,1294,1321,1285,1309,1302,-,441.64,-,430.33
50,Book Value Per Share,12.87,13.03,12.91,12.84,12.93,13.01,13.07,12.86,12.52,12.35,12.38,12.11,11.84,11.68,11.62,11.43,-,6.17,5.89,5.89
51,Tangible Book Value,1604,1623,1648,1640,1651,1662,1680,1652,1607,1586,1589,1553,1511,1467,1459,1434,-,549.73,532.33,532.33
52,Tangible Book Value Per Share,12.27,12.42,12.52,12.46,12.54,12.62,12.69,12.48,12.13,11.97,11.99,11.72,11.44,11.28,11.22,11.03,-,5.64,5.46,5.46
53,Buildings,-,333.1,-,332.74,-,309.32,-,309.57,-,162.59,-,162.59,-,147.73,-,170.32,-,83.38,-,82.96
54,Machinery,-,215.76,-,214.76,-,184.29,-,172.43,-,63.25,-,61.43,-,75.22,-,53.35,-,46.81,-,40.35
55,Construction In Progress,-,31.71,-,10.59,-,29.78,-,28.3,-,171.68,-,126.43,-,43.75,-,1.54,-,72.59,-,63.64
