,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Market Capitalization,11295,6399,-,-,-
1,Enterprise Value,11455,6634,-,-,-
2,Last Close Price,31.70,17.96,-,-,-
3,PE Ratio,1993.93,127.22,-,-,-
4,PS Ratio,12.93,6.31,-,-,-
5,PB Ratio,6.90,3.81,-,-,-
6,P/TBV Ratio,4.03,4.03,-,-,-
7,P/OCF Ratio,43.11,45.28,-,-,-
8,EV/Sales Ratio,13.12,6.54,-,-,-
9,EV/EBITDA Ratio,53.79,26.02,-,-,-
10,EV/EBIT Ratio,1169.63,69.80,-,-,-
11,Debt / Equity Ratio,0.28,0.28,0.28,-,0.37
12,Debt / EBITDA Ratio,2.17,2.33,2.33,-,1.69
13,Debt / FCF Ratio,-,-,-,-,19.31
14,Asset Turnover,0.38,-,-,-,
15,Inventory Turnover,-,16.19,-,-,-
16,Quick Ratio,2.03,2.03,2.03,-,-
17,Current Ratio,2.20,2.20,2.20,-,-
18,Return on Equity (ROE),0.12%,-,-,-,
19,Return on Assets (ROA),0.88%,-,-,-,
20,Return on Capital (ROIC),0.96%,-,-,-,
21,Return on Capital Employed (ROCE),0.29%,4.90%,4.47%,-,-
22,Earnings Yield,0.05%,0.79%,-,-,-
23,FCF Yield,-0.83%,-1.59%,-,-,-
