,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,305.54,305.54,-,-
1,Short-Term Investments,17.0,17.0,-,-
2,Cash & Short-Term Investments,322.54,322.54,-,355.62
3,Accounts Receivable,432.78,432.78,-,-
4,Other Receivables,3.88,3.88,-,-
5,Receivables,436.66,436.66,-,-
6,Inventory,31.39,31.39,-,-
7,Prepaid Expenses,20.95,20.95,-,-
8,Restricted Cash,0.0,0.0,-,-
9,Other Current Assets,10.03,10.03,-,-
10,Total Current Assets,821.57,821.57,-,-
11,"Property, Plant & Equipment",924.93,924.93,-,-
12,Long-Term Investments,88.76,88.76,-,-
13,Other Intangible Assets,44.92,44.92,-,-
14,Long-Term Accounts Receivable,60.47,60.47,-,-
15,Long-Term Deferred Tax Assets,32.08,32.08,-,-
16,Other Long-Term Assets,199.95,199.95,-,-
17,Total Assets,2179.0,2179.0,-,-
18,Accounts Payable,41.86,41.86,-,-
19,Short-Term Debt,147.15,147.15,-,-
20,Current Portion of Leases,47.6,47.6,-,-
21,Current Income Taxes Payable,48.75,48.75,-,-
22,Current Unearned Revenue,18.17,18.17,-,-
23,Other Current Liabilities,69.93,69.93,-,-
24,Total Current Liabilities,373.45,373.45,-,-
25,Long-Term Debt,118.23,118.23,-,-
26,Long-Term Leases,119.32,119.32,-,-
27,Long-Term Deferred Tax Liabilities,4.33,4.33,-,-
28,Other Long-Term Liabilities,0.54,0.54,-,-
29,Total Liabilities,615.87,615.87,-,-
30,Common Stock,356.31,356.31,-,-
31,Additional Paid-In Capital,1346.0,1346.0,-,-
32,Retained Earnings,-444.01,-444.01,-,-
33,Comprehensive Income & Other,266.42,266.42,-,-
34,Total Common Equity,1524.0,1524.0,-,1273
35,Minority Interest,38.79,38.79,-,-
36,Shareholders' Equity,1563.0,1563.0,-,1316
37,Total Liabilities & Equity,2179.0,2179.0,-,-
38,Total Debt,432.3,432.3,-,489.07
39,Net Cash (Debt),-109.76,-109.76,-,-133.45
40,Net Cash Per Share,-0.32,-0.32,-,-
41,Filing Date Shares Outstanding,356.31,356.31,-,-
42,Total Common Shares Outstanding,356.31,356.31,-,-
43,Working Capital,448.12,448.12,-,-
44,Book Value Per Share,4.28,4.28,-,3.76
45,Tangible Book Value,1479.0,1479.0,-,1241
46,Tangible Book Value Per Share,4.15,4.15,-,3.67
