,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Revenue,206.86,206.86,264.89,264.89
1,Cost of Revenue,127.03,127.03,170.57,170.57
2,Gross Profit,79.83,79.83,94.32,94.32
3,"Selling, General & Admin",72.03,72.03,57.8,57.8
4,Research & Development,2.86,2.86,2.94,2.94
5,Other Operating Expenses,-2.74,-2.74,-2.97,-2.97
6,Operating Expenses,72.14,72.14,57.78,57.78
7,Operating Income,7.69,7.69,36.54,36.54
8,Interest Expense,-5.52,-5.52,-6.31,-6.31
9,Interest & Investment Income,0.57,0.57,0.99,0.99
10,Earnings From Equity Investments,-0.55,-0.55,-2.87,-2.87
11,EBT Excluding Unusual Items,2.19,2.19,28.34,28.34
12,Gain (Loss) on Sale of Investments,-,-,-0.77,-0.77
13,Pretax Income,2.19,2.19,27.57,27.57
14,Income Tax Expense,1.71,1.71,3.93,3.93
15,Earnings From Continuing Operations,0.48,0.48,23.65,23.65
16,Minority Interest in Earnings,1.44,1.44,-2.16,-2.16
17,Net Income,1.92,1.92,21.49,21.49
18,Net Income to Common,1.92,1.92,21.49,21.49
19,Shares Outstanding (Basic),341,341,-,-
20,Shares Outstanding (Diluted),341,341,-,-
21,EPS (Basic),0.01,0.01,-,-
22,EPS (Diluted),0.01,0.01,-,-
23,Free Cash Flow,-72.59,-72.59,25.33,25.33
24,Free Cash Flow Per Share,-0.21,-0.21,-,-
25,Gross Margin,38.59%,38.59%,35.61%,35.61%
26,Operating Margin,3.72%,3.72%,13.79%,13.79%
27,Profit Margin,0.93%,0.93%,8.11%,8.11%
28,Free Cash Flow Margin,-35.09%,-35.09%,9.56%,9.56%
29,EBITDA,46.41,46.41,72.23,72.23
30,EBITDA Margin,22.43%,22.43%,27.27%,27.27%
31,D&A For EBITDA,38.72,38.72,35.69,35.69
32,EBIT,7.69,7.69,36.54,36.54
33,EBIT Margin,3.72%,3.72%,13.79%,13.79%
34,Effective Tax Rate,78.01%,78.01%,14.24%,14.24%
