,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,277280114,259002155,283311664,246543853,296992710,247398918,224345531,219287007,233703800,195259019,171483957,169460548,220045786,187671324,158668612,190040352,172745675,192654664,164098336,152434484,124079257,Upgrade
1,Market Cap Growth,4.69%,4.69%,26.28%,12.43%,27.08%,26.70%,30.83%,29.40%,6.21%,4.04%,8.08%,-10.83%,27.38%,-2.59%,-3.31%,24.67%,39.22%,3.79%,21.83%,40.66%,1.38%,Upgrade
2,Last Close Price,40200.00,37550.00,41074.38,35743.80,43057.85,35867.77,32525.42,31792.04,33882.17,28308.48,24861.59,24568.24,31902.04,27208.41,22897.31,27424.53,24928.76,27801.80,23286.60,21631.42,17607.64,Upgrade
3,PE Ratio,11.24,10.50,13.66,12.22,15.44,13.10,13.31,12.50,13.52,12.69,11.92,15.19,22.79,21.49,20.00,23.77,27.33,-,24.99,24.30,20.67,Upgrade
4,PS Ratio,4.69,4.38,5.05,4.46,5.53,4.70,4.49,4.37,4.81,4.28,4.11,4.54,6.39,5.68,4.92,6.11,5.99,7.21,5.72,5.47,4.47,Upgrade
5,PB Ratio,1.99,1.79,2.05,1.83,2.30,2.01,1.88,1.92,2.13,1.88,1.70,1.80,2.45,2.17,1.84,2.25,2.10,2.42,2.01,1.91,1.57,Upgrade
6,P/FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-5.40,-,-4.72,-,-,Upgrade
7,P/OCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-5.57,-,-4.87,-,-,Upgrade
8,Debt / Equity Ratio,0.65,0.65,0.61,0.64,0.67,0.77,0.82,0.78,0.84,0.98,1.03,1.13,1.05,1.06,1.17,1.11,1.13,1.15,1.35,1.37,1.19,Upgrade
9,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-2.91,-,-3.16,-,-,Upgrade
10,Return on Equity (ROE),21.10%,15.27%,19.80%,18.79%,20.30%,16.22%,19.82%,20.78%,16.22%,21.98%,22.64%,16.52%,10.48%,9.95%,17.93%,13.45%,7.73%,10.80%,10.31%,7.36%,Upgrade,
11,Return on Assets (ROA),1.12%,0.82%,1.08%,1.02%,1.11%,0.89%,1.05%,1.05%,0.80%,1.06%,1.09%,0.81%,0.52%,0.51%,0.93%,0.71%,0.42%,0.60%,0.57%,0.39%,Upgrade,
12,Earnings Yield,8.89%,9.52%,8.24%,9.24%,7.36%,8.69%,8.72%,9.24%,8.55%,9.26%,9.44%,7.65%,5.21%,5.62%,6.21%,5.22%,4.77%,3.63%,5.10%,5.30%,6.29%,Upgrade
13,FCF Yield,-72.05%,-77.13%,-138.50%,-118.79%,-91.65%,-124.79%,-42.90%,-48.76%,-67.98%,-87.06%,-118.00%,-123.67%,-96.10%,-59.65%,-87.52%,-57.91%,-18.51%,-38.70%,-21.17%,-22.56%,-53.91%,Upgrade
14,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.42%,-,-,-,Upgrade
15,Payout Ratio,0.38%,1.17%,-,0.14%,-,-,0.98%,-,-,3.65%,-,-,4.28%,34.03%,-,16.68%,-,178.43%,-,-,-,Upgrade
16,Buyback Yield / Dilution,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,-,-,-,-,0.00%,0.00%,0.00%,0.00%,-,-,-,-,-17.65%,-17.65%,-17.65%,Upgrade
17,Total Shareholder Return,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,-,-,-,-,0.00%,0.00%,0.00%,0.00%,-,-,-,0.42%,-17.65%,-17.65%,-17.65%,Upgrade
