,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,6302,4749,5189,4960,6429,7157,6437,5227,-,-,-,-
1,Market Cap Growth,-33.65%,-33.65%,-19.40%,-5.10%,-,-,-,-,-,-,-,-
2,Enterprise Value,7087,5538,5902,5684,7152,7695,7123,6032,-,-,-,-
3,PE Ratio,33.71,59.06,-,40.04,-,46.58,43.85,38.19,-,-,-,-
4,PS Ratio,5.78,9.06,-,6.03,-,6.00,5.38,4.33,-,-,-,-
5,PB Ratio,3.59,2.63,2.92,2.77,3.66,4.21,-,3.20,-,-,-,-
6,P/FCF Ratio,66.44,579.22,-,-,-,786.05,-504.62,-,-,-,-,-
7,P/OCF Ratio,11.98,30.54,-,26.73,-,22.65,19.55,15.88,-,-,-,-
8,EV/Sales Ratio,6.50,10.56,-,6.91,-,6.45,5.95,5.00,-,-,-,-
9,EV/EBITDA Ratio,20.96,30.63,-,18.29,-,20.05,18.73,16.37,-,-,-,-
10,EV/EBIT Ratio,42.01,53.89,-,28.78,-,32.62,30.39,26.92,-,-,-,-
11,EV/FCF Ratio,74.71,675.50,-,-,-,845.14,-558.41,-,-,-,-,-
12,Debt / Equity Ratio,0.49,0.49,0.53,0.48,0.46,0.52,-,0.62,0.65,-,0.65,0.64
13,Debt / EBITDA Ratio,2.60,2.61,-,2.23,-,2.20,-,3.43,2.25,-,2.12,3.21
14,Debt / FCF Ratio,9.25,107.01,-,-,-,96.46,-,-,-152.14,-,-49.47,-
15,Quick Ratio,0.80,0.80,0.81,0.84,0.79,0.82,-,0.89,0.64,-,0.68,-
16,Current Ratio,0.97,0.97,0.96,1.01,0.94,0.96,-,1.01,0.75,-,0.80,-
17,Asset Turnover,0.31,-,0.26,-,-,-,0.27,-,-,-,-,
18,Return on Equity (ROE),8.22%,-,7.78%,-,-,-,4.46%,-,-,12.00%,-,
19,Return on Assets (ROA),3.05%,-,3.95%,-,-,-,2.55%,-,-,-,-,
20,Return on Capital (ROIC),4.18%,-,5.53%,-,-,-,3.67%,-,-,7.73%,-,
21,Return on Capital Employed (ROCE),5.74%,3.50%,-,6.78%,-,8.24%,-,7.94%,8.38%,-,3.74%,-
22,Earnings Yield,2.89%,1.69%,-,2.50%,-,2.15%,2.28%,2.62%,-,-,-,-
23,Earnings Yield,2.89%,1.69%,-,2.50%,-,2.15%,2.28%,2.62%,-,-,-,-
24,FCF Yield,1.51%,0.17%,-,-0.33%,-,0.13%,-0.20%,0.71%,-,-,-,-
25,Payout Ratio,57.50%,41.57%,-,23.64%,-,29.43%,78.32%,65.70%,27.75%,29.64%,26.14%,99.59%
26,Buyback Yield / Dilution,-5.26%,0.00%,-,-10.96%,-,-9.47%,0.30%,-14.85%,-,-,-,-
27,Total Shareholder Return,-4.79%,0.00%,-,-10.96%,-,-9.47%,0.30%,-14.85%,-,-,-,-
