,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,57.69,158.66,136.04,182.5,98.14,-,362.32,162.36,-,118.67,-
1,Short-Term Investments,-,5.09,-,5.04,-,-,-,-,-,-,-
2,Trading Asset Securities,82.4,32.83,62.57,12.82,99.71,-,1.75,1.7,-,17.76,-
3,Accounts Receivable,440.06,419.4,415.37,399.1,427.63,-,385.92,396.6,-,344.22,-
4,Other Receivables,8.61,10.65,11.46,12.01,20.36,-,28.18,27.94,-,25.5,-
5,Inventory,39,37.58,37.91,38.01,36.12,-,30.85,27.47,-,30.73,-
6,Prepaid Expenses,-,0.52,-,0.39,-,-,-,0.67,-,0.83,-
7,Other Current Assets,91.97,80.53,93.09,71.4,70.85,-,71.41,69.68,-,64.28,-
8,Total Current Assets,719.74,745.26,756.44,721.27,752.81,-,880.42,686.42,-,601.99,-
9,"Property, Plant & Equipment",772.95,791.68,761.23,759.1,770.39,-,663.19,642.52,-,610.64,-
10,Other Intangible Assets,2047,2036,2044,2064,2042,-,2084,2064,-,2016,-
11,Long-Term Investments,39.84,29.24,-,-,-,-,-,-,-,-,-
12,Long-Term Deferred Tax Assets,41.04,40.57,38.42,38.91,35.84,-,33.62,32.58,-,28.75,-
13,Long-Term Deferred Charges,13.75,13.75,11.89,8.56,6.06,-,5.37,5.72,-,4.61,-
14,Long-Term Accounts Receivable,6.17,46.81,6.03,42.56,-,-,-,50.11,-,17.69,-
15,Other Long-Term Assets,40.12,0.63,41.73,0.26,41.68,-,26.67,8.85,-,5.44,-
16,Total Assets,3681,3704,3660,3635,3649,-,3694,3491,-,3285,-
17,Accounts Payable,255.81,249.63,261.22,310.1,310.93,-,305.52,336.12,-,288.01,-
