,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,292.59,-,235.37,-,286.34,301,241.36,357.21,290.26,313.96,191.12
1,Other Revenue,-3.58,-,-,-,-2.52,2.52,-,6.53,-2.1,-,-
2,Revenue,289.01,-,235.37,-,283.81,303.52,241.36,363.74,288.16,313.96,191.12
3,Revenue Growth (YoY),1.83%,-,-2.48%,-,-1.51%,-3.33%,26.29%,-,-,-,-
4,Operations & Maintenance,-1.63,-,-,-,-2.08,2.08,-,4.1,-1.53,-,-
5,"Selling, General & Admin",43.47,-,38.53,-,42.32,40.03,36.61,30.7,36.99,34.03,29.62
6,Provision for Bad Debts,-0.78,-,2.02,-,1.07,4.06,-0.46,3.2,3.14,3.34,-0.16
7,Other Operating Expenses,202.33,-,136.61,-,178.93,180.27,168.25,264.95,188,210.16,133.17
8,Total Operating Expenses,243.95,-,177.66,-,220.78,226.78,204.73,304.26,226.6,247.53,162.63
9,Operating Income,45.06,-,57.7,-,63.03,76.74,36.63,59.48,61.56,66.43,28.49
10,Interest Expense,-10.51,-,-11.02,-,-10.92,-11.71,-12.89,-14.49,-11.53,13.92,-13.92
11,Interest Income,1.32,-,1.15,-,-0.13,0.42,0.6,1.14,0.27,-0.23,0.35
12,Net Interest Expense,-9.19,-,-9.86,-,-11.06,-11.29,-12.29,-13.35,-11.27,13.69,-13.57
13,Currency Exchange Gain (Loss),0.19,-,-,-,-0,0,-,0,0.19,-,-
14,Other Non-Operating Income (Expenses),-0.41,-,-0.28,-,2.9,0.27,1.43,-2.33,-1.08,-27.31,-0.78
15,EBT Excluding Unusual Items,35.66,-,47.56,-,54.87,65.72,25.77,43.8,49.41,52.81,14.14
16,Gain (Loss) on Sale of Investments,-1.25,-,-,-,0.51,-1.55,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0.21,-,0.01,-,0.4,-0.07,0.11,-1.38,-0,0.01,0.07
18,Asset Writedown,-0.66,-,-0.95,-,-0.25,0.32,-0.32,0.76,-0.67,-0.73,0.1
19,Other Unusual Items,27.72,-,-,-,-,-,-,21.01,-0.56,-,-
20,Pretax Income,61.26,-,46.62,-,55.52,64.43,25.56,64.19,48.17,52.09,14.31
21,Income Tax Expense,24.53,-,12.13,-,13.38,14.53,8.53,17.5,13.48,12.92,4.27
22,Earnings From Continuing Ops.,36.74,-,34.49,-,42.14,49.9,17.03,46.69,34.69,39.17,10.04
23,Earnings From Discontinued Ops.,11.05,-,-,-,-,-,-,-,-,-,-
24,Net Income to Company,47.79,-,34.49,-,42.14,49.9,17.03,46.69,34.69,39.17,10.04
25,Minority Interest in Earnings,-1.03,-,-0.85,-,-1.03,-0.78,0.05,-0.35,-0.44,0.02,-0.08
26,Net Income,46.76,-,33.64,-,41.11,49.12,17.08,46.34,34.25,39.19,9.96
27,Net Income to Common,46.76,-,33.64,-,41.11,49.12,17.08,46.34,34.25,39.19,9.96
28,Net Income Growth,13.75%,-,96.90%,-,20.04%,25.36%,71.50%,-,-,-,-
29,Shares Outstanding (Basic),423,-,423,-,423,423,381,381,387,424,332
30,Shares Outstanding (Diluted),423,-,423,-,423,423,381,381,387,424,332
31,Shares Change (YoY),-0.00%,-,10.96%,-,9.47%,-0.30%,14.85%,-,-,-,-
32,EPS (Basic),0.11,-,0.08,-,0.10,0.12,0.04,0.12,0.09,0.09,0.03
33,EPS (Diluted),0.11,-,0.08,-,0.10,0.12,0.04,0.12,0.09,0.09,0.03
34,EPS Growth,13.75%,-,77.46%,-,9.65%,25.74%,49.33%,-,-,-,-
35,Free Cash Flow,38.47,-,-30.27,-,4.9,9.08,-33.36,28.48,-16.96,59.01,-76.61
36,Free Cash Flow Per Share,0.09,-,-0.07,-,0.01,0.02,-0.09,0.07,-0.04,0.14,-0.23
37,Dividend Per Share,-,-,-,-,-,-,-,0.070,-,-,-
38,Profit Margin,16.18%,-,14.29%,-,14.49%,16.18%,7.08%,12.74%,11.89%,12.48%,5.21%
39,Free Cash Flow Margin,13.31%,-,-12.86%,-,1.73%,2.99%,-13.82%,7.83%,-5.89%,18.80%,-40.09%
40,EBITDA,84.08,-,96.72,-,99.82,114.18,73.42,96.27,96.37,102.46,63.3
41,EBITDA Margin,29.09%,-,41.09%,-,35.17%,37.62%,30.42%,26.47%,33.44%,32.64%,33.12%
42,D&A For EBITDA,39.01,44.94,39.01,39.01,36.79,37.45,36.79,36.79,34.81,36.03,34.81
43,EBIT,45.06,-,57.7,-,63.03,76.74,36.63,59.48,61.56,66.43,28.49
44,EBIT Margin,15.59%,-,24.52%,-,22.21%,25.28%,15.18%,16.35%,21.36%,21.16%,14.91%
45,Effective Tax Rate,40.03%,-,26.02%,-,24.10%,22.55%,33.38%,27.26%,27.99%,24.81%,29.84%
46,Revenue as Reported,289.01,-,235.37,-,283.81,303.52,241.36,363.74,288.16,313.96,191.12
