,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,674.39,565.61,490.25,529.14,741.72,451.39,422.82,419.76,597.77,307.18,442.62,426.67,441.14,271.86,335.59,397.66,333.16,188.18
1,Other Revenue,-61.62,61.62,-,171.91,-94.62,94.62,-,113.43,-51.38,51.38,-,106.5,-50.55,50.55,-,-25.54,25.54,-
2,Revenue,612.77,627.23,490.25,701.05,647.1,546.01,422.82,533.2,546.39,358.55,442.62,533.18,390.6,322.4,335.59,372.12,358.7,188.18
3,Revenue Growth (YoY),-5.31%,14.87%,15.95%,31.48%,18.43%,52.28%,-4.47%,0.00%,39.89%,11.21%,31.89%,43.28%,8.89%,71.33%,-,-,-,-
4,Cost of Revenue,444.66,489.54,365.1,521.7,473.02,411.97,332.96,419.31,427.67,306.67,357.26,467.94,323.69,267.53,277.95,286.57,270.87,179.64
5,Gross Profit,168.11,137.69,125.14,179.35,174.08,134.04,89.86,113.89,118.72,51.88,85.36,65.24,66.9,54.87,57.64,85.55,87.83,8.53
6,"Selling, General & Admin",23.14,26.83,23.82,29.31,22.91,31.24,21.06,24.33,22.19,21.09,19.21,15.08,18.88,19.65,18.01,16.81,30.8,-
7,Research & Development,15.99,18.23,14.64,20.08,17.08,15.3,12.28,17.02,17.11,14,13.59,15.5,12.99,11.74,9.53,14.11,16.54,-
8,Other Operating Expenses,-2.07,4.28,0.6,7.72,4.13,6.52,3.15,12.85,2,-0.16,0.96,10.07,0.61,-0.05,0.55,-1.45,0.1,-
9,Operating Expenses,38.98,50.22,14.42,73.51,47.91,61.62,36.16,59.63,44.82,33.25,37.38,38.11,43.91,35.21,15.24,32.21,44.39,-
10,Operating Income,129.13,87.47,110.72,105.83,126.17,72.41,53.7,54.26,73.9,18.63,47.98,27.14,23,19.66,42.4,53.33,43.44,8.53
11,Interest Expense,-9.1,-5.84,-5.84,-5.21,-6.45,-5.17,-4.86,-3.28,-3.21,-2.46,-2.1,-1.79,-0.46,-4.86,-5.02,-5.49,-11.99,-
12,Interest & Investment Income,0.11,0.16,0.17,0.6,0.22,0.11,0.14,0.25,0.37,0.15,0.17,0.08,0.19,0.31,0.07,0.06,0.15,-
13,Currency Exchange Gain (Loss),-0.02,0.02,-,0.03,-,-,-,0.06,-0.02,0.02,-,0,-0,0,-,0,-0,-
14,Other Non Operating Income (Expenses),0.32,-0.98,0.08,-0.79,0.03,-0.72,0.15,0.59,-0.83,0.74,-0.53,-0.88,3.99,-3.57,0.47,-0.15,2.42,-1.31
15,EBT Excluding Unusual Items,120.45,80.83,105.13,100.47,119.97,66.63,49.12,51.87,70.21,17.08,45.53,24.53,26.73,11.55,37.92,47.77,34.01,7.22
16,Gain (Loss) on Sale of Investments,-,0.16,-0.16,0.08,-0.08,-,-,-,-0.1,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,0.53,-0.04,0.1,2.98,0.02,0.08,-,-0.38,0.64,-0.52,0.01,-0.06,2.12,-0.04,0.24,0.03,-0.04,-
18,Asset Writedown,-8.55,10.91,-10.91,23.78,-27.46,0.53,-0.53,2.93,-2.93,2.25,-2.25,2.43,-2.43,1.95,-1.95,-5.35,-,-
19,Other Unusual Items,-2.82,2.82,-,11.13,-,-,-,12.07,0.09,-0.09,-,10.54,0.03,-0.03,-,-0.07,0.07,-
20,Pretax Income,109.61,94.69,94.15,138.44,92.44,67.24,48.59,66.49,67.9,18.72,43.29,37.45,26.44,13.44,36.2,42.38,34.04,7.22
21,Income Tax Expense,17.52,13.72,16.78,27.83,16.34,14.73,10.58,11.45,13.09,2.23,7.72,9.85,3.44,1.9,7.34,6.79,5.92,0.7
22,Net Income,92.09,80.96,77.37,110.61,76.11,52.51,38.01,55.05,54.8,16.49,35.57,27.6,23.01,11.53,28.86,35.58,28.12,6.52
23,Net Income to Common,92.09,80.96,77.37,110.61,76.11,52.51,38.01,55.05,54.8,16.49,35.57,27.6,23.01,11.53,28.86,35.58,28.12,6.52
24,Net Income Growth,21.00%,54.19%,103.54%,100.95%,38.87%,218.39%,6.86%,99.46%,138.22%,42.99%,23.25%,-22.45%,-18.20%,76.92%,-,-,-,-
25,Shares Outstanding (Basic),242,245,250,285,250,227,238,299,224,236,237,199,201,147,152,147,151,-
26,Shares Outstanding (Diluted),242,245,250,285,250,227,238,299,224,236,237,199,201,147,152,147,151,-
27,Shares Change (YoY),-3.27%,8.20%,5.05%,-4.84%,11.73%,-4.03%,0.18%,50.13%,11.10%,60.30%,56.12%,35.67%,33.65%,-,-,-,-,-
28,EPS (Basic),0.38,0.33,0.31,0.39,0.30,0.23,0.16,0.18,0.25,0.07,0.15,0.14,0.11,0.08,0.19,0.24,0.19,-
29,EPS (Diluted),0.38,0.33,0.31,0.39,0.30,0.23,0.16,0.18,0.25,0.07,0.15,0.14,0.11,0.08,0.19,0.24,0.19,-
30,EPS Growth,25.09%,42.51%,93.75%,111.16%,24.29%,231.78%,6.67%,32.86%,114.41%,-10.80%,-21.05%,-42.84%,-38.80%,-,-,-,-,-
31,Free Cash Flow,19.55,-21.63,-48.42,-19.74,58.38,-24.35,-102.08,-156.73,122.99,14.97,-189.54,108.1,-207.95,-69.62,17.56,6.98,32.84,0.58
32,Free Cash Flow Per Share,0.08,-0.09,-0.19,-0.07,0.23,-0.11,-0.43,-0.52,0.55,0.06,-0.80,0.54,-1.03,-0.47,0.12,0.05,0.22,-
33,Dividend Per Share,-,0.200,-,0.380,-,0.100,-,-,-,-,-,-,-,-,-,-,-,-
34,Dividend Growth,-,100.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,Gross Margin,27.43%,21.95%,25.53%,25.58%,26.90%,24.55%,21.25%,21.36%,21.73%,14.47%,19.29%,12.24%,17.13%,17.02%,17.18%,22.99%,24.49%,4.54%
36,Operating Margin,21.07%,13.95%,22.59%,15.10%,19.50%,13.26%,12.70%,10.18%,13.52%,5.20%,10.84%,5.09%,5.89%,6.10%,12.64%,14.33%,12.11%,4.54%
