,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,7995,4758,4362,6034,5766,4135,3707,3537,2586,2524,2908,2876,3392,2832,3588,-,-,-,-
1,Market Cap Growth,15.06%,15.06%,17.65%,70.61%,122.97%,63.85%,27.48%,22.97%,-23.76%,-10.88%,-18.95%,-,-,-,-,-,-,-,-
2,Enterprise Value,8589,5362,4842,6384,6116,4500,4190,3670,2719,2669,3063,2966,3482,2717,3926,-,-,-,-
3,Last Close Price,32.50,19.11,17.51,23.37,22.34,15.95,15.33,14.63,12.49,12.19,13.92,13.77,16.24,13.56,17.18,-,-,-,-
4,PE Ratio,22.99,13.18,12.64,19.06,20.80,18.66,18.50,21.52,15.97,18.77,28.33,29.44,37.28,28.61,34.47,-,-,-,-
5,PS Ratio,3.41,1.96,1.77,2.53,2.49,1.92,1.81,1.90,1.37,1.34,1.69,1.70,2.14,1.99,2.58,-,-,-,-
6,PB Ratio,3.41,2.06,1.94,2.67,2.64,2.00,1.78,1.96,1.30,1.42,1.67,1.62,1.93,1.64,2.10,-,-,-,-
7,P/TBV Ratio,2.33,2.33,2.14,2.95,2.93,2.23,1.98,2.18,1.43,1.59,1.86,1.81,2.16,1.83,2.36,-,-,-,-
8,P/FCF Ratio,-,-67.74,-,-,-,-18.40,-,-,-,44.66,-10.60,-,-22.33,-,-,-,-,-,-
