,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 11, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,179,81,96,126,147,217,328,368,265,218,238
1,Market Cap Growth,-35.60%,-35.60%,-34.48%,-41.86%,-55.38%,-41.02%,23.92%,69.33%,11.58%,-,-
2,Enterprise Value,440,476,541,528,587,494,580,602,519,567,649
3,Last Close Price,0.35,0.16,0.19,0.25,0.29,0.43,0.65,0.73,0.53,0.41,0.45
4,PE Ratio,-,-,-,-,-,-,99.78,-,10.41,7.66,6.42
5,PS Ratio,0.10,0.05,0.05,0.06,0.06,0.10,0.13,0.14,0.12,0.11,0.10
6,PB Ratio,1.22,0.55,0.46,0.55,0.54,0.72,1.02,1.22,0.87,0.79,0.88
7,P/TBV Ratio,0.56,0.56,0.46,0.55,0.54,0.73,1.02,1.23,0.88,0.80,0.89
8,P/FCF Ratio,1.28,0.58,-13.47,-,-1.81,-,-,-,1.86,-11.18,-
9,P/OCF Ratio,0.44,0.44,1.67,-,92.83,-,5.48,6.02,1.54,7.46,-
10,EV/Sales Ratio,0.25,0.27,0.30,0.25,0.26,0.23,0.23,0.23,0.23,0.28,0.28
11,EV/EBITDA Ratio,-,-,-,-,-,-,61.33,-,10.62,8.41,7.96
12,EV/EBIT Ratio,-,-,-,-,-,-,-38.05,-,16.59,10.64,9.26
13,EV/FCF Ratio,3.14,3.39,-75.89,-,-7.24,-,-,-,3.64,-29.14,-
14,Debt / Equity Ratio,2.70,2.70,2.26,2.11,1.85,1.67,1.11,0.89,0.93,1.11,1.41
15,Debt / FCF Ratio,2.84,2.84,-66.26,-,-6.25,-,-,-,1.98,-15.70,-
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,-4.20%,-,6.96%,17.55%,22.97%
17,Earnings Yield,-46.20%,-101.86%,-60.09%,-37.65%,-18.24%,1.81%,1.00%,1.70%,9.60%,13.05%,15.58%
18,FCF Yield,78.21%,172.45%,-7.42%,-28.50%,-55.34%,-50.98%,-6.48%,7.61%,53.80%,-8.94%,-33.92%
19,Buyback Yield / Dilution,-,-,-,1.96%,-0.86%,-3.06%,-0.18%,-17.46%,-33.33%,-,
20,Total Shareholder Return,-,-,-,1.96%,-0.86%,-3.06%,-0.18%,-17.46%,-33.33%,-,
