,Fiscal Quarter,Q4 2024,Q1 2024,Q1 2023,Q4 2019,Q4 2018,Q4 2013,Q4 2012,Q4 2011
,Period Ending,"Dec '24 Dec 31, 2024","Mar '24 Mar 31, 2024","Mar '23 Mar 31, 2023","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018","Dec '13 Dec 31, 2013","Dec '12 Dec 31, 2012","Dec '11 Dec 31, 2011"
0,Cash & Equivalents,15175,9903,-,1794,990.64,1953,2669,-
1,Short-Term Investments,6000,6000,-,-,-,-,-,-
2,Cash & Short-Term Investments,21175,15903,10177,1794,990.64,1953,2669,-
3,Cash Growth,2037.50%,714.46%,281.28%,-,-,-,-,-
4,Accounts Receivable,38006,37723,-,23502,31360,8592,3793,-
5,Other Receivables,433.24,381.71,-,264.52,419.51,2051,283.07,-
6,Receivables,38439,38104,-,23767,31780,10642,4077,-
7,Inventory,16642,11735,-,13285,17229,9917,4629,-
8,Prepaid Expenses,370.88,440.75,-,476.83,714.72,151.99,-,-
9,Other Current Assets,472.01,-,-,518.57,3220,1095,1009,-
10,Total Current Assets,77099,66183,-,39840,53934,23758,12384,-
11,"Property, Plant & Equipment",30128,33268,-,64615,73035,39497,6175,-
12,Other Intangible Assets,-,-,-,34.92,63.72,1584,1536,-
13,Long-Term Deferred Tax Assets,1216,1216,-,-,-,-,-,-
14,Other Long-Term Assets,602.9,668.57,-,308.38,1196,2157,242.71,-
15,Total Assets,109046,101336,-,104798,128229,66995,20339,-
16,Accounts Payable,1535,7595,-,3011,16409,5755,1329,-
17,Accrued Expenses,20011,11203,-,4560,2943,3054,124,-
18,Short-Term Debt,-,-,-,26698,36220,7000,4650,-
19,Current Income Taxes Payable,-,632.92,-,935.24,581.48,-,280.59,-
20,Other Current Liabilities,295.6,306.25,-,1547,1527,34.94,1174,-
21,Total Current Liabilities,21842,19737,-,36752,57680,15844,7558,-
22,Long-Term Debt,-,-,-,15099,18795,26319,416.45,-
23,Other Long-Term Liabilities,-,-,-,-,-,66.19,120.15,-
24,Total Liabilities,21842,19737,-,51850,76475,42230,8095,-
25,Common Stock,50000,50000,-,50000,50000,26892,11236,-
26,Retained Earnings,37203,31598,-,2948,1755,-2126,1009,-
27,Treasury Stock,-0.38,-0.38,-,-0.38,-0.38,-0.38,-0.38,-
28,Shareholders' Equity,87203,81598,73620,52948,51755,24765,12244,-
29,Total Liabilities & Equity,109046,101336,-,104798,128229,66995,20339,-
30,Total Debt,-,-,18405,41797,55015,33319,5066,-
31,Net Cash (Debt),21175,15903,-8227,-40003,-54024,-31367,-2397,-
32,Net Cash Per Share,4234.97,3180.59,-1641.84,-,-,-,-,-
33,Filing Date Shares Outstanding,5,5,5.01,-,-,-,-,1.12
34,Total Common Shares Outstanding,5,5,5.01,-,-,-,-,1.12
35,Working Capital,55257,46446,-,3089,-3746,7913,4826,-
36,Book Value Per Share,17440.54,16319.53,14726.40,-,-,-,-,-
37,Tangible Book Value,87203,81598,73620,52913,51691,23181,10708,-
38,Tangible Book Value Per Share,17440.54,16319.53,14726.40,-,-,-,-,-
39,Buildings,36888,-,-,-,-,-,-,-
40,Machinery,61201,-,-,-,-,-,-,-
41,Construction In Progress,-,-,-,-,-,32476,4643,-
