,Fiscal Quarter,Current,Q4 2024,Q1 2024,Q1 2023,Q4 2019,Q4 2018,Q4 2013,Q4 2012,Q4 2011
,Period Ending,"Mar '25 Mar 6, 2025","Dec '24 Dec 31, 2024","Mar '24 Mar 31, 2024","Mar '23 Mar 31, 2023","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018","Dec '13 Dec 31, 2013","Dec '12 Dec 31, 2012","Dec '11 Dec 31, 2011"
0,Market Capitalization,45500,49000,42500,65500,60000,70000,21513,9326,7528
1,Market Cap Growth,-18.33%,-30.00%,97.55%,602.35%,697.02%,-,-,-,-
2,Enterprise Value,24325,33097,82503,105503,91367,101367,23910,12380,10582
3,Last Close Price,9100.00,9800.00,8500.00,12752.21,11681.42,13628.32,7045.06,6895.52,5566.26
4,PE Ratio,6.17,-,11.59,78.97,-98.64,-,-,-,2.00
5,PS Ratio,0.41,-,0.35,0.60,0.67,1.08,0.82,0.68,0.97
6,PB Ratio,0.52,0.56,0.52,0.89,1.13,1.35,0.87,0.76,-
7,P/TBV Ratio,0.56,0.56,0.52,0.89,1.13,1.35,0.93,0.87,-
8,P/FCF Ratio,4.64,-,5.56,9.45,-,-,-,-,-
9,P/OCF Ratio,4.64,-,5.56,9.44,-,-,-,-,-
10,EV/Sales Ratio,0.22,-,0.69,0.97,1.03,1.57,0.91,0.90,1.37
11,EV/EBITDA Ratio,1.49,-,6.53,12.07,19.27,-,-,-,-
12,EV/EBIT Ratio,2.01,-,8.71,12.91,14.51,12.03,3.64,2.44,2.23
13,EV/FCF Ratio,3.13,-,10.80,15.22,-,-,-,-,-
14,Debt / Equity Ratio,-,-,-,0.25,0.79,1.06,1.35,0.41,-
15,Debt / EBITDA Ratio,-,-,-,1.15,2.20,-,-,-,-
16,Debt / FCF Ratio,-,-,-,2.66,-,-,-,-,-
17,Quick Ratio,2.73,2.73,2.74,-,0.70,0.57,0.79,0.89,-
18,Current Ratio,3.53,3.53,3.35,-,1.08,0.94,1.50,1.64,-
19,Return on Capital Employed (ROCE),13.91%,-,11.60%,-,9.25%,11.95%,12.85%,39.62%,-
20,Earnings Yield,16.22%,-,8.63%,1.27%,-1.01%,2.86%,10.95%,36.63%,50.03%
21,FCF Yield,21.56%,-,17.98%,10.58%,-,-,-,-,-
