,Fiscal Quarter,Q4 2024,Q1 2024,Q1 2023,Q4 2019,Q4 2018,Q4 2013,Q4 2012,Q4 2011
,Period Ending,"Dec '24 Dec 31, 2024","Mar '24 Mar 31, 2024","Mar '23 Mar 31, 2023","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018","Dec '13 Dec 31, 2013","Dec '12 Dec 31, 2012","Dec '11 Dec 31, 2011"
0,Revenue,-,24143,25526,32223,38329,12522,5974,7722
1,Revenue Growth (YoY),-,92.80%,327.31%,317.30%,-,-,-,-
2,Cost of Revenue,-,16745,18321,25682,34667,7991,3862,4699
3,Gross Profit,-,7398,7205,6541,3662,4531,2112,3022
4,"Selling, General & Admin",-,4593,5004,3935,1806,3022,1785,-1715
5,Operating Expenses,-,4593,5004,3935,1806,3022,1785,-1715
6,Operating Income,-,2805,2201,2606,1855,1509,326.67,4737
7,Interest Expense,-,-,-251.7,-745.93,-1187,-1064,-158.26,-219.53
8,Interest & Investment Income,-,68.82,22.03,0.24,0.39,15.88,8,47.83
9,Other Non Operating Income (Expenses),-,-653.36,-611.9,-437.77,-483.34,-1439,-614.33,-774.65
10,Pretax Income,-,2221,1359,1423,184.82,-977.6,-437.92,3791
11,Income Tax Expense,-,444.17,271.85,268.73,535.61,83.33,-87.58,24.03
12,Net Income,-,1777,1087,1154,-350.8,-1061,-350.34,3767
13,Net Income to Common,-,1777,1087,1154,-350.8,-1061,-350.34,3767
14,Net Income Growth,-,-,-,-69.37%,-,-,-,-
15,Shares Outstanding (Basic),5,5,5,-,-,-,-,1
16,Shares Outstanding (Diluted),5,5,5,-,-,-,-,1
17,EPS (Basic),-,355.33,217.00,-,-,-,-,3376.42
18,EPS (Diluted),-,355.33,217.00,-,-,-,-,3376.42
19,Free Cash Flow,-,711.32,6930,-,-,-,-,-
20,Free Cash Flow Per Share,-,142.26,1382.89,-,-,-,-,-
21,Gross Margin,-,30.64%,28.23%,20.30%,9.55%,36.19%,35.35%,39.14%
22,Operating Margin,-,11.62%,8.62%,8.09%,4.84%,12.05%,5.47%,61.35%
23,Profit Margin,-,7.36%,4.26%,3.58%,-0.92%,-8.47%,-5.86%,48.78%
24,Free Cash Flow Margin,-,2.95%,27.15%,-,-,-,-,-
25,EBITDA,-,3896,3996,4743,-,-,-,-
26,EBITDA Margin,-,16.14%,15.66%,14.72%,-,-,-,-
27,D&A For EBITDA,1058,1091,1795,2137,-,-,-,-
28,EBIT,-,2805,2201,2606,1855,1509,326.67,4737
29,EBIT Margin,-,11.62%,8.62%,8.09%,4.84%,12.05%,5.47%,61.35%
30,Effective Tax Rate,-,20.00%,20.00%,18.89%,289.81%,-,-,0.63%
31,Revenue as Reported,-,24143,25526,32223,38329,12522,5974,7722
