,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,2570,2663,2684,2798,2799,3074,3173,2947,2546,3198,Upgrade
1,Short-Term Investments,674.76,598.84,527.73,390.85,571.44,496.2,635.27,705.68,467.01,330.47,Upgrade
2,Trading Asset Securities,-,-,-,-,-,-,240.46,297.55,323.74,56.9,Upgrade
3,Cash & Short-Term Investments,3245,3262,3212,3189,3371,3571,4049,3951,3336,3585,Upgrade
4,Cash Growth,1.04%,2.30%,-4.72%,-10.69%,-16.74%,-9.62%,21.35%,10.19%,-12.79%,-8.61%,Upgrade
5,Accounts Receivable,579.07,521.55,492.88,429.35,418.79,372.31,327.97,235.14,185.35,195.96,Upgrade
6,Other Receivables,40.8,0.03,0.06,0.03,0.06,-,19.46,13.98,79.53,75.81,Upgrade
7,Receivables,619.87,521.58,720.71,664.47,664.41,629.16,599.82,630.56,650.05,667.64,Upgrade
8,Inventory,4449,4477,4335,4037,4667,5078,5004,4800,2430,2308,Upgrade
9,Other Current Assets,3.44,60.16,0.42,4.06,32.68,9.97,9.25,966.51,269.48,361.4,Upgrade
10,Total Current Assets,8317,8321,8268,7894,8735,9288,9662,10348,6685,6922,Upgrade
11,"Property, Plant & Equipment",9681,9568,9120,9130,9153,9238,9201,9413,7911,8120,Upgrade
12,Long-Term Investments,1470,1455,1421,1399,1682,1717,1605,1116,1189,1265,Upgrade
13,Goodwill,1355,1355,1355,1355,1355,1348,1348,1348,1324,1324,Upgrade
14,Other Intangible Assets,112.73,112.73,112.73,112.73,117.56,112.73,112.73,112.73,196.13,198.16,Upgrade
15,Long-Term Deferred Tax Assets,272.86,298.4,381.31,398.33,346.83,327.06,302.61,259.47,177.91,61.9,Upgrade
16,Other Long-Term Assets,3804,3904,3040,3475,3650,3777,3653,2588,3995,3915,Upgrade
17,Total Assets,25012,25014,23696,23763,25039,25808,25884,25184,21479,21807,Upgrade
18,Accounts Payable,811.8,934.76,759.09,780.61,627.89,713.03,312.46,448.09,202.84,246.9,Upgrade
19,Accrued Expenses,-,424.7,-,578.29,-,379.43,-,-,-,-,Upgrade
20,Short-Term Debt,334.76,769.39,324.3,777.36,548.42,567.65,-,517.93,307.63,80.83,Upgrade
