,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,34200,41063,43238,36788,32063,33600,39375,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,22.21%,22.21%,9.81%,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,62733,69032,67817,62026,57301,58839,68091,-,-,-,-,-,-,-,-,-
3,PE Ratio,11.88,14.37,15.57,13.69,12.55,12.67,15.72,-,-,-,-,-,-,-,-,-
4,PS Ratio,1.54,1.86,2.08,1.84,1.65,1.72,1.98,-,-,-,-,-,-,-,-,-
5,PB Ratio,1.39,1.31,1.46,1.21,1.08,-,1.42,-,-,-,-,-,-,-,-,-
6,P/FCF Ratio,36.41,43.71,-,14.09,-,11.69,13.27,-,-,-,-,-,-,-,-,-
7,P/OCF Ratio,5.25,5.25,5.83,5.17,4.49,4.21,5.08,-,-,-,-,-,-,-,-,-
8,EV/Sales Ratio,2.84,3.12,3.26,3.10,2.95,3.01,3.42,-,-,-,-,-,-,-,-,-
9,EV/EBITDA Ratio,7.42,8.60,8.58,8.14,7.49,7.47,8.81,-,-,-,-,-,-,-,-,-
10,EV/EBIT Ratio,10.68,11.75,11.67,11.06,10.05,9.82,11.60,-,-,-,-,-,-,-,-,-
11,EV/FCF Ratio,66.78,73.48,-,23.76,-,20.48,22.95,-,-,-,-,-,-,-,-,-
12,Debt / Equity Ratio,0.86,0.86,0.90,0.83,0.86,-,0.93,1.32,1.29,-,1.46,1.55,1.55,1.55,1.48,1.48
13,Debt / EBITDA Ratio,3.20,2.97,3.43,2.61,3.58,-,3.89,2.90,3.49,-,3.83,3.26,4.05,4.05,7.66,7.66
14,Debt / FCF Ratio,28.84,28.84,-,9.63,-,-,8.70,6.66,6.18,-,8.12,13.24,27.72,32.01,34.21,68.42
15,Quick Ratio,0.56,0.56,0.50,0.65,0.67,-,0.77,0.50,0.44,-,0.42,-,0.37,0.37,0.32,0.32
16,Current Ratio,0.65,0.65,0.58,0.74,0.77,-,0.89,0.60,0.53,-,0.49,-,0.49,0.49,0.45,0.45
17,Asset Turnover,0.38,0.30,0.35,-,-,0.28,0.36,-,-,-,-,0.31,0.31,0.26,-,
18,Return on Equity (ROE),19.23%,11.95%,19.76%,8.93%,-,11.57%,26.18%,-,-,17.22%,27.21%,8.72%,8.96%,6.59%,-,
19,Return on Assets (ROA),6.63%,4.83%,7.31%,-,-,4.44%,8.59%,-,-,-,-,4.28%,4.37%,2.93%,-,
20,Return on Capital (ROIC),7.64%,5.62%,8.46%,4.58%,-,5.10%,9.98%,-,-,6.79%,9.30%,4.96%,5.17%,3.54%,-,
21,Return on Capital Employed (ROCE),11.02%,11.02%,11.30%,10.85%,11.09%,-,11.75%,13.70%,13.41%,-,11.87%,-,7.83%,5.47%,3.16%,1.58%
22,Earnings Yield,8.36%,6.96%,6.42%,7.30%,7.97%,7.90%,6.36%,-,-,-,-,-,-,-,-,-
23,Earnings Yield,8.36%,6.96%,6.42%,7.30%,7.97%,7.90%,6.36%,-,-,-,-,-,-,-,-,-
24,FCF Yield,2.75%,2.29%,3.72%,7.09%,7.90%,8.55%,7.54%,-,-,-,-,-,-,-,-,-
25,Dividend Yield,3.97%,3.77%,-,-,4.37%,-,-,-,-,-,-,-,-,-,-,-
26,Payout Ratio,74.24%,14.91%,284.89%,19.46%,58.22%,24.86%,332.34%,28.70%,56.58%,37.36%,53.51%,90.36%,735.39%,735.39%,441.18%,441.18%
27,Buyback Yield / Dilution,-11.76%,4.75%,-9.48%,-24.97%,-22.19%,-27.12%,-14.65%,0.01%,6.68%,7.05%,-1.52%,-1.51%,-,-,-,-
28,Total Shareholder Return,-7.79%,8.51%,-9.48%,-24.97%,-17.82%,-27.12%,-14.65%,0.01%,6.68%,7.05%,-1.52%,-1.51%,-,-,-,-
