,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,5373,4560,6689,5748,-,6215,4824,3464,-,4166,-,3882,3882,2753.0,2753.0
1,Trading Asset Securities,-,-,-,-,-,-,-,-,-,-,-,-,-,61.52,61.52
2,Accounts Receivable,2225,2070,1863,2023,-,1883,1810,1829,-,1456,-,1734,1734,1413.0,1413.0
3,Other Receivables,50.55,61.22,48.44,37.81,-,43.4,48.37,43.83,-,48.33,-,87.38,87.38,159.21,159.21
4,Inventory,424.36,627.79,529.91,454.1,-,496.2,477.72,403.62,-,448.85,-,460.97,460.97,346.39,346.39
5,Other Current Assets,897.62,577.54,654.29,724.53,-,726.75,799.83,698.12,-,488.13,-,1308,1308,1456.0,1456.0
6,Total Current Assets,8971,7897,9784,8988,-,9364,7960,6438,-,6608,-,7473,7473,6189.0,6189.0
7,"Property, Plant & Equipment",44474,43882,43653,42621,-,39072,38450,38692,-,37473,-,37307,37307,36069.0,36069.0
8,Goodwill,196.27,196.29,196.31,196.34,-,196.36,196.37,196.43,-,196.48,-,196.64,196.64,196.64,196.64
9,Other Intangible Assets,8463,7598,7250,7531,-,7024,7059,7341,-,7391,-,7214,7214,7272.0,7272.0
10,Long-Term Investments,2703,2612,2590,2503,-,2494,1774,1793,-,1785,-,1751,1751,2024.0,2024.0
11,Long-Term Deferred Tax Assets,557.79,608.43,579.09,597.29,-,521.81,495.55,598.25,-,538.22,-,532.49,532.49,392.39,392.39
12,Long-Term Deferred Charges,10.1,9.85,10.29,10.21,-,9.25,9.39,9.92,-,8.07,-,9.82,9.82,14.44,14.44
13,Other Long-Term Assets,1666,2139,894.04,593.4,-,1782,2045,1261,-,1305,-,1022,1022,1045.0,1045.0
14,Total Assets,67041,64942,64957,63040,-,60464,57989,56330,-,55304,-,55506,55506,53202.0,53202.0
15,Accounts Payable,4572,4009,5066,3682,-,3581,3552,3814,-,1477,-,4414,4414,4783.0,4783.0
16,Accrued Expenses,438.34,736.19,348.48,609,-,746.85,338.51,663.45,-,831.27,-,803.49,803.49,541.7,541.7
17,Short-Term Debt,1977,2203,1933,2179,-,2232,2839,2504,-,4014,-,6037,6037,4804.0,4804.0
18,Current Portion of Long-Term Debt,4713,3211,3395,2306,-,1879,3179,2741,-,2327,-,2077,2077,1563.0,1563.0
19,Current Unearned Revenue,273.47,177.62,152.25,157.33,-,174.21,282.36,241.58,-,249.75,-,141.97,141.97,80.45,80.45
20,Current Portion of Leases,-,612.66,-,611.74,-,604.2,-,583.18,-,581.29,-,567.9,567.9,385.49,385.49
21,Current Income Taxes Payable,647.6,-,554.85,148.48,-,192.15,614.42,54.53,-,114.69,-,42.28,42.28,37.98,37.98
22,Other Current Liabilities,1138,2552,1822,1954,-,1121,2533,1516,-,3789,-,1242,1242,1501.0,1501.0
23,Total Current Liabilities,13760,13500,13271,11648,-,10530,13340,12118,-,13384,-,15326,15326,13697.0,13697.0
24,Long-Term Debt,19623,19541,18869,19244,-,19824,20692,20088,-,19625,-,18291,18291,17325.0,17325.0
25,Long-Term Leases,776.31,975.79,944.84,1234,-,1264,1459,1665,-,1844,-,2061,2061,2141.0,2141.0
26,Long-Term Unearned Revenue,155.15,138.33,112.76,116.78,-,179.64,118.54,122.16,-,173.68,-,108.56,108.56,106.55,106.55
27,Long-Term Deferred Tax Liabilities,175.34,186.97,184.78,186.92,-,57.51,53.55,150.35,-,51.37,-,53.2,53.2,68.29,68.29
28,Other Long-Term Liabilities,1151,1072,1163,1024,-,892.17,971.7,877.97,-,832.08,-,878.62,878.62,2094.0,2094.0
29,Total Liabilities,35641,35414,34545,33454,-,32748,36634,35020,-,35910,-,36718,36718,35431.0,35431.0
30,Common Stock,3750,3750,3750,3750,-,3750,3000,3000,-,3000,-,3000,3000,3000.0,3000.0
31,Additional Paid-In Capital,14118,14078,14077,14074,-,14076,7945,7941,-,7922,-,7955,7955,7956.0,7956.0
32,Retained Earnings,6597,5591,6345,5267,-,4126,4929,3953,-,2840,-,1961,1961,1974.0,1974.0
33,Comprehensive Income & Other,117.84,122.82,113.52,113.52,-,113.45,110.31,110.31,-,73.25,-,73.93,73.93,10.15,10.15
34,Total Common Equity,24584,23541,24286,23205,-,22065,15984,15004,-,13835,12990,12990,12990,12940.0,12940.0
35,Minority Interest,6816,5987,6126,6382,-,5651,5371,6305,-,5559,-,5798,5798,4831.0,4831.0
36,Shareholders' Equity,31400,29528,30412,29587,-,27716,21355,21310,-,19394,18787,18787,18787,17771.0,17771.0
37,Total Liabilities & Equity,67041,64942,64957,63040,-,60464,57989,56330,-,55304,-,55506,55506,53202.0,53202.0
38,Total Debt,27089,26543,25142,25575,-,25803,28169,27580,-,28391,29035,29035,29035,26219.0,26219.0
39,Net Cash (Debt),-21716,-21983,-18453,-19827,-,-19588,-23345,-24117,-,-24225,-25152,-25152,-25152,-23404.0,-23404.0
40,Net Cash Per Share,-5.92,-5.84,-4.92,-5.34,-,-5.69,-7.78,-7.93,-,-8.07,-8.38,-7.72,-7.72,-7.92,-7.92
41,Filing Date Shares Outstanding,3750,3750,3750,3750,3849,3750,3000,3000,3028,3000,3001,3000,3000,3000.0,3000.0
42,Total Common Shares Outstanding,3750,3750,3750,3750,3849,3750,3000,3000,3028,3000,3001,3000,3000,3000.0,3000.0
