,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,6334,4861,5640,5069,5043,4042,5109,5155,5310,4505,5099,4231,4231,3408,3408
1,Other Revenue,-74.08,74.08,-,189.22,-95.55,95.55,-,216.6,-,-,-,49.25,49.25,50.67,50.67
2,Revenue,6260,4935,5640,5258,4948,4138,5109,5371,5310,4505,5099,4280,4280,3458,3458
3,Revenue Growth (YoY),26.53%,19.25%,10.39%,-2.11%,-6.82%,-8.15%,0.20%,25.50%,24.06%,30.26%,47.44%,-,-,-,-
4,"Selling, General & Admin",286.46,281.95,243.66,428.8,279.12,261.16,229.52,418.4,236.09,217.02,218.66,287.09,287.09,208.56,208.56
5,Provision for Bad Debts,8.12,9.26,-7.36,27.21,-13.08,10.04,-8.24,14.37,-1.1,-2.52,-9.75,5.3,5.3,0.75,0.75
6,Other Operating Expenses,4215,3390,3530,3803,2993,2809,2923,3646,3508,2990,3111,3036,3036,2625,2625
7,Total Operating Expenses,4510,3681,3768,4262,3258,3087,3145,4085,3744,3207,3320,3330,3330,2835,2835
8,Operating Income,1750,1254,1873,996.32,1689,1051,1964,1287,1566,1298,1779,949.66,949.66,623.81,623.81
9,Interest Expense,-194.68,-184.1,-198.85,-208.95,-209.42,-227.62,-260.02,-263.12,-290.66,-311.52,-311.99,-290.33,-290.33,-276.18,-276.18
10,Interest Income,107.08,147.2,16.49,-27.77,78.56,68.53,11.07,-68.8,42.64,5.9,47.61,1.01,1.01,11.8,11.8
11,Net Interest Expense,-87.6,-36.9,-182.36,-236.72,-130.86,-159.09,-248.95,-331.92,-248.02,-305.63,-264.39,-289.32,-289.32,-264.38,-264.38
12,Income (Loss) on Equity Investments,-,-83.66,83.66,-,-,22.38,-22.38,-,-,-,-,-,-,-,-
13,Other Non-Operating Income (Expenses),14.88,-20.84,-10.48,29.29,-34.59,-23.88,-11.25,-0.52,-11.05,-21.57,-7.47,-10.91,-10.91,-10.49,-10.49
14,EBT Excluding Unusual Items,1677,1112,1763,788.89,1524,890.6,1682,954.21,1307,970.7,1507,649.42,649.42,348.94,348.94
15,Impairment of Goodwill,0.05,-0.05,-,-0.09,0.07,-0.07,-,-0.2,0.16,-0.16,-,-,-,-,-
16,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-16.53,-,-,-,-145.8,-145.8,0.14,0.14
17,Gain (Loss) on Sale of Assets,-0.02,0.01,-,2.1,-0.03,0.26,0.02,1.25,0.04,0.4,0.03,3.27,3.27,0.51,0.51
18,Asset Writedown,-2.38,-16.12,-0.02,-1.97,-16.59,-2.16,-0.18,-26.16,-0.11,-2.06,-,-15.04,-15.04,-0.17,-0.17
19,Insurance Settlements,-0.04,0.04,-,0.93,-,-,-,0.77,-,-,-,0.27,0.27,-,-
20,Other Unusual Items,9.56,-5.94,-3.61,24.66,0.12,-0.12,-,28.98,-1.66,1.66,-,-0.28,-0.28,-3.34,-3.34
21,Pretax Income,1684,1090,1760,814.52,1507,888.51,1682,942.32,1305,970.54,1507,491.84,491.84,346.08,346.08
22,Income Tax Expense,220.14,195.08,277.54,174.99,194.67,178.52,285.21,50.53,229.93,148.77,229.26,82.2,82.2,53.17,53.17
23,Earnings From Continuing Ops.,1464,895.18,1482,639.53,1313,709.99,1396,891.79,1075,821.77,1278,409.64,409.64,292.92,292.92
24,Minority Interest in Earnings,-507.69,-341.61,-495.06,-278.96,-438.01,-245.9,-540.1,-434.18,-349.22,-287.02,-522.62,-355.5,-355.5,-145.12,-145.12
25,Net Income,956.58,553.58,987.2,360.57,874.8,464.08,856.24,457.61,726.23,534.75,755.54,54.14,54.14,147.8,147.8
26,Net Income to Common,956.58,553.58,987.2,360.57,874.8,464.08,856.24,457.61,726.23,534.75,755.54,54.14,54.14,147.8,147.8
27,Net Income Growth,9.35%,19.28%,15.30%,-21.21%,20.46%,-13.21%,13.33%,745.26%,1241.43%,261.81%,411.20%,-,-,-,-
28,Shares Outstanding (Basic),3666,3767,3749,3714,3849,3440,3000,3040,3028,3001,3001,3257,3257,2956,2956
29,Shares Outstanding (Diluted),3666,3767,3749,3714,3849,3440,3000,3040,3028,3001,3001,3257,3257,2956,2956
30,Shares Change (YoY),-4.75%,9.48%,24.97%,22.19%,27.12%,14.65%,-0.01%,-6.68%,-7.05%,1.52%,1.51%,-,-,-,-
31,EPS (Basic),0.26,0.15,0.26,0.10,0.23,0.13,0.29,0.15,0.24,0.18,0.25,0.02,0.02,0.05,0.05
32,EPS (Diluted),0.26,0.15,0.26,0.10,0.23,0.13,0.29,0.15,0.24,0.18,0.25,0.02,0.02,0.05,0.05
33,EPS Growth,14.80%,8.95%,-7.74%,-35.51%,-5.24%,-24.31%,13.34%,805.84%,1343.23%,256.40%,403.60%,-,-,-,-
34,Free Cash Flow,405.01,-580.97,1373,-257.91,1074,420.39,1297,81.6,1168,1685,1529,140.55,140.55,383.21,383.21
35,Free Cash Flow Per Share,0.11,-0.15,0.37,-0.07,0.28,0.12,0.43,0.03,0.39,0.56,0.51,0.04,0.04,0.13,0.13
36,Dividend Per Share,0.050,-,-,0.360,-,-,-,0.350,-,-,-,-,-,-,-
37,Dividend Growth,-,-,-,2.86%,-,-,-,-,-,-,-,-,-,-,-
38,Profit Margin,15.28%,11.22%,17.50%,6.86%,17.68%,11.22%,16.76%,8.52%,13.68%,11.87%,14.82%,1.26%,1.26%,4.27%,4.27%
39,Free Cash Flow Margin,6.47%,-11.77%,24.35%,-4.91%,21.71%,10.16%,25.38%,1.52%,22.00%,37.39%,29.98%,3.28%,3.28%,11.08%,11.08%
40,EBITDA,2282,1815,2405,1529,2157,1530,2432,1754,2010,1736,2223,1794,1794,667.33,667.33
41,EBITDA Margin,36.46%,36.78%,42.64%,29.08%,43.60%,36.97%,47.60%,32.66%,37.86%,38.53%,43.60%,41.92%,41.92%,19.30%,19.30%
42,D&A For EBITDA,532.46,561.07,532.46,532.46,467.64,478.75,467.64,467.64,444,437.81,444,844.48,844.48,43.52,43.52
43,EBIT,1750,1254,1873,996.32,1689,1051,1964,1287,1566,1298,1779,949.66,949.66,623.81,623.81
44,EBIT Margin,27.95%,25.41%,33.20%,18.95%,34.15%,25.40%,38.44%,23.95%,29.49%,28.81%,34.89%,22.19%,22.19%,18.04%,18.04%
45,Effective Tax Rate,13.07%,17.89%,15.77%,21.48%,12.91%,20.09%,16.96%,5.36%,17.61%,15.33%,15.21%,16.71%,16.71%,15.36%,15.36%
46,Revenue as Reported,6260,4935,5640,5258,4948,4138,5109,5371,5310,4505,5099,-,-,-,-
