,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Interest and Dividend Income,46.46,43.68,44.18,45.98,44.54,42.66,43.32,47.09,56.19,59.24,Upgrade
1,Total Interest Expense,0.15,0.15,0.28,0.73,0.6,0.2,0.15,0.46,4.63,6.27,Upgrade
2,Net Interest Income,46.31,43.54,43.9,45.25,43.94,42.46,43.17,46.62,51.56,52.97,Upgrade
3,Other Revenue,0.53,1.1,0.53,0.01,0,0,0,0.03,0,0.05,Upgrade
4,Revenue Before Loan Losses,46.84,44.64,44.44,45.27,43.94,42.46,43.17,46.66,51.56,53.02,Upgrade
5,Provision for Loan Losses,4.24,3.45,0.78,2.3,0.46,-0.34,-,-1.54,-,2.27,Upgrade
6,Revenue,42.59,41.18,43.66,42.96,43.48,42.8,43.17,48.2,51.56,50.75,Upgrade
7,Revenue Growth (YoY),-2.43%,-4.14%,0.41%,0.39%,0.72%,-11.21%,-16.28%,-5.03%,-5.59%,-18.15%,Upgrade
8,Salaries & Employee Benefits,5.76,5.53,5.19,5.5,5.02,5.58,5.15,5.92,5.4,6.04,Upgrade
9,Cost of Services Provided,4.14,3.85,3.95,7.17,4.13,4.22,4.12,5.62,3.07,5.94,Upgrade
10,Other Operating Expenses,0.78,0.12,0.22,-0.09,0.04,0.06,-,0.02,-,0.04,Upgrade
11,Total Operating Expenses,13.15,11.89,11.15,14.38,10.99,11.74,11.32,13.76,10.71,14.31,Upgrade
12,Operating Income,29.44,29.29,32.51,28.59,32.49,31.06,31.85,34.44,40.85,36.44,Upgrade
13,EBT Excluding Unusual Items,29.44,29.29,32.51,28.59,32.49,31.06,31.85,35.74,40.85,36.44,Upgrade
14,Other Unusual Items,-,-,-,-0.23,0.23,-,-,-0.22,0.22,-,Upgrade
15,Pretax Income,29.44,27.65,32.51,28.35,32.72,30.86,32.05,35.47,41.12,36.44,Upgrade
16,Income Tax Expense,4.75,4.76,5.1,4.82,5.3,5.18,5.21,5.7,6.72,6.04,Upgrade
17,Net Income,24.7,22.89,27.41,23.53,27.43,25.68,26.84,29.77,34.4,30.4,Upgrade
18,Net Income to Common,24.7,22.89,27.41,23.53,27.43,25.68,26.84,29.77,34.4,30.4,Upgrade
19,Net Income Growth,-9.90%,-2.72%,-0.06%,-8.35%,2.18%,-13.75%,-21.96%,-2.08%,7.16%,-24.37%,Upgrade
20,Shares Outstanding (Basic),400,400,400,400,400,400,400,400,400,400,Upgrade
21,Shares Outstanding (Diluted),400,400,400,400,400,400,400,400,400,400,Upgrade
22,EPS (Basic),0.06,0.06,0.07,0.06,0.07,0.06,0.07,0.07,0.09,0.08,Upgrade
23,EPS (Diluted),0.06,0.06,0.07,0.06,0.07,0.06,0.07,0.07,0.09,0.08,Upgrade
24,EPS Growth,-9.90%,-2.71%,-0.06%,-8.35%,2.18%,-13.75%,-21.96%,-2.08%,7.16%,-24.37%,Upgrade
25,Free Cash Flow,95.1,-40.05,122.08,-9.67,-22.66,-26.22,42.33,124.75,125.25,34.17,Upgrade
26,Free Cash Flow Per Share,0.24,-0.10,0.31,-0.02,-0.06,-0.07,0.11,0.31,0.31,0.09,Upgrade
27,Dividend Per Share,-,-,-,-,-,-,-,-,-,0.023,Upgrade
28,Dividend Growth,-,-,-,-,-,-,-,-,-,-20.69%,Upgrade
29,Operating Margin,69.12%,71.12%,74.46%,66.53%,74.72%,72.57%,73.79%,71.46%,79.23%,71.80%,Upgrade
30,Profit Margin,57.98%,55.59%,62.78%,54.77%,63.08%,60.00%,62.18%,61.77%,66.70%,59.91%,Upgrade
31,Free Cash Flow Margin,223.28%,-97.25%,279.63%,-22.50%,-52.12%,-61.28%,98.06%,258.82%,242.89%,67.34%,Upgrade
