,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022"
0,Cash & Equivalents,305.22,523.97,397.34,670.35,408.34,373.08,317.15,356.11,196.46,-,-,113.94
1,Trading Asset Securities,2334,2009,2183,1812,2058,2123,2266,2160,400,-,-,295
2,Cash & Short-Term Investments,2639,2533,2581,2483,2466,2497,2584,2516,596.46,-,408.94,408.94
3,Cash Growth,7.03%,1.45%,-0.11%,-1.32%,313.45%,-,531.76%,515.27%,-,-,-,-
4,Accounts Receivable,178.21,125.47,122.89,127.68,146.18,137.59,136.32,102.94,89.29,-,-,31.71
5,Other Receivables,5.4,4.47,4.48,3.9,3.75,3.8,3.61,2.02,2.21,-,-,1.03
6,Receivables,183.61,129.94,127.37,131.59,149.92,141.38,139.93,104.96,91.5,-,-,32.74
7,Inventory,109.34,116.97,103.2,118.01,146.88,166.12,180.3,203.31,161.83,-,-,117.22
8,Other Current Assets,28.63,42.48,48.94,58.37,17.79,18.57,28.34,24.53,55.13,-,-,30.55
9,Total Current Assets,2961,2822,2860,2791,2781,2823,2932,2849,904.91,-,-,589.46
10,"Property, Plant & Equipment",51.08,54.57,55.95,60.04,55.86,58.17,55.59,47.64,25.98,-,-,17.02
11,Long-Term Investments,204.42,119.97,42.5,42.74,32.88,32.89,12.76,-,6.42,-,-,5.19
12,Other Intangible Assets,6.04,6.02,5.78,6.3,6.67,7.04,7.57,8.11,1.88,-,-,2.5
13,Long-Term Deferred Tax Assets,4.56,2.91,3.18,3.56,12.63,10.91,7.01,6.17,1.55,-,-,1.39
14,Long-Term Deferred Charges,8.9,9.77,10.42,10.71,11.67,11.86,9.34,8.26,7.81,-,-,5.34
15,Other Long-Term Assets,7.5,5.9,4.24,4.41,6.76,4.91,5.9,7.67,13.5,-,-,2.79
16,Total Assets,3243,3021,2982,2919,2907,2948,3030,2927,962.04,-,-,623.69
17,Accounts Payable,105.22,69.91,45.7,39.73,33.44,90.23,136.97,103.26,123.98,-,-,68.83
18,Accrued Expenses,31.9,26.96,18.07,26.76,22.48,19.68,15.91,44.3,18.69,-,-,24.71
19,Short-Term Debt,30.02,30.01,-,-,-,-,-,-,-,-,-,-
20,Current Portion of Leases,10.36,10.73,10.68,10.35,9.72,9.28,8.06,3.72,2.57,-,-,1.57
21,Current Income Taxes Payable,13.43,0.29,8.57,3.63,6.69,8.63,28.16,20.86,22.42,-,-,1.3
